timestamp,ax,ay,az,q0,q1,q2,q3
5588121,4990.0,7863.0,3585.0,0.827,0.377,-0.226,0.35
5588137,4614.0,3819.0,5023.0,0.835,0.364,-0.233,0.341
5588153,4406.0,2683.0,5011.0,0.841,0.355,-0.238,0.332
5588169,5330.0,3239.0,4535.0,0.846,0.349,-0.243,0.322
5588185,5132.0,4127.0,4033.0,0.851,0.344,-0.246,0.311
5588211,5018.0,4089.0,4371.0,0.856,0.338,-0.248,0.302
5588227,4428.0,3153.0,4519.0,0.861,0.331,-0.251,0.292
5588243,4312.0,3141.0,4639.0,0.866,0.324,-0.254,0.283
5588259,4212.0,3323.0,4703.0,0.871,0.317,-0.257,0.275
5588275,4288.0,3049.0,5361.0,0.875,0.31,-0.259,0.267
5588291,4574.0,2635.0,5625.0,0.879,0.302,-0.261,0.26
5588317,4564.0,2005.0,5913.0,0.883,0.294,-0.262,0.254
5588333,4272.0,1667.0,6049.0,0.887,0.287,-0.264,0.248
5588349,4262.0,1915.0,5879.0,0.89,0.28,-0.266,0.243
5588366,4478.0,1653.0,5641.0,0.893,0.273,-0.268,0.238
5588383,4496.0,1789.0,5191.0,0.896,0.265,-0.269,0.233
5588399,4692.0,2035.0,6161.0,0.899,0.256,-0.271,0.229
5588415,4624.0,2185.0,6221.0,0.903,0.245,-0.274,0.224
5588441,4488.0,3067.0,5859.0,0.906,0.233,-0.277,0.218
5588457,4558.0,2303.0,6519.0,0.909,0.219,-0.282,0.213
5588473,4832.0,1381.0,6773.0,0.912,0.206,-0.289,0.208
5588489,4896.0,1401.0,6413.0,0.913,0.193,-0.296,0.203
5588505,5056.0,1501.0,6191.0,0.914,0.181,-0.304,0.198
5588521,5106.0,1489.0,6441.0,0.915,0.17,-0.312,0.193
5588548,5344.0,1155.0,6185.0,0.914,0.16,-0.321,0.188
5588565,5724.0,2219.0,5745.0,0.914,0.151,-0.329,0.183
5588581,5710.0,2237.0,6085.0,0.914,0.142,-0.337,0.178
5588597,5510.0,1677.0,6437.0,0.913,0.132,-0.344,0.173
5588613,5672.0,871.0,6317.0,0.913,0.124,-0.352,0.167
5588629,5826.0,1529.0,5581.0,0.912,0.116,-0.359,0.161
5588645,6016.0,935.0,5645.0,0.912,0.108,-0.365,0.155
5588671,6272.0,117.0,5765.0,0.911,0.103,-0.37,0.149
5588687,6280.0,475.0,5461.0,0.911,0.101,-0.373,0.145
5588703,5962.0,1889.0,5677.0,0.91,0.101,-0.376,0.141
5588719,5744.0,1843.0,5671.0,0.91,0.1,-0.379,0.137
5588735,6034.0,1723.0,4751.0,0.909,0.099,-0.381,0.134
5588751,6022.0,1635.0,4731.0,0.909,0.098,-0.382,0.131
5588777,6192.0,1349.0,4975.0,0.91,0.095,-0.383,0.128
5588793,6226.0,1961.0,4983.0,0.91,0.094,-0.383,0.127
