timeMs,ax,ay,az,q0,q1,q2,q3
3012391,2855.0,3517.0,6617.0,0.939,0.255,-0.194,0.126
3012407,2823.0,3495.0,6661.0,0.939,0.255,-0.193,0.126
3012423,2837.0,3443.0,6665.0,0.939,0.255,-0.192,0.126
3012439,2757.0,3419.0,6665.0,0.939,0.255,-0.192,0.126
3012456,2757.0,3379.0,6767.0,0.94,0.254,-0.191,0.126
3012473,2769.0,3317.0,6719.0,0.94,0.254,-0.191,0.126
3012490,2825.0,3265.0,6735.0,0.94,0.254,-0.191,0.126
3012517,2921.0,3249.0,6675.0,0.94,0.254,-0.191,0.126
3012534,2937.0,3235.0,6587.0,0.94,0.253,-0.191,0.127
3012550,2945.0,3213.0,6677.0,0.94,0.253,-0.192,0.127
3012566,2993.0,3201.0,6719.0,0.94,0.253,-0.192,0.127
3012583,3073.0,3187.0,6721.0,0.94,0.253,-0.192,0.127
3012599,3085.0,3163.0,6741.0,0.94,0.253,-0.192,0.127
3012615,3099.0,3181.0,6787.0,0.94,0.253,-0.193,0.127
3012641,3027.0,3123.0,6701.0,0.94,0.253,-0.193,0.127
3012658,3045.0,3161.0,6695.0,0.94,0.253,-0.192,0.127
3012674,3009.0,3147.0,6677.0,0.94,0.253,-0.192,0.127
3012691,2951.0,3209.0,6659.0,0.94,0.253,-0.192,0.127
3012708,2957.0,3239.0,6695.0,0.939,0.253,-0.192,0.128
3012724,2923.0,3361.0,6649.0,0.939,0.254,-0.192,0.128
3012740,2947.0,3351.0,6631.0,0.939,0.254,-0.192,0.129
3012757,2953.0,3343.0,6679.0,0.939,0.254,-0.192,0.129
3012783,2931.0,3397.0,6689.0,0.939,0.254,-0.192,0.129
3012799,2969.0,3365.0,6641.0,0.939,0.254,-0.192,0.13
3012816,2999.0,3331.0,6635.0,0.939,0.254,-0.192,0.13
3012833,2987.0,3355.0,6673.0,0.939,0.254,-0.192,0.13
3012849,3009.0,3371.0,6675.0,0.939,0.254,-0.192,0.131
3012866,3007.0,3309.0,6665.0,0.939,0.254,-0.193,0.131
3012883,3023.0,3283.0,6669.0,0.939,0.254,-0.193,0.131
3012899,3013.0,3327.0,6687.0,0.939,0.254,-0.193,0.131
3012916,2981.0,3255.0,6655.0,0.939,0.254,-0.193,0.131
3012932,2971.0,3277.0,6679.0,0.939,0.254,-0.193,0.132
3012959,3025.0,3239.0,6653.0,0.939,0.254,-0.193,0.132
3012975,3111.0,3219.0,6659.0,0.939,0.253,-0.193,0.132
3012991,3035.0,3251.0,6675.0,0.939,0.253,-0.193,0.132
3013007,3027.0,3229.0,6603.0,0.939,0.253,-0.193,0.132
3013023,3061.0,3255.0,6613.0,0.939,0.253,-0.193,0.133
3013039,3083.0,3223.0,6681.0,0.939,0.253,-0.193,0.133
3013065,3063.0,3193.0,6683.0,0.939,0.253,-0.193,0.133
3013081,3087.0,3211.0,6703.0,0.939,0.253,-0.193,0.134
3013097,3097.0,3233.0,6655.0,0.939,0.253,-0.193,0.134
3013113,3119.0,3271.0,6651.0,0.939,0.253,-0.193,0.134
3013130,3127.0,3253.0,6635.0,0.939,0.253,-0.192,0.135
3013146,3059.0,3233.0,6669.0,0.939,0.253,-0.192,0.135
3013172,3051.0,3303.0,6651.0,0.939,0.253,-0.192,0.135
3013188,3007.0,3243.0,6701.0,0.939,0.253,-0.191,0.136
3013204,3003.0,3245.0,6711.0,0.939,0.253,-0.191,0.136
3013221,3057.0,3289.0,6709.0,0.939,0.253,-0.191,0.136
3013238,3021.0,3301.0,6643.0,0.939,0.253,-0.19,0.137
3013254,2967.0,3241.0,6635.0,0.939,0.253,-0.19,0.137
3013270,2983.0,3269.0,6665.0,0.939,0.253,-0.19,0.137
3013286,2991.0,3269.0,6643.0,0.939,0.253,-0.19,0.138
3013313,3061.0,3279.0,6619.0,0.939,0.253,-0.189,0.138
3013329,2981.0,3331.0,6677.0,0.939,0.253,-0.189,0.138
3013346,2983.0,3327.0,6683.0,0.939,0.253,-0.189,0.139
3013362,2999.0,3263.0,6707.0,0.939,0.253,-0.189,0.139
3013378,3033.0,3257.0,6681.0,0.939,0.253,-0.188,0.139
3013395,3009.0,3257.0,6669.0,0.939,0.253,-0.188,0.139
3013411,2987.0,3211.0,6665.0,0.939,0.253,-0.188,0.14
3013428,3009.0,3215.0,6661.0,0.939,0.253,-0.188,0.14
3013455,3053.0,3171.0,6647.0,0.939,0.253,-0.188,0.14
3013472,2987.0,3217.0,6685.0,0.939,0.253,-0.187,0.14
3013489,3015.0,3253.0,6715.0,0.939,0.253,-0.187,0.14
3013505,3029.0,3259.0,6671.0,0.939,0.253,-0.187,0.141
3013522,2997.0,3233.0,6655.0,0.939,0.253,-0.187,0.141
3013538,3051.0,3263.0,6647.0,0.939,0.253,-0.187,0.141
3013554,3061.0,3295.0,6695.0,0.939,0.253,-0.186,0.141
3013570,3039.0,3201.0,6707.0,0.939,0.253,-0.186,0.142
3013587,3001.0,3253.0,6651.0,0.939,0.253,-0.186,0.142
3013614,3021.0,3319.0,6671.0,0.939,0.253,-0.185,0.142
3013631,2877.0,3453.0,6649.0,0.939,0.253,-0.185,0.142
3013647,2803.0,3403.0,6733.0,0.939,0.253,-0.185,0.143
3013664,2921.0,3345.0,6675.0,0.939,0.253,-0.185,0.143
3013681,2953.0,3291.0,6675.0,0.939,0.253,-0.185,0.144
3013697,3049.0,3383.0,6643.0,0.939,0.253,-0.185,0.144
3013713,3151.0,3289.0,6637.0,0.939,0.253,-0.185,0.144
3013729,3143.0,3179.0,6659.0,0.939,0.252,-0.185,0.144
3013755,3189.0,3125.0,6673.0,0.939,0.252,-0.185,0.144
3013772,3091.0,3145.0,6717.0,0.939,0.252,-0.185,0.145
3013789,3109.0,3151.0,6757.0,0.939,0.252,-0.184,0.145
3013806,3085.0,3169.0,6681.0,0.939,0.252,-0.184,0.145
3013822,2999.0,3185.0,6677.0,0.939,0.252,-0.183,0.145
3013838,2901.0,3231.0,6715.0,0.939,0.252,-0.183,0.146
3013854,2849.0,3277.0,6731.0,0.939,0.252,-0.182,0.146
3013880,2819.0,3305.0,6727.0,0.939,0.252,-0.182,0.146
3013897,2773.0,3291.0,6741.0,0.939,0.253,-0.182,0.147
3013914,2871.0,3305.0,6693.0,0.939,0.253,-0.183,0.147
3013930,2907.0,3339.0,6635.0,0.938,0.253,-0.183,0.147
3013946,2975.0,3333.0,6555.0,0.938,0.253,-0.183,0.148
3013962,3043.0,3319.0,6609.0,0.938,0.253,-0.184,0.148
3013980,3157.0,3333.0,6727.0,0.938,0.253,-0.184,0.148
3013996,3167.0,3249.0,6711.0,0.938,0.253,-0.184,0.149
3014012,3177.0,3227.0,6645.0,0.938,0.252,-0.183,0.149
3014038,3123.0,3179.0,6641.0,0.938,0.252,-0.183,0.149
3014055,3053.0,3199.0,6645.0,0.939,0.252,-0.182,0.149
3014072,3037.0,3223.0,6629.0,0.939,0.252,-0.182,0.15
3014088,3015.0,3175.0,6703.0,0.939,0.252,-0.181,0.15
3014104,2989.0,3187.0,6673.0,0.939,0.252,-0.181,0.15
3014121,2979.0,3173.0,6757.0,0.939,0.253,-0.18,0.15
3014137,2947.0,3225.0,6715.0,0.939,0.253,-0.18,0.15
3014163,2921.0,3203.0,6677.0,0.939,0.253,-0.179,0.15
3014179,2929.0,3225.0,6691.0,0.939,0.253,-0.179,0.15
3014195,2903.0,3299.0,6735.0,0.939,0.254,-0.178,0.15
3014211,2857.0,3353.0,6705.0,0.939,0.254,-0.178,0.15
3014227,2907.0,3313.0,6703.0,0.939,0.254,-0.178,0.15
3014244,2905.0,3345.0,6605.0,0.939,0.254,-0.177,0.151
3014260,2967.0,3391.0,6647.0,0.939,0.255,-0.177,0.151
3014286,2979.0,3347.0,6651.0,0.939,0.255,-0.177,0.151
3014302,2999.0,3363.0,6647.0,0.939,0.255,-0.177,0.151
3014318,3033.0,3309.0,6647.0,0.939,0.255,-0.177,0.151
3014334,3061.0,3351.0,6717.0,0.939,0.255,-0.177,0.151
3014350,3101.0,3283.0,6705.0,0.939,0.255,-0.177,0.151
3014366,3053.0,3313.0,6639.0,0.939,0.255,-0.177,0.151
3014392,3043.0,3309.0,6631.0,0.939,0.255,-0.177,0.151
3014408,2985.0,3251.0,6677.0,0.939,0.254,-0.176,0.151
3014424,2913.0,3255.0,6697.0,0.939,0.254,-0.176,0.151
3014440,2861.0,3259.0,6691.0,0.939,0.255,-0.175,0.151
3014456,2815.0,3197.0,6733.0,0.939,0.255,-0.175,0.152
3014472,2843.0,3273.0,6781.0,0.939,0.254,-0.174,0.152
3014498,2895.0,3253.0,6737.0,0.939,0.254,-0.174,0.152
3014514,2875.0,3269.0,6675.0,0.939,0.255,-0.174,0.152
3014531,2929.0,3281.0,6695.0,0.939,0.255,-0.173,0.152
3014547,2947.0,3311.0,6749.0,0.939,0.255,-0.173,0.153
3014563,2913.0,3367.0,6675.0,0.939,0.256,-0.173,0.153
3014579,3011.0,3441.0,6565.0,0.939,0.256,-0.173,0.153
3014605,2941.0,3417.0,6651.0,0.939,0.256,-0.173,0.153
3014622,2943.0,3399.0,6669.0,0.939,0.256,-0.173,0.153
3014639,2901.0,3377.0,6669.0,0.939,0.256,-0.173,0.153
3014656,2909.0,3411.0,6619.0,0.939,0.256,-0.172,0.153
3014672,2895.0,3353.0,6653.0,0.939,0.256,-0.172,0.153
3014688,2907.0,3371.0,6641.0,0.939,0.256,-0.172,0.153
3014705,2883.0,3307.0,6665.0,0.939,0.256,-0.172,0.153
3014721,2905.0,3345.0,6699.0,0.939,0.256,-0.171,0.153
3014747,2931.0,3329.0,6691.0,0.939,0.256,-0.171,0.154
3014763,2909.0,3301.0,6699.0,0.939,0.256,-0.171,0.154
3014780,2869.0,3303.0,6715.0,0.939,0.255,-0.171,0.154
3014796,2897.0,3277.0,6687.0,0.939,0.255,-0.17,0.154
3014813,2917.0,3277.0,6693.0,0.939,0.255,-0.17,0.154
3014829,2885.0,3355.0,6693.0,0.939,0.256,-0.17,0.154
3014845,2903.0,3383.0,6681.0,0.939,0.256,-0.17,0.155
3014871,2873.0,3271.0,6695.0,0.939,0.256,-0.169,0.155
3014888,2899.0,3351.0,6689.0,0.939,0.256,-0.169,0.155
