timeMs,ax,ay,az,q0,q1,q2,q3
5235998,-2394.0,8711.0,1259.0,0.788,0.597,0.144,0.054
5236024,-2360.0,6857.0,1583.0,0.789,0.596,0.144,0.053
5236040,-1946.0,6543.0,2005.0,0.788,0.597,0.145,0.052
5236056,-1872.0,6961.0,2567.0,0.786,0.599,0.146,0.052
5236072,-2208.0,7361.0,2607.0,0.784,0.601,0.148,0.054
5236088,-1958.0,7117.0,2965.0,0.782,0.602,0.15,0.055
5236105,-1840.0,7163.0,2969.0,0.781,0.603,0.152,0.058
5236121,-1926.0,7427.0,2835.0,0.78,0.603,0.155,0.061
5236148,-1702.0,7977.0,2547.0,0.781,0.601,0.157,0.065
5236164,-1622.0,8489.0,2249.0,0.783,0.597,0.159,0.07
5236180,-1488.0,8259.0,2183.0,0.788,0.59,0.16,0.076
5236196,-1602.0,7655.0,2081.0,0.793,0.582,0.16,0.08
5236213,-1864.0,5693.0,2759.0,0.797,0.577,0.159,0.083
5236229,-1818.0,5079.0,3097.0,0.796,0.578,0.157,0.084
5236246,-1684.0,5835.0,2861.0,0.792,0.585,0.154,0.083
5236272,-1566.0,7659.0,2399.0,0.787,0.592,0.152,0.081
5236288,-1610.0,8221.0,2287.0,0.782,0.599,0.151,0.078
5236304,-1520.0,8485.0,1973.0,0.777,0.607,0.149,0.074
5236320,-1568.0,8537.0,1863.0,0.771,0.615,0.148,0.07
5236337,-1818.0,8493.0,1743.0,0.766,0.622,0.147,0.068
5236354,-1906.0,8377.0,1687.0,0.761,0.628,0.147,0.066
5236371,-2154.0,8785.0,1563.0,0.758,0.632,0.147,0.065
5236388,-2172.0,8941.0,1411.0,0.757,0.633,0.148,0.066
5236405,-2248.0,7979.0,1557.0,0.758,0.631,0.149,0.068
5236431,-2230.0,7665.0,1557.0,0.759,0.629,0.151,0.07
5236448,-2126.0,7291.0,1625.0,0.76,0.628,0.151,0.071
5236464,-2036.0,7813.0,1761.0,0.76,0.627,0.153,0.074
5236481,-2038.0,8397.0,1579.0,0.76,0.627,0.155,0.077
5236498,-2196.0,8735.0,1263.0,0.76,0.625,0.157,0.081
5236514,-2256.0,7689.0,1363.0,0.761,0.623,0.16,0.084
5236530,-2112.0,7727.0,1497.0,0.762,0.62,0.163,0.088
5236547,-2328.0,8267.0,1381.0,0.764,0.617,0.165,0.091
5236564,-2036.0,8395.0,1419.0,0.767,0.612,0.167,0.095
5236581,-2054.0,7887.0,1719.0,0.772,0.604,0.168,0.1
5236608,-2024.0,6927.0,2083.0,0.777,0.597,0.169,0.105
5236625,-2128.0,6031.0,2229.0,0.78,0.592,0.169,0.108
5236642,-1996.0,4797.0,2933.0,0.779,0.594,0.169,0.109
5236659,-1904.0,6929.0,2037.0,0.774,0.6,0.169,0.109
5236676,-1390.0,7339.0,1691.0,0.769,0.607,0.169,0.107
5236692,-1594.0,6793.0,1789.0,0.763,0.615,0.17,0.104
5236709,-1756.0,7693.0,1263.0,0.755,0.626,0.17,0.098
5236726,-1524.0,8233.0,1035.0,0.746,0.637,0.171,0.091
5236742,-1352.0,9349.0,937.0,0.739,0.646,0.17,0.086
5236758,-1820.0,9091.0,1109.0,0.735,0.651,0.169,0.083
5236784,-1994.0,8425.0,1075.0,0.733,0.654,0.168,0.081
5236801,-1962.0,8069.0,1001.0,0.733,0.655,0.167,0.08
5236818,-1918.0,7841.0,1095.0,0.733,0.655,0.166,0.08
5236834,-1974.0,7739.0,1169.0,0.733,0.655,0.166,0.08
5236850,-2030.0,7785.0,1067.0,0.733,0.655,0.165,0.08
5236866,-2016.0,7793.0,1091.0,0.733,0.656,0.165,0.079
5236882,-1942.0,8377.0,979.0,0.732,0.657,0.165,0.078
5236908,-1824.0,8667.0,979.0,0.731,0.657,0.166,0.078
5236925,-1768.0,8283.0,1061.0,0.732,0.656,0.166,0.078
5236942,-1812.0,8075.0,1129.0,0.733,0.655,0.167,0.078
5236958,-1888.0,7795.0,1201.0,0.734,0.653,0.169,0.078
5236974,-1860.0,7617.0,1277.0,0.734,0.653,0.169,0.078
5236991,-1962.0,7747.0,1303.0,0.734,0.653,0.17,0.078
5237007,-1958.0,7981.0,1353.0,0.734,0.653,0.171,0.078
5237027,-1860.0,7913.0,1545.0,0.734,0.652,0.171,0.078
5237043,-1858.0,7873.0,1567.0,0.735,0.651,0.172,0.079
5237059,-1692.0,7747.0,1555.0,0.736,0.65,0.174,0.08
5237085,-1752.0,7853.0,1489.0,0.736,0.649,0.176,0.081
5237101,-1860.0,7929.0,1389.0,0.736,0.648,0.178,0.083
5237117,-2110.0,7889.0,1239.0,0.736,0.648,0.179,0.085
5237134,-2026.0,8101.0,1021.0,0.735,0.648,0.181,0.087
5237150,-2136.0,8399.0,883.0,0.734,0.648,0.183,0.089
5237166,-1994.0,8269.0,877.0,0.734,0.647,0.185,0.092
5237192,-1950.0,8221.0,905.0,0.735,0.645,0.187,0.094
5237208,-2138.0,7743.0,935.0,0.736,0.642,0.19,0.097
5237224,-2300.0,7311.0,889.0,0.736,0.641,0.192,0.099
5237240,-2246.0,7487.0,675.0,0.736,0.641,0.195,0.101
5237256,-2204.0,7587.0,527.0,0.734,0.641,0.197,0.103
5237272,-2138.0,7965.0,477.0,0.733,0.642,0.199,0.104
5237298,-1902.0,8239.0,485.0,0.733,0.642,0.2,0.105
5237314,-1966.0,8175.0,497.0,0.733,0.64,0.202,0.107
5237330,-1908.0,7697.0,619.0,0.734,0.638,0.203,0.108
5237346,-1868.0,7399.0,821.0,0.735,0.637,0.205,0.109
5237363,-1770.0,7201.0,987.0,0.736,0.636,0.206,0.111
5237379,-1764.0,7375.0,1027.0,0.736,0.635,0.207,0.111
5237395,-1646.0,7679.0,943.0,0.736,0.635,0.207,0.113
5237422,-1694.0,7743.0,997.0,0.736,0.634,0.208,0.114
5237438,-1664.0,7527.0,931.0,0.736,0.633,0.209,0.116
5237454,-1646.0,7223.0,941.0,0.736,0.633,0.21,0.118
5237470,-1466.0,6647.0,1105.0,0.735,0.634,0.21,0.118
5237487,-1554.0,7207.0,925.0,0.733,0.637,0.211,0.116
5237504,-1462.0,8383.0,837.0,0.73,0.64,0.211,0.114
5237521,-1616.0,8659.0,689.0,0.728,0.642,0.211,0.113
5237537,-1790.0,8291.0,597.0,0.728,0.643,0.21,0.113
5237563,-1998.0,8027.0,545.0,0.727,0.644,0.209,0.112
5237579,-2094.0,8111.0,501.0,0.727,0.645,0.208,0.112
5237595,-2164.0,8261.0,505.0,0.728,0.645,0.206,0.111
5237612,-2230.0,8195.0,717.0,0.729,0.644,0.204,0.111
5237629,-2254.0,7979.0,849.0,0.731,0.642,0.202,0.11
5237646,-2178.0,7631.0,911.0,0.733,0.641,0.199,0.109
5237663,-1858.0,7719.0,1021.0,0.735,0.64,0.196,0.109
5237679,-1692.0,7647.0,1225.0,0.737,0.639,0.194,0.108
5237705,-1598.0,7765.0,1579.0,0.737,0.638,0.193,0.107
