timeMs,ax,ay,az,q0,q1,q2,q3
5337069,2066.0,6077.0,-315.0,0.675,0.725,-0.121,0.06
5337085,2234.0,15433.0,-1563.0,0.669,0.731,-0.12,0.061
5337101,2618.0,-333.0,1189.0,0.671,0.729,-0.122,0.064
5337117,1562.0,12983.0,-1811.0,0.665,0.734,-0.121,0.066
5337134,2152.0,4649.0,51.0,0.663,0.735,-0.123,0.069
5337150,1802.0,8791.0,-597.0,0.661,0.736,-0.125,0.071
5337176,2288.0,7615.0,-825.0,0.66,0.737,-0.128,0.074
5337192,1760.0,7787.0,-981.0,0.657,0.739,-0.129,0.076
5337208,1646.0,8355.0,-1439.0,0.654,0.741,-0.131,0.078
5337224,968.0,10421.0,-2361.0,0.652,0.742,-0.133,0.078
5337240,746.0,9325.0,-2391.0,0.653,0.74,-0.137,0.078
5337256,1086.0,8127.0,-1887.0,0.655,0.738,-0.141,0.077
5337282,1632.0,7953.0,-1295.0,0.657,0.736,-0.144,0.076
5337298,2290.0,7657.0,-283.0,0.657,0.735,-0.148,0.077
5337314,1834.0,7185.0,257.0,0.657,0.734,-0.151,0.079
5337330,2136.0,7353.0,367.0,0.655,0.735,-0.152,0.081
5337346,2356.0,6965.0,243.0,0.654,0.736,-0.154,0.083
5337362,2426.0,7325.0,-163.0,0.651,0.738,-0.155,0.086
5337388,2036.0,7699.0,-773.0,0.648,0.74,-0.156,0.089
5337404,2568.0,8071.0,-1617.0,0.647,0.74,-0.158,0.091
5337421,2840.0,7045.0,-1941.0,0.648,0.739,-0.16,0.093
5337437,2494.0,6215.0,-1737.0,0.649,0.737,-0.161,0.097
5337453,2504.0,7389.0,-1583.0,0.65,0.736,-0.163,0.1
5337470,3326.0,8643.0,-955.0,0.65,0.736,-0.163,0.103
5337487,3814.0,9229.0,-419.0,0.65,0.734,-0.163,0.105
5337504,2716.0,7773.0,-835.0,0.653,0.732,-0.163,0.107
5337530,3074.0,7085.0,-891.0,0.652,0.732,-0.164,0.107
5337546,3314.0,8259.0,-947.0,0.652,0.733,-0.164,0.107
5337563,2816.0,7101.0,-903.0,0.652,0.733,-0.164,0.107
5337580,3038.0,7805.0,-853.0,0.651,0.733,-0.164,0.107
5337597,2744.0,7653.0,-891.0,0.651,0.734,-0.164,0.106
5337613,2640.0,7935.0,-833.0,0.651,0.734,-0.164,0.106
5337629,2532.0,7789.0,-725.0,0.651,0.734,-0.163,0.106
5337646,2414.0,7729.0,-603.0,0.651,0.734,-0.163,0.106
5337672,2392.0,7615.0,-595.0,0.651,0.734,-0.162,0.106
5337689,2490.0,7639.0,-721.0,0.65,0.735,-0.162,0.106
5337705,2638.0,7673.0,-739.0,0.65,0.735,-0.161,0.107
5337722,2758.0,7613.0,-795.0,0.65,0.735,-0.161,0.107
5337738,2832.0,7649.0,-819.0,0.65,0.735,-0.161,0.108
5337754,2868.0,7685.0,-915.0,0.649,0.735,-0.161,0.108
5337770,2848.0,7727.0,-905.0,0.649,0.736,-0.16,0.109
5337787,2772.0,7681.0,-827.0,0.649,0.736,-0.16,0.109
5337813,2712.0,7633.0,-751.0,0.649,0.736,-0.159,0.109
5337829,2710.0,7655.0,-765.0,0.649,0.736,-0.159,0.11
5337846,2676.0,7679.0,-801.0,0.649,0.736,-0.159,0.11
5337862,2652.0,7685.0,-821.0,0.649,0.736,-0.158,0.11
5337879,2626.0,7759.0,-821.0,0.649,0.736,-0.158,0.111
5337895,2662.0,7665.0,-711.0,0.649,0.736,-0.158,0.111
5337912,2720.0,7603.0,-713.0,0.65,0.736,-0.157,0.111
5337929,2738.0,7601.0,-709.0,0.649,0.736,-0.157,0.112
5337955,2754.0,7523.0,-709.0,0.649,0.736,-0.156,0.113
5337971,2732.0,7589.0,-757.0,0.649,0.736,-0.156,0.114
5337988,2730.0,7687.0,-763.0,0.648,0.737,-0.156,0.115
5338005,2782.0,7681.0,-863.0,0.648,0.737,-0.155,0.115
5338021,2784.0,7759.0,-1011.0,0.647,0.737,-0.155,0.116
5338038,2764.0,7835.0,-1093.0,0.647,0.738,-0.155,0.116
5338054,2862.0,7833.0,-1089.0,0.647,0.737,-0.155,0.116
5338070,2814.0,7689.0,-979.0,0.648,0.737,-0.155,0.116
5338096,2826.0,7615.0,-877.0,0.648,0.737,-0.154,0.116
5338112,2824.0,7649.0,-819.0,0.649,0.736,-0.154,0.116
5338129,2768.0,7665.0,-727.0,0.65,0.736,-0.153,0.116
5338146,2730.0,7667.0,-725.0,0.65,0.735,-0.153,0.116
5338163,2694.0,7611.0,-697.0,0.651,0.735,-0.152,0.116
5338180,2204.0,7893.0,-829.0,0.651,0.734,-0.152,0.117
5338197,2588.0,7347.0,-495.0,0.652,0.734,-0.151,0.117
5338214,2740.0,7423.0,-703.0,0.652,0.734,-0.151,0.118
5338230,2688.0,7593.0,-727.0,0.651,0.734,-0.151,0.118
5338256,2770.0,7727.0,-813.0,0.651,0.734,-0.151,0.118
5338273,2750.0,7751.0,-803.0,0.651,0.734,-0.151,0.118
5338290,2824.0,7699.0,-745.0,0.651,0.735,-0.151,0.118
5338306,2798.0,7607.0,-781.0,0.651,0.735,-0.151,0.118
5338322,2762.0,7645.0,-767.0,0.651,0.735,-0.151,0.118
5338338,2782.0,7651.0,-799.0,0.651,0.735,-0.151,0.118
5338354,2734.0,7655.0,-771.0,0.651,0.735,-0.15,0.119
5338371,2746.0,7661.0,-781.0,0.651,0.735,-0.15,0.119
5338398,2742.0,7695.0,-787.0,0.651,0.735,-0.149,0.119
5338415,2824.0,7659.0,-817.0,0.651,0.735,-0.149,0.119
