timeMs,ax,ay,az,q0,q1,q2,q3
5408979,3048.0,7505.0,-1157.0,0.619,0.751,-0.155,0.17
5408995,3160.0,7389.0,-1123.0,0.619,0.751,-0.155,0.17
5409011,3240.0,7447.0,-1135.0,0.619,0.751,-0.155,0.171
5409027,3280.0,7347.0,-1095.0,0.619,0.751,-0.155,0.172
5409053,3444.0,7405.0,-1051.0,0.618,0.751,-0.155,0.172
5409069,3568.0,7347.0,-1041.0,0.618,0.752,-0.155,0.173
5409085,3530.0,7267.0,-1165.0,0.617,0.752,-0.155,0.173
5409102,3418.0,7321.0,-1259.0,0.616,0.752,-0.154,0.174
5409118,3384.0,7505.0,-1303.0,0.616,0.753,-0.154,0.174
5409135,3466.0,7567.0,-1253.0,0.616,0.753,-0.153,0.175
5409151,3408.0,7431.0,-1193.0,0.616,0.753,-0.153,0.175
5409177,3420.0,7481.0,-1197.0,0.616,0.753,-0.152,0.175
5409193,3190.0,7403.0,-1151.0,0.616,0.753,-0.151,0.175
5409209,3090.0,7469.0,-1137.0,0.616,0.753,-0.15,0.175
5409225,3060.0,7359.0,-1131.0,0.617,0.753,-0.149,0.175
5409241,3076.0,7509.0,-1127.0,0.617,0.753,-0.148,0.175
5409258,3000.0,7517.0,-1179.0,0.617,0.753,-0.148,0.175
5409275,3064.0,7497.0,-1145.0,0.617,0.753,-0.147,0.175
5409301,3086.0,7555.0,-1135.0,0.617,0.753,-0.146,0.175
5409317,3086.0,7471.0,-1151.0,0.618,0.753,-0.146,0.175
5409333,3192.0,7369.0,-1165.0,0.618,0.753,-0.146,0.175
5409349,3260.0,7337.0,-1089.0,0.618,0.753,-0.146,0.175
5409365,3268.0,7379.0,-1051.0,0.618,0.753,-0.145,0.175
5409382,3232.0,7331.0,-1071.0,0.618,0.753,-0.145,0.175
5409399,3272.0,7389.0,-1133.0,0.618,0.753,-0.145,0.175
5409425,3248.0,7449.0,-1155.0,0.617,0.753,-0.145,0.174
5409441,3254.0,7421.0,-1173.0,0.617,0.753,-0.145,0.174
5409457,3272.0,7395.0,-1219.0,0.617,0.754,-0.145,0.174
5409474,3202.0,7441.0,-1201.0,0.617,0.754,-0.144,0.174
5409490,3238.0,7449.0,-1179.0,0.617,0.754,-0.144,0.174
5409506,3192.0,7501.0,-1147.0,0.617,0.754,-0.143,0.174
5409532,3212.0,7507.0,-1173.0,0.617,0.754,-0.143,0.174
5409549,3180.0,7521.0,-1179.0,0.617,0.754,-0.142,0.174
5409566,3246.0,7593.0,-1237.0,0.617,0.755,-0.142,0.174
5409582,3154.0,7453.0,-1209.0,0.617,0.755,-0.141,0.174
5409599,3118.0,7365.0,-1159.0,0.617,0.755,-0.141,0.174
5409616,3128.0,7335.0,-1127.0,0.617,0.755,-0.14,0.174
5409634,3134.0,7399.0,-1153.0,0.617,0.755,-0.14,0.174
5409651,3176.0,7485.0,-1155.0,0.617,0.755,-0.139,0.173
5409668,3120.0,7525.0,-1221.0,0.617,0.755,-0.139,0.174
5409684,3144.0,7463.0,-1251.0,0.617,0.755,-0.139,0.174
5409700,3160.0,7471.0,-1179.0,0.617,0.755,-0.138,0.174
5409717,3218.0,7423.0,-1107.0,0.617,0.755,-0.138,0.174
5409743,3184.0,7435.0,-1107.0,0.617,0.755,-0.138,0.174
5409760,3132.0,7413.0,-1133.0,0.617,0.755,-0.137,0.174
5409776,3114.0,7483.0,-1173.0,0.617,0.755,-0.137,0.174
5409792,3166.0,7501.0,-1221.0,0.617,0.755,-0.137,0.174
5409808,3152.0,7539.0,-1211.0,0.617,0.755,-0.136,0.174
5409824,3150.0,7503.0,-1163.0,0.617,0.755,-0.136,0.175
5409850,3104.0,7509.0,-1165.0,0.618,0.755,-0.136,0.175
5409867,2996.0,7481.0,-1175.0,0.618,0.755,-0.136,0.175
5409883,2946.0,7429.0,-1075.0,0.618,0.754,-0.136,0.175
5409899,2820.0,7421.0,-1119.0,0.619,0.754,-0.136,0.175
5409916,2690.0,7419.0,-1099.0,0.619,0.753,-0.136,0.175
5409933,2708.0,7517.0,-1053.0,0.62,0.753,-0.136,0.176
5409949,2852.0,7647.0,-1007.0,0.62,0.752,-0.137,0.177
5409966,3184.0,7515.0,-943.0,0.621,0.751,-0.137,0.177
5409983,3348.0,7277.0,-993.0,0.621,0.75,-0.138,0.178
5410010,3822.0,7067.0,-957.0,0.621,0.75,-0.139,0.179
5410026,3972.0,6911.0,-1131.0,0.621,0.75,-0.139,0.179
5410043,4396.0,7189.0,-1313.0,0.621,0.75,-0.14,0.179
5410060,3968.0,7569.0,-1383.0,0.62,0.751,-0.139,0.179
5410076,3688.0,7513.0,-1283.0,0.619,0.752,-0.139,0.179
5410092,3302.0,7405.0,-1263.0,0.619,0.752,-0.138,0.178
5410109,2962.0,7385.0,-1261.0,0.619,0.753,-0.137,0.177
5410125,2852.0,7393.0,-1127.0,0.619,0.753,-0.136,0.177
5410142,2766.0,7577.0,-1047.0,0.619,0.753,-0.135,0.176
5410168,2654.0,7651.0,-1093.0,0.619,0.754,-0.134,0.176
5410184,2720.0,7631.0,-1139.0,0.619,0.754,-0.134,0.176
5410201,2908.0,7459.0,-1159.0,0.619,0.753,-0.134,0.176
5410218,3184.0,7419.0,-1099.0,0.619,0.753,-0.134,0.176
5410234,3404.0,7449.0,-1183.0,0.619,0.753,-0.134,0.177
5410251,3492.0,7407.0,-1245.0,0.619,0.753,-0.134,0.177
5410268,3374.0,7451.0,-1243.0,0.619,0.753,-0.133,0.177
5410284,3340.0,7357.0,-1071.0,0.62,0.753,-0.133,0.177
5410301,3272.0,7331.0,-1045.0,0.62,0.753,-0.133,0.177
5410328,3294.0,7413.0,-1171.0,0.619,0.753,-0.133,0.178
5410344,3214.0,7521.0,-1123.0,0.619,0.753,-0.132,0.178
5410361,3194.0,7501.0,-1141.0,0.619,0.753,-0.132,0.178
5410378,3224.0,7419.0,-1229.0,0.619,0.753,-0.132,0.178
5410395,3248.0,7417.0,-1191.0,0.619,0.754,-0.132,0.179
5410411,3198.0,7377.0,-1141.0,0.619,0.754,-0.132,0.179
5410427,3112.0,7435.0,-1093.0,0.619,0.754,-0.131,0.179
5410443,3058.0,7489.0,-1171.0,0.619,0.754,-0.131,0.179
5410469,3102.0,7515.0,-1179.0,0.619,0.754,-0.131,0.178
5410486,3072.0,7469.0,-1201.0,0.619,0.754,-0.13,0.178
5410503,3088.0,7477.0,-1151.0,0.619,0.754,-0.13,0.178
5410520,3134.0,7443.0,-1151.0,0.619,0.754,-0.13,0.178
5410537,3212.0,7443.0,-1211.0,0.619,0.754,-0.13,0.179
5410553,3274.0,7453.0,-1155.0,0.619,0.754,-0.129,0.179
5410569,3280.0,7405.0,-1125.0,0.619,0.754,-0.129,0.179
5410586,3294.0,7359.0,-1085.0,0.619,0.754,-0.129,0.179
5410602,3308.0,7397.0,-1167.0,0.619,0.754,-0.129,0.18
5410629,3278.0,7441.0,-1145.0,0.619,0.754,-0.128,0.18
5410646,3184.0,7477.0,-1155.0,0.619,0.754,-0.128,0.18
5410662,3210.0,7469.0,-1221.0,0.619,0.754,-0.128,0.18
5410679,3162.0,7489.0,-1191.0,0.619,0.754,-0.128,0.18
5410696,3200.0,7389.0,-1175.0,0.619,0.754,-0.128,0.18
5410713,3216.0,7429.0,-1123.0,0.619,0.754,-0.127,0.18
5410730,3212.0,7447.0,-1159.0,0.619,0.754,-0.127,0.18
5410747,3154.0,7441.0,-1189.0,0.618,0.754,-0.127,0.18
5410764,3188.0,7447.0,-1193.0,0.618,0.754,-0.127,0.181
5410780,3138.0,7431.0,-1127.0,0.618,0.754,-0.127,0.181
5410806,3222.0,7405.0,-1161.0,0.618,0.754,-0.126,0.181
5410823,3214.0,7467.0,-1195.0,0.618,0.754,-0.126,0.181
5410840,3216.0,7435.0,-1183.0,0.618,0.754,-0.126,0.181
5410857,3196.0,7437.0,-1131.0,0.618,0.754,-0.126,0.181
5410873,3212.0,7419.0,-1165.0,0.618,0.754,-0.126,0.181
5410889,3226.0,7473.0,-1151.0,0.618,0.755,-0.126,0.181
5410906,3218.0,7413.0,-1195.0,0.618,0.755,-0.125,0.181
5410922,3234.0,7441.0,-1167.0,0.618,0.755,-0.125,0.182
5410939,3244.0,7423.0,-1181.0,0.618,0.755,-0.125,0.182
5410965,3278.0,7501.0,-1205.0,0.618,0.755,-0.125,0.182
5410982,3188.0,7415.0,-1163.0,0.618,0.755,-0.124,0.182
5410999,3236.0,7389.0,-1181.0,0.618,0.755,-0.124,0.182
5411015,3280.0,7431.0,-1185.0,0.618,0.755,-0.124,0.182
5411031,3220.0,7419.0,-1193.0,0.618,0.755,-0.124,0.182
5411047,3170.0,7479.0,-1171.0,0.618,0.755,-0.123,0.182
5411064,3192.0,7377.0,-1175.0,0.618,0.755,-0.123,0.182
5411081,3230.0,7419.0,-1163.0,0.618,0.755,-0.123,0.183
5411098,3186.0,7393.0,-1241.0,0.618,0.755,-0.123,0.183
5411125,3214.0,7443.0,-1217.0,0.618,0.755,-0.123,0.183
5411142,3258.0,7449.0,-1187.0,0.618,0.755,-0.122,0.183
5411159,3196.0,7423.0,-1213.0,0.618,0.755,-0.122,0.183
5411176,3246.0,7467.0,-1221.0,0.618,0.755,-0.122,0.183
5411193,3242.0,7473.0,-1243.0,0.618,0.755,-0.122,0.183
5411209,3232.0,7487.0,-1171.0,0.618,0.755,-0.121,0.183
5411226,3200.0,7515.0,-1163.0,0.618,0.755,-0.121,0.183
5411242,3252.0,7451.0,-1227.0,0.618,0.755,-0.121,0.183
5411258,3224.0,7407.0,-1215.0,0.618,0.755,-0.12,0.183
5411275,3188.0,7467.0,-1139.0,0.618,0.755,-0.12,0.183
5411302,3192.0,7427.0,-1221.0,0.618,0.755,-0.12,0.183
5411319,3138.0,7381.0,-1215.0,0.618,0.755,-0.119,0.184
5411335,3202.0,7397.0,-1179.0,0.618,0.755,-0.119,0.184
5411352,3148.0,7441.0,-1179.0,0.618,0.755,-0.119,0.184
