timeMs,ax,ay,az,q0,q1,q2,q3
1834857,3366.0,1496.0,6596.0,0.879,0.222,-0.228,0.356
1834873,3602.0,568.0,6908.0,0.883,0.21,-0.226,0.354
1834889,3822.0,1734.0,7522.0,0.886,0.201,-0.224,0.353
1834905,3350.0,2806.0,8324.0,0.889,0.192,-0.222,0.352
1834921,2708.0,1442.0,8974.0,0.893,0.181,-0.219,0.35
1834937,2736.0,-78.0,9084.0,0.895,0.173,-0.214,0.35
1834963,3066.0,-524.0,8332.0,0.897,0.17,-0.208,0.351
1834979,3262.0,16.0,7542.0,0.897,0.172,-0.202,0.354
1834995,3458.0,552.0,7166.0,0.896,0.176,-0.195,0.358
1835011,3948.0,1100.0,7356.0,0.895,0.18,-0.188,0.362
1835027,4012.0,1454.0,7554.0,0.894,0.185,-0.181,0.367
1835053,4000.0,1732.0,7682.0,0.893,0.189,-0.173,0.371
1835069,4080.0,2650.0,7368.0,0.891,0.194,-0.165,0.375
1835085,3872.0,3512.0,7244.0,0.889,0.199,-0.158,0.38
1835101,3660.0,3164.0,6940.0,0.888,0.204,-0.152,0.384
1835117,3576.0,2778.0,6788.0,0.886,0.207,-0.147,0.387
1835133,3752.0,2772.0,6938.0,0.885,0.211,-0.142,0.39
1835159,3830.0,3060.0,7178.0,0.884,0.215,-0.138,0.393
1835175,3716.0,3214.0,7178.0,0.882,0.219,-0.135,0.395
1835193,3598.0,3356.0,7072.0,0.88,0.223,-0.132,0.398
1835209,3780.0,3170.0,7124.0,0.878,0.226,-0.131,0.4
1835225,3842.0,2878.0,7000.0,0.878,0.227,-0.13,0.402
1835241,3932.0,2624.0,6906.0,0.877,0.227,-0.128,0.403
1835257,3852.0,2960.0,6598.0,0.877,0.227,-0.126,0.404
1835283,3634.0,3312.0,6514.0,0.878,0.225,-0.124,0.404
1835299,3358.0,2990.0,6872.0,0.879,0.221,-0.121,0.404
1835315,3144.0,2512.0,7248.0,0.88,0.219,-0.118,0.404
1835331,3064.0,2590.0,7524.0,0.881,0.217,-0.115,0.404
1835347,2956.0,2396.0,7508.0,0.882,0.216,-0.112,0.404
1835363,2950.0,2326.0,7486.0,0.882,0.215,-0.109,0.404
1835389,2836.0,2252.0,7538.0,0.883,0.215,-0.105,0.404
1835405,2736.0,2302.0,7564.0,0.883,0.216,-0.102,0.404
1835421,2696.0,2354.0,7524.0,0.883,0.217,-0.099,0.404
1835437,2756.0,2516.0,7428.0,0.883,0.219,-0.096,0.404
1835453,2770.0,2738.0,7356.0,0.883,0.221,-0.093,0.404
1835469,2810.0,2812.0,7416.0,0.882,0.223,-0.091,0.405
