timeMs,ax,ay,az,q0,q1,q2,q3
3960895,4684.0,4902.0,4626.0,0.851,0.417,-0.243,0.208
3960911,4712.0,4934.0,4658.0,0.851,0.417,-0.243,0.208
3960927,4738.0,4956.0,4560.0,0.851,0.417,-0.243,0.208
3960943,4596.0,5004.0,4540.0,0.851,0.417,-0.244,0.208
3960959,4372.0,5176.0,4568.0,0.851,0.416,-0.244,0.208
3960985,3900.0,5470.0,4716.0,0.851,0.416,-0.246,0.208
3961002,4424.0,5702.0,5074.0,0.851,0.414,-0.249,0.207
3961019,4438.0,5764.0,4856.0,0.851,0.412,-0.253,0.206
3961036,4572.0,5464.0,4862.0,0.851,0.409,-0.257,0.205
3961052,4242.0,5216.0,5484.0,0.852,0.406,-0.261,0.204
3961068,4484.0,4508.0,5420.0,0.854,0.4,-0.266,0.201
3961085,4146.0,3416.0,5332.0,0.855,0.396,-0.27,0.198
3961101,4206.0,3644.0,5196.0,0.857,0.392,-0.273,0.196
3961117,4274.0,3464.0,5184.0,0.858,0.388,-0.275,0.193
3961144,4104.0,3372.0,5106.0,0.859,0.386,-0.276,0.191
3961160,4620.0,3700.0,4628.0,0.861,0.383,-0.277,0.19
3961176,4832.0,3884.0,4890.0,0.862,0.381,-0.278,0.188
3961192,4754.0,4198.0,5180.0,0.863,0.379,-0.278,0.186
3961208,5140.0,4054.0,4634.0,0.864,0.377,-0.278,0.185
3961224,5658.0,4288.0,4158.0,0.864,0.377,-0.278,0.184
3961241,5526.0,5000.0,4386.0,0.865,0.376,-0.277,0.183
3961268,5684.0,5388.0,4368.0,0.866,0.375,-0.277,0.182
3961285,5504.0,5170.0,4338.0,0.867,0.373,-0.277,0.181
3961301,5478.0,5164.0,4318.0,0.868,0.37,-0.278,0.18
3961317,5476.0,4962.0,4240.0,0.869,0.367,-0.278,0.18
3961333,4832.0,4258.0,4414.0,0.87,0.364,-0.279,0.18
3961349,4756.0,4152.0,4376.0,0.871,0.362,-0.279,0.18
3961366,5530.0,3900.0,4388.0,0.872,0.36,-0.278,0.181
3961383,5836.0,4200.0,4346.0,0.872,0.359,-0.277,0.181
3961410,6052.0,4260.0,4314.0,0.873,0.359,-0.276,0.182
3961426,5840.0,4176.0,4348.0,0.873,0.36,-0.275,0.182
3961442,5546.0,4130.0,4768.0,0.873,0.36,-0.274,0.182
3961458,5164.0,4096.0,5096.0,0.873,0.36,-0.274,0.182
3961474,4792.0,4126.0,5242.0,0.873,0.36,-0.274,0.182
3961490,4688.0,4038.0,5254.0,0.873,0.36,-0.274,0.183
3961516,4612.0,4220.0,5320.0,0.873,0.359,-0.275,0.183
3961532,4586.0,4174.0,5330.0,0.872,0.359,-0.277,0.184
3961548,4588.0,4146.0,5284.0,0.872,0.358,-0.279,0.185
3961564,4674.0,4286.0,5204.0,0.871,0.358,-0.282,0.186
3961581,4878.0,4456.0,5144.0,0.87,0.357,-0.285,0.186
3961598,4984.0,4488.0,5102.0,0.869,0.356,-0.289,0.187
3961614,5070.0,4404.0,5096.0,0.868,0.354,-0.293,0.187
3961640,5050.0,4474.0,5086.0,0.867,0.353,-0.297,0.187
3961656,5146.0,4514.0,5070.0,0.867,0.351,-0.301,0.187
3961672,5158.0,4352.0,5106.0,0.866,0.349,-0.305,0.188
3961688,5318.0,4252.0,5150.0,0.865,0.347,-0.309,0.188
3961704,5376.0,4254.0,4948.0,0.864,0.345,-0.313,0.189
3961720,5436.0,4430.0,4678.0,0.863,0.344,-0.316,0.191
3961746,5322.0,4456.0,4456.0,0.862,0.343,-0.319,0.192
3961762,5338.0,4302.0,4448.0,0.862,0.342,-0.322,0.193
3961778,5522.0,4010.0,4544.0,0.861,0.341,-0.324,0.194
3961794,5626.0,3686.0,4500.0,0.86,0.34,-0.326,0.194
3961811,5688.0,3234.0,4472.0,0.86,0.339,-0.327,0.195
3961827,5710.0,3222.0,4426.0,0.86,0.338,-0.329,0.197
3961844,5840.0,3422.0,4552.0,0.859,0.338,-0.329,0.199
3961870,5992.0,3540.0,4604.0,0.859,0.337,-0.33,0.201
3961886,6008.0,3128.0,4758.0,0.859,0.336,-0.33,0.203
3961902,6116.0,2752.0,4714.0,0.858,0.335,-0.331,0.205
3961919,6214.0,2648.0,4574.0,0.858,0.333,-0.331,0.207
3961935,6134.0,2618.0,4518.0,0.858,0.332,-0.331,0.209
3961951,5976.0,2720.0,4576.0,0.859,0.33,-0.331,0.21
3961968,5730.0,2834.0,4724.0,0.859,0.329,-0.331,0.211
3961994,5656.0,2928.0,4948.0,0.859,0.328,-0.331,0.212
3962010,5672.0,2906.0,5020.0,0.859,0.326,-0.331,0.213
3962026,5658.0,2940.0,5090.0,0.86,0.325,-0.331,0.213
3962043,5720.0,3206.0,5078.0,0.86,0.324,-0.332,0.213
3962059,5636.0,3298.0,4942.0,0.86,0.324,-0.331,0.214
3962075,5608.0,3600.0,4830.0,0.86,0.324,-0.331,0.214
3962092,5598.0,3794.0,4680.0,0.86,0.324,-0.331,0.214
3962118,5610.0,3764.0,4648.0,0.861,0.324,-0.33,0.213
3962134,5522.0,3630.0,4650.0,0.861,0.324,-0.329,0.213
3962150,5600.0,3602.0,4722.0,0.861,0.325,-0.327,0.213
3962167,5586.0,3656.0,4786.0,0.862,0.325,-0.325,0.213
3962183,5656.0,3716.0,4824.0,0.863,0.326,-0.323,0.214
3962199,5660.0,3642.0,4850.0,0.863,0.327,-0.32,0.215
3962215,5732.0,3594.0,4804.0,0.864,0.327,-0.316,0.215
3962241,5712.0,3506.0,4814.0,0.865,0.328,-0.313,0.217
3962257,5698.0,3410.0,4890.0,0.865,0.329,-0.309,0.218
3962273,5504.0,3468.0,4898.0,0.866,0.33,-0.305,0.219
3962289,5500.0,3406.0,5050.0,0.867,0.331,-0.301,0.22
3962305,5362.0,3342.0,5138.0,0.867,0.332,-0.298,0.221
3962321,5272.0,3264.0,5244.0,0.868,0.333,-0.295,0.222
3962347,5182.0,3272.0,5374.0,0.868,0.333,-0.292,0.223
3962363,5206.0,3276.0,5414.0,0.869,0.334,-0.289,0.223
3962379,5168.0,3204.0,5412.0,0.869,0.334,-0.287,0.224
3962395,5090.0,3314.0,5416.0,0.87,0.334,-0.286,0.224
3962412,5040.0,3304.0,5390.0,0.87,0.335,-0.284,0.224
3962428,5048.0,3376.0,5336.0,0.87,0.335,-0.284,0.223
3962454,5074.0,3488.0,5232.0,0.87,0.335,-0.283,0.223
3962470,5074.0,3644.0,5228.0,0.87,0.336,-0.282,0.223
3962486,5072.0,3806.0,5218.0,0.87,0.337,-0.282,0.222
3962502,5072.0,3880.0,5154.0,0.87,0.338,-0.281,0.222
3962518,5034.0,3938.0,5236.0,0.87,0.338,-0.281,0.222
3962534,4988.0,3968.0,5222.0,0.87,0.339,-0.28,0.222
3962560,5010.0,4046.0,5124.0,0.87,0.34,-0.28,0.221
3962576,5002.0,4174.0,5204.0,0.87,0.34,-0.279,0.221
3962592,5044.0,4166.0,5152.0,0.87,0.341,-0.279,0.221
3962608,4934.0,4078.0,5186.0,0.87,0.342,-0.278,0.221
3962624,4948.0,3992.0,5264.0,0.87,0.342,-0.277,0.22
3962640,4902.0,3942.0,5254.0,0.87,0.343,-0.277,0.22
3962666,4922.0,4014.0,5304.0,0.87,0.343,-0.277,0.219
3962682,4872.0,3982.0,5288.0,0.87,0.344,-0.276,0.219
3962698,4968.0,3936.0,5344.0,0.87,0.344,-0.276,0.219
3962714,4972.0,3852.0,5252.0,0.87,0.344,-0.276,0.219
3962730,5046.0,3802.0,5170.0,0.87,0.344,-0.276,0.219
3962746,5104.0,3776.0,5090.0,0.87,0.344,-0.277,0.219
3962772,5222.0,3862.0,5132.0,0.87,0.344,-0.277,0.219
3962788,5284.0,3720.0,5102.0,0.87,0.344,-0.278,0.219
3962804,5348.0,3868.0,5062.0,0.869,0.344,-0.278,0.22
3962820,5350.0,3828.0,5046.0,0.869,0.344,-0.279,0.22
3962836,5300.0,3806.0,5012.0,0.869,0.344,-0.279,0.22
3962852,5256.0,3864.0,4982.0,0.869,0.344,-0.28,0.22
3962878,5156.0,3874.0,5002.0,0.869,0.344,-0.28,0.22
3962894,5112.0,3896.0,5058.0,0.869,0.344,-0.28,0.22
3962910,5042.0,3852.0,5120.0,0.869,0.344,-0.28,0.22
3962926,5062.0,3752.0,5136.0,0.869,0.344,-0.281,0.221
3962942,5070.0,3718.0,5136.0,0.869,0.344,-0.281,0.221
3962958,5130.0,3782.0,5148.0,0.869,0.343,-0.281,0.221
3962984,5152.0,3808.0,5114.0,0.869,0.343,-0.281,0.221
3963000,5178.0,3864.0,5098.0,0.869,0.343,-0.281,0.221
3963016,5150.0,3830.0,5126.0,0.869,0.343,-0.281,0.221
3963032,5136.0,3850.0,5136.0,0.869,0.343,-0.281,0.221
3963048,5068.0,3890.0,5148.0,0.869,0.343,-0.281,0.22
3963064,5050.0,3912.0,5128.0,0.869,0.343,-0.281,0.22
3963091,5086.0,3888.0,5160.0,0.869,0.343,-0.281,0.22
3963107,5142.0,3860.0,5108.0,0.869,0.343,-0.281,0.22
3963123,5168.0,3790.0,5154.0,0.869,0.343,-0.281,0.219
3963139,5210.0,3868.0,5120.0,0.869,0.343,-0.281,0.219
3963156,5244.0,3884.0,5110.0,0.869,0.343,-0.281,0.219
3963173,5210.0,3882.0,5038.0,0.869,0.343,-0.281,0.219
3963189,5260.0,3868.0,5044.0,0.869,0.343,-0.281,0.219
3963215,5166.0,3760.0,5024.0,0.869,0.343,-0.281,0.219
3963232,5212.0,3778.0,5108.0,0.869,0.343,-0.281,0.219
3963248,5194.0,3782.0,5092.0,0.869,0.343,-0.28,0.219
3963265,5220.0,3778.0,5096.0,0.869,0.343,-0.28,0.219
3963282,5204.0,3796.0,5092.0,0.87,0.343,-0.28,0.219
3963299,5176.0,3824.0,5108.0,0.87,0.343,-0.279,0.219
3963315,5192.0,3858.0,5144.0,0.87,0.343,-0.279,0.219
3963331,5166.0,3870.0,5122.0,0.87,0.343,-0.278,0.219
3963348,5074.0,3874.0,5084.0,0.87,0.343,-0.278,0.22
3963374,5088.0,3836.0,5090.0,0.87,0.344,-0.278,0.22
3963391,5070.0,3840.0,5156.0,0.87,0.344,-0.277,0.22
3963408,5044.0,3842.0,5174.0,0.87,0.344,-0.277,0.22
3963425,5062.0,3860.0,5204.0,0.87,0.344,-0.276,0.22
3963441,5038.0,3930.0,5176.0,0.87,0.344,-0.276,0.22
3963457,5082.0,3916.0,5220.0,0.87,0.344,-0.275,0.22
3963473,5102.0,3842.0,5220.0,0.871,0.344,-0.275,0.219
3963489,5052.0,3706.0,5144.0,0.871,0.345,-0.274,0.219
3963515,5044.0,3896.0,5148.0,0.871,0.345,-0.274,0.219
3963531,5108.0,3868.0,5144.0,0.871,0.345,-0.273,0.219
3963548,5096.0,3878.0,5126.0,0.871,0.345,-0.273,0.219
3963565,5084.0,3884.0,5094.0,0.871,0.346,-0.272,0.219
3963581,5046.0,3940.0,5136.0,0.871,0.346,-0.271,0.218
3963598,5060.0,3970.0,5178.0,0.871,0.347,-0.27,0.218
3963614,5026.0,3954.0,5168.0,0.871,0.347,-0.269,0.218
3963631,5030.0,3818.0,5154.0,0.872,0.348,-0.268,0.218
3963657,5052.0,4114.0,5106.0,0.872,0.348,-0.267,0.218
3963673,5086.0,4036.0,5120.0,0.872,0.349,-0.266,0.218
3963690,4950.0,4032.0,5084.0,0.872,0.349,-0.265,0.218
3963707,5058.0,3966.0,5090.0,0.872,0.35,-0.263,0.218
3963723,5094.0,3918.0,5174.0,0.872,0.35,-0.262,0.218
3963739,4962.0,3852.0,5130.0,0.873,0.351,-0.261,0.218
3963755,4994.0,4110.0,5100.0,0.873,0.351,-0.259,0.219
3963781,4948.0,4056.0,5146.0,0.873,0.351,-0.258,0.219
3963798,4912.0,4090.0,5242.0,0.873,0.352,-0.257,0.219
3963815,4744.0,3978.0,5294.0,0.873,0.352,-0.255,0.22
3963832,4714.0,4164.0,5286.0,0.873,0.353,-0.254,0.221
3963849,4720.0,4140.0,5192.0,0.873,0.353,-0.253,0.221
3963865,4740.0,4072.0,5360.0,0.873,0.353,-0.252,0.221
