timeMs,ax,ay,az,q0,q1,q2,q3
1128761,8178.0,1216.0,332.0,0.103,0.692,-0.011,0.714
1128778,8280.0,674.0,182.0,0.104,0.692,-0.014,0.715
1128795,8296.0,1206.0,-128.0,0.104,0.692,-0.016,0.715
1128811,8288.0,1850.0,-336.0,0.105,0.692,-0.02,0.714
1128828,8522.0,2190.0,-416.0,0.106,0.691,-0.024,0.715
1128845,8612.0,1886.0,-410.0,0.107,0.69,-0.029,0.715
1128862,8332.0,1574.0,-204.0,0.108,0.689,-0.034,0.716
1128888,7948.0,1652.0,-146.0,0.108,0.688,-0.039,0.716
1128905,7776.0,1808.0,-16.0,0.107,0.688,-0.045,0.716
1128921,7758.0,1686.0,38.0,0.107,0.688,-0.05,0.716
1128937,7986.0,1388.0,-270.0,0.107,0.689,-0.056,0.715
1128953,8002.0,1656.0,-358.0,0.107,0.689,-0.061,0.714
1128970,8126.0,1646.0,-358.0,0.108,0.689,-0.066,0.713
1128986,8212.0,1678.0,-422.0,0.108,0.69,-0.07,0.713
1129012,8120.0,1366.0,-278.0,0.108,0.689,-0.075,0.712
1129029,8310.0,1222.0,-272.0,0.109,0.689,-0.078,0.712
1129046,8418.0,1342.0,-324.0,0.109,0.689,-0.081,0.712
1129063,8342.0,1208.0,-172.0,0.11,0.689,-0.084,0.712
1129080,8246.0,1066.0,-92.0,0.111,0.688,-0.086,0.712
1129096,8410.0,696.0,22.0,0.112,0.689,-0.087,0.711
1129112,8424.0,878.0,-126.0,0.113,0.689,-0.087,0.711
1129128,8708.0,1006.0,-102.0,0.114,0.689,-0.087,0.71
1129154,8366.0,1156.0,-248.0,0.115,0.69,-0.087,0.709
1129170,7966.0,1324.0,-150.0,0.117,0.691,-0.086,0.708
1129186,9180.0,1142.0,620.0,0.121,0.693,-0.085,0.706
1129202,7846.0,1736.0,-314.0,0.122,0.694,-0.084,0.705
1129218,8310.0,952.0,-216.0,0.124,0.695,-0.083,0.703
1129234,8276.0,1432.0,-438.0,0.126,0.697,-0.082,0.702
1129261,8426.0,888.0,-166.0,0.128,0.697,-0.08,0.701
1129277,7910.0,824.0,-92.0,0.129,0.698,-0.079,0.7
1129293,8364.0,1078.0,-92.0,0.129,0.698,-0.077,0.7
1129310,8428.0,1226.0,-178.0,0.13,0.699,-0.075,0.7
1129326,8492.0,864.0,-66.0,0.13,0.699,-0.074,0.7
1129342,8318.0,1046.0,-20.0,0.13,0.699,-0.072,0.7
1129368,8326.0,1050.0,94.0,0.13,0.699,-0.071,0.7
1129384,8192.0,960.0,66.0,0.13,0.699,-0.07,0.7
1129400,8440.0,782.0,96.0,0.131,0.698,-0.069,0.7
1129416,8438.0,578.0,214.0,0.131,0.698,-0.069,0.701
1129432,8446.0,678.0,138.0,0.131,0.697,-0.068,0.701
1129448,8368.0,796.0,380.0,0.13,0.697,-0.067,0.702
1129464,8216.0,868.0,542.0,0.13,0.696,-0.066,0.703
1129491,8256.0,814.0,614.0,0.129,0.695,-0.066,0.704
1129508,8250.0,714.0,650.0,0.129,0.694,-0.065,0.706
1129524,8260.0,832.0,600.0,0.128,0.693,-0.065,0.707
1129540,8102.0,732.0,626.0,0.127,0.692,-0.064,0.708
1129556,7840.0,838.0,560.0,0.126,0.69,-0.064,0.709
1129573,7876.0,756.0,558.0,0.125,0.689,-0.063,0.711
1129589,7880.0,730.0,438.0,0.123,0.688,-0.063,0.713
1129615,8196.0,674.0,238.0,0.122,0.686,-0.062,0.715
1129631,8464.0,956.0,92.0,0.121,0.684,-0.062,0.717
1129647,8578.0,862.0,74.0,0.121,0.681,-0.063,0.72
1129663,8516.0,672.0,264.0,0.12,0.678,-0.064,0.723
1129679,8386.0,568.0,492.0,0.12,0.675,-0.065,0.725
1129695,8192.0,452.0,580.0,0.121,0.672,-0.066,0.727
1129712,8122.0,580.0,518.0,0.122,0.67,-0.067,0.729
1129738,8068.0,610.0,406.0,0.123,0.668,-0.069,0.73
1129755,7894.0,542.0,294.0,0.124,0.667,-0.071,0.731
1129772,7736.0,500.0,240.0,0.126,0.665,-0.074,0.733
1129788,7556.0,382.0,332.0,0.129,0.663,-0.076,0.734
1129805,7408.0,200.0,480.0,0.131,0.661,-0.079,0.734
1129822,7416.0,260.0,618.0,0.133,0.66,-0.082,0.735
1129838,7272.0,312.0,684.0,0.136,0.659,-0.085,0.735
1129854,7250.0,236.0,958.0,0.138,0.658,-0.087,0.736
1129880,7278.0,98.0,1134.0,0.14,0.657,-0.09,0.736
1129897,7366.0,148.0,1306.0,0.141,0.656,-0.091,0.736
1129913,7382.0,186.0,1354.0,0.141,0.656,-0.092,0.736
1129930,7470.0,422.0,1458.0,0.14,0.656,-0.092,0.736
1129946,7498.0,444.0,1476.0,0.138,0.656,-0.09,0.736
1129963,7542.0,408.0,1440.0,0.136,0.657,-0.088,0.736
1129980,7548.0,510.0,1308.0,0.132,0.658,-0.085,0.737
1129997,7514.0,584.0,1222.0,0.129,0.659,-0.081,0.737
1130013,7638.0,592.0,1156.0,0.125,0.66,-0.077,0.737
1130039,7740.0,498.0,1050.0,0.121,0.661,-0.072,0.737
1130055,7804.0,472.0,938.0,0.117,0.662,-0.067,0.737
1130071,7876.0,546.0,892.0,0.114,0.664,-0.061,0.737
1130090,7824.0,552.0,846.0,0.111,0.665,-0.056,0.736
1130107,7884.0,686.0,846.0,0.108,0.667,-0.051,0.735
1130123,7942.0,862.0,858.0,0.106,0.669,-0.046,0.734
1130140,7980.0,898.0,972.0,0.105,0.671,-0.043,0.733
1130156,7914.0,844.0,1016.0,0.104,0.673,-0.04,0.731
1130172,7952.0,872.0,1016.0,0.104,0.675,-0.039,0.729
1130199,7976.0,650.0,944.0,0.105,0.677,-0.038,0.727
1130215,7980.0,672.0,1014.0,0.106,0.679,-0.038,0.725
1130232,8038.0,504.0,1052.0,0.108,0.681,-0.039,0.723
1130249,8226.0,424.0,1098.0,0.111,0.682,-0.041,0.721
1130266,8188.0,216.0,1078.0,0.114,0.683,-0.043,0.72
1130286,8182.0,116.0,1074.0,0.118,0.684,-0.046,0.718
1130303,8066.0,92.0,1060.0,0.122,0.685,-0.049,0.717
1130320,8106.0,132.0,932.0,0.127,0.685,-0.052,0.716
1130336,8176.0,186.0,716.0,0.131,0.685,-0.055,0.714
1130352,8330.0,224.0,550.0,0.136,0.685,-0.058,0.713
1130368,8202.0,420.0,454.0,0.141,0.685,-0.061,0.712
1130385,8296.0,476.0,494.0,0.147,0.685,-0.065,0.711
1130402,8192.0,228.0,462.0,0.153,0.684,-0.069,0.71
1130428,7984.0,418.0,412.0,0.158,0.684,-0.073,0.709
1130445,7818.0,724.0,476.0,0.163,0.683,-0.077,0.707
1130461,7576.0,772.0,508.0,0.168,0.683,-0.082,0.706
1130477,7386.0,770.0,388.0,0.173,0.683,-0.086,0.704
1130494,7426.0,944.0,218.0,0.178,0.684,-0.091,0.702
1130510,7488.0,1130.0,104.0,0.182,0.684,-0.096,0.7
1130526,7456.0,1382.0,124.0,0.186,0.685,-0.102,0.697
1130553,7498.0,1430.0,226.0,0.191,0.685,-0.108,0.694
1130570,7554.0,1416.0,112.0,0.196,0.686,-0.115,0.691
1130587,7712.0,1106.0,-8.0,0.2,0.687,-0.122,0.688
1130603,7876.0,1188.0,-28.0,0.204,0.687,-0.129,0.685
1130620,7852.0,1496.0,-56.0,0.208,0.688,-0.136,0.682
