timeMs,ax,ay,az,q0,q1,q2,q3
6703261,4559.0,5013.0,4578.0,0.833,0.433,-0.204,0.277
6703277,4643.0,4987.0,4626.0,0.833,0.434,-0.204,0.278
6703293,4593.0,4979.0,4614.0,0.833,0.434,-0.204,0.278
6703319,4617.0,5017.0,4546.0,0.833,0.434,-0.203,0.278
6703335,4595.0,4983.0,4588.0,0.833,0.434,-0.203,0.278
6703351,4609.0,4943.0,4582.0,0.833,0.433,-0.203,0.278
6703367,4589.0,4929.0,4634.0,0.833,0.433,-0.203,0.278
6703384,4551.0,4947.0,4608.0,0.833,0.433,-0.203,0.278
6703401,4577.0,4899.0,4582.0,0.833,0.433,-0.203,0.278
6703417,4649.0,4937.0,4580.0,0.833,0.433,-0.203,0.278
6703443,4641.0,4947.0,4598.0,0.833,0.433,-0.203,0.278
6703460,4609.0,5035.0,4606.0,0.833,0.433,-0.202,0.278
6703476,4601.0,5037.0,4606.0,0.833,0.433,-0.202,0.278
6703492,4591.0,5029.0,4568.0,0.833,0.433,-0.202,0.278
6703509,4587.0,5055.0,4594.0,0.833,0.433,-0.202,0.278
6703525,4549.0,4995.0,4506.0,0.833,0.433,-0.202,0.278
6703542,4523.0,4971.0,4530.0,0.833,0.433,-0.202,0.279
6703558,4537.0,4973.0,4526.0,0.833,0.433,-0.201,0.279
6703584,4505.0,5063.0,4566.0,0.833,0.433,-0.201,0.279
6703600,4587.0,4965.0,4610.0,0.833,0.433,-0.201,0.279
6703616,4527.0,5015.0,4574.0,0.833,0.433,-0.2,0.28
6703632,4511.0,4957.0,4702.0,0.833,0.432,-0.2,0.28
6703648,4505.0,4973.0,4744.0,0.834,0.432,-0.2,0.28
6703664,4515.0,4867.0,4702.0,0.834,0.432,-0.2,0.281
6703690,4483.0,4859.0,4684.0,0.834,0.431,-0.2,0.281
6703706,4505.0,4889.0,4700.0,0.834,0.431,-0.2,0.281
6703722,4523.0,4861.0,4702.0,0.833,0.431,-0.201,0.281
6703739,4611.0,4911.0,4650.0,0.833,0.431,-0.201,0.281
6703755,4609.0,4907.0,4648.0,0.833,0.432,-0.201,0.281
6703771,4619.0,4917.0,4630.0,0.833,0.432,-0.202,0.281
6703797,4651.0,4943.0,4612.0,0.833,0.432,-0.202,0.281
6703814,4617.0,4981.0,4600.0,0.833,0.432,-0.202,0.281
6703833,4603.0,4971.0,4542.0,0.832,0.432,-0.203,0.281
