timeMs,ax,ay,az,q0,q1,q2,q3
5140640,2718.0,7709.0,-483.0,0.658,0.723,-0.201,0.067
5140656,2732.0,7679.0,-537.0,0.657,0.723,-0.201,0.068
5140672,2770.0,7753.0,-581.0,0.657,0.723,-0.201,0.068
5140688,2794.0,7751.0,-549.0,0.657,0.723,-0.201,0.069
5140704,2786.0,7703.0,-551.0,0.657,0.723,-0.2,0.069
5140730,2794.0,7693.0,-503.0,0.657,0.723,-0.2,0.069
5140746,2770.0,7681.0,-515.0,0.657,0.723,-0.2,0.069
5140762,2770.0,7681.0,-513.0,0.657,0.723,-0.2,0.07
5140779,2770.0,7639.0,-479.0,0.657,0.723,-0.199,0.07
5140795,2710.0,7613.0,-495.0,0.657,0.723,-0.199,0.07
5140811,2688.0,7653.0,-477.0,0.657,0.723,-0.199,0.071
5140828,2746.0,7747.0,-481.0,0.657,0.723,-0.199,0.071
5140845,2766.0,7709.0,-503.0,0.657,0.723,-0.199,0.072
5140871,2768.0,7599.0,-507.0,0.657,0.723,-0.199,0.072
5140887,2768.0,7589.0,-503.0,0.657,0.723,-0.198,0.072
5140904,2778.0,7587.0,-421.0,0.657,0.724,-0.198,0.073
5140921,2764.0,7701.0,-447.0,0.657,0.724,-0.198,0.073
5140939,2752.0,7719.0,-479.0,0.657,0.724,-0.198,0.073
5140956,2712.0,7651.0,-519.0,0.657,0.724,-0.197,0.073
5140973,2714.0,7679.0,-533.0,0.657,0.724,-0.197,0.073
5140990,2768.0,7655.0,-523.0,0.657,0.724,-0.197,0.073
5141006,2800.0,7663.0,-543.0,0.657,0.724,-0.197,0.073
5141023,2840.0,7723.0,-563.0,0.657,0.724,-0.197,0.073
5141040,2838.0,7717.0,-555.0,0.657,0.724,-0.197,0.073
5141066,2848.0,7693.0,-607.0,0.657,0.724,-0.196,0.073
5141082,2832.0,7599.0,-581.0,0.657,0.724,-0.196,0.073
5141098,2856.0,7697.0,-549.0,0.657,0.724,-0.196,0.073
5141114,2804.0,7715.0,-543.0,0.657,0.724,-0.196,0.073
5141130,2776.0,7679.0,-531.0,0.657,0.724,-0.195,0.073
5141146,2834.0,7605.0,-557.0,0.657,0.724,-0.195,0.074
5141172,2764.0,7613.0,-535.0,0.657,0.724,-0.195,0.074
5141188,2762.0,7645.0,-527.0,0.657,0.724,-0.194,0.074
5141204,2712.0,7679.0,-489.0,0.658,0.724,-0.194,0.074
5141220,2716.0,7655.0,-513.0,0.658,0.724,-0.193,0.074
5141236,2638.0,7641.0,-487.0,0.658,0.724,-0.193,0.074
5141252,2712.0,7621.0,-533.0,0.658,0.724,-0.193,0.074
5141269,2692.0,7643.0,-569.0,0.658,0.724,-0.193,0.074
5141296,2712.0,7635.0,-539.0,0.658,0.724,-0.192,0.074
5141313,2802.0,7547.0,-539.0,0.658,0.725,-0.192,0.074
5141330,2652.0,7845.0,-525.0,0.658,0.725,-0.192,0.074
5141347,2876.0,7605.0,-515.0,0.658,0.725,-0.192,0.074
5141364,2728.0,7721.0,-553.0,0.657,0.725,-0.192,0.075
5141381,2776.0,7689.0,-613.0,0.657,0.725,-0.192,0.075
5141398,2784.0,7725.0,-571.0,0.657,0.725,-0.192,0.075
