timeMs,ax,ay,az,q0,q1,q2,q3
5041515,5746.0,3731.0,5220.0,0.897,0.222,-0.38,0.035
5041532,6168.0,4581.0,5914.0,0.898,0.213,-0.383,0.027
5041548,5750.0,3939.0,5930.0,0.901,0.202,-0.384,0.018
5041574,5644.0,3173.0,5918.0,0.903,0.19,-0.386,0.009
5041590,5050.0,1533.0,6498.0,0.904,0.181,-0.387,0.002
5041606,4178.0,1177.0,5890.0,0.904,0.176,-0.39,-0.005
5041622,6420.0,4953.0,6620.0,0.904,0.173,-0.391,-0.011
5041638,4716.0,3435.0,6840.0,0.905,0.167,-0.39,-0.019
5041654,5502.0,3233.0,7572.0,0.907,0.159,-0.39,-0.026
5041681,5484.0,2311.0,7752.0,0.908,0.152,-0.389,-0.034
5041697,5388.0,1205.0,7710.0,0.91,0.147,-0.386,-0.041
5041713,5580.0,25.0,7714.0,0.912,0.144,-0.382,-0.048
5041729,5872.0,509.0,7312.0,0.914,0.145,-0.376,-0.053
5041745,5512.0,581.0,6506.0,0.916,0.15,-0.368,-0.058
5041761,4736.0,401.0,5794.0,0.918,0.158,-0.36,-0.061
5041787,3098.0,111.0,3384.0,0.918,0.168,-0.354,-0.063
5041803,3134.0,1427.0,3496.0,0.917,0.178,-0.352,-0.063
5041819,4702.0,3449.0,4036.0,0.916,0.187,-0.35,-0.063
5041835,4306.0,4149.0,3844.0,0.915,0.195,-0.348,-0.063
5041851,4420.0,4849.0,3740.0,0.915,0.201,-0.345,-0.062
5041867,4170.0,5393.0,3392.0,0.915,0.205,-0.343,-0.062
5041893,3946.0,5153.0,3286.0,0.915,0.206,-0.341,-0.063
5041909,4198.0,5071.0,3548.0,0.915,0.205,-0.34,-0.063
5041925,4736.0,4979.0,4092.0,0.916,0.201,-0.341,-0.065
5041941,5318.0,4675.0,4824.0,0.917,0.195,-0.341,-0.067
5041957,5572.0,3813.0,5268.0,0.918,0.187,-0.342,-0.068
5041973,5402.0,3029.0,5518.0,0.92,0.178,-0.343,-0.07
5042000,5294.0,2247.0,5780.0,0.921,0.17,-0.343,-0.07
5042017,5204.0,2019.0,6072.0,0.923,0.163,-0.343,-0.07
5042034,5182.0,1959.0,6586.0,0.923,0.158,-0.343,-0.07
5042051,5276.0,1935.0,6984.0,0.924,0.155,-0.343,-0.07
5042068,5212.0,1523.0,7052.0,0.924,0.153,-0.344,-0.069
5042085,5024.0,1713.0,6706.0,0.923,0.155,-0.345,-0.068
5042103,5008.0,2359.0,6314.0,0.923,0.158,-0.345,-0.066
5042120,4936.0,2817.0,5998.0,0.922,0.162,-0.345,-0.065
5042136,4882.0,3343.0,5692.0,0.921,0.167,-0.345,-0.063
5042152,4794.0,3443.0,5524.0,0.921,0.17,-0.345,-0.062
5042168,4684.0,3573.0,5392.0,0.92,0.174,-0.345,-0.061
5042185,4758.0,3727.0,5360.0,0.92,0.177,-0.345,-0.061
5042212,4718.0,3905.0,5378.0,0.919,0.179,-0.345,-0.061
5042229,4754.0,3903.0,5370.0,0.919,0.18,-0.345,-0.061
5042246,4776.0,3767.0,5376.0,0.919,0.181,-0.344,-0.062
5042263,4810.0,3477.0,5436.0,0.919,0.18,-0.344,-0.062
5042279,4876.0,3313.0,5538.0,0.919,0.179,-0.344,-0.063
