timeMs,ax,ay,az,q0,q1,q2,q3
1309845,3588.0,3800.0,6506.0,0.777,0.326,-0.074,0.534
1309871,3564.0,3420.0,6750.0,0.777,0.325,-0.075,0.534
1309887,3552.0,3546.0,6656.0,0.777,0.325,-0.075,0.534
1309903,3630.0,3574.0,6664.0,0.777,0.324,-0.075,0.534
1309919,3536.0,3454.0,6606.0,0.777,0.324,-0.075,0.534
1309935,3574.0,3564.0,6582.0,0.777,0.324,-0.075,0.534
1309952,3596.0,3510.0,6644.0,0.778,0.323,-0.075,0.534
1309968,3578.0,3466.0,6638.0,0.778,0.322,-0.075,0.535
1309994,3584.0,3434.0,6640.0,0.778,0.321,-0.075,0.535
1310010,3602.0,3344.0,6738.0,0.778,0.321,-0.075,0.535
1310026,3548.0,3244.0,6710.0,0.778,0.321,-0.075,0.535
1310042,3594.0,3432.0,6612.0,0.778,0.32,-0.074,0.535
1310059,3558.0,3464.0,6662.0,0.778,0.32,-0.074,0.536
1310076,3590.0,3420.0,6684.0,0.778,0.32,-0.074,0.536
1310093,3570.0,3514.0,6686.0,0.778,0.32,-0.073,0.536
1310119,3616.0,3576.0,6684.0,0.778,0.32,-0.073,0.537
1310136,3590.0,3604.0,6646.0,0.777,0.32,-0.072,0.537
1310152,3574.0,3528.0,6706.0,0.777,0.319,-0.072,0.537
1310168,3532.0,3536.0,6700.0,0.778,0.319,-0.071,0.537
1310185,3530.0,3556.0,6580.0,0.778,0.318,-0.071,0.538
1310202,3500.0,3544.0,6650.0,0.778,0.318,-0.071,0.538
1310219,3414.0,3530.0,6734.0,0.778,0.317,-0.07,0.538
1310236,3432.0,3424.0,6780.0,0.778,0.317,-0.07,0.538
1310253,3394.0,3476.0,6764.0,0.778,0.317,-0.07,0.538
1310270,3404.0,3554.0,6782.0,0.778,0.316,-0.069,0.539
1310296,3408.0,3508.0,6782.0,0.778,0.316,-0.069,0.539
1310313,3444.0,3502.0,6680.0,0.778,0.316,-0.069,0.539
1310330,3452.0,3510.0,6688.0,0.778,0.316,-0.068,0.539
1310346,3510.0,3460.0,6732.0,0.778,0.315,-0.068,0.539
1310363,3530.0,3530.0,6662.0,0.778,0.315,-0.068,0.539
1310379,3522.0,3672.0,6608.0,0.778,0.315,-0.068,0.539
1310396,3502.0,3516.0,6688.0,0.778,0.314,-0.068,0.539
1310412,3572.0,3442.0,6748.0,0.778,0.314,-0.068,0.539
1310428,3530.0,3486.0,6826.0,0.779,0.313,-0.068,0.539
1310454,3558.0,3442.0,6784.0,0.779,0.313,-0.069,0.539
1310470,3462.0,3496.0,6778.0,0.779,0.313,-0.068,0.539
1310486,3478.0,3546.0,6750.0,0.779,0.313,-0.068,0.539
1310503,3472.0,3508.0,6712.0,0.779,0.313,-0.068,0.539
1310519,3414.0,3384.0,6710.0,0.779,0.312,-0.068,0.539
1310535,3408.0,3392.0,6684.0,0.779,0.312,-0.068,0.539
1310561,3408.0,3396.0,6686.0,0.779,0.311,-0.068,0.54
1310578,3400.0,3306.0,6834.0,0.779,0.311,-0.068,0.54
1310595,3412.0,3354.0,6810.0,0.779,0.311,-0.067,0.54
1310611,3404.0,3372.0,6770.0,0.779,0.311,-0.067,0.54
1310628,3456.0,3386.0,6842.0,0.779,0.311,-0.067,0.54
1310644,3416.0,3390.0,6824.0,0.779,0.311,-0.066,0.541
1310661,3400.0,3472.0,6794.0,0.779,0.311,-0.066,0.541
1310677,3382.0,3416.0,6752.0,0.778,0.311,-0.066,0.541
1310694,3362.0,3448.0,6810.0,0.778,0.312,-0.065,0.541
1310721,3382.0,3568.0,6812.0,0.778,0.312,-0.065,0.542
1310737,3422.0,3536.0,6730.0,0.778,0.312,-0.065,0.542
