timeMs,ax,ay,az,q0,q1,q2,q3
3776497,2546.0,7975.0,106.0,0.707,0.681,-0.183,0.055
3776513,2370.0,8309.0,304.0,0.708,0.68,-0.183,0.055
3776529,3088.0,7377.0,1270.0,0.71,0.677,-0.184,0.056
3776555,2372.0,6899.0,1026.0,0.713,0.673,-0.187,0.059
3776571,2412.0,7701.0,600.0,0.714,0.672,-0.189,0.061
3776588,2782.0,8915.0,178.0,0.714,0.671,-0.19,0.061
3776604,2904.0,8495.0,136.0,0.715,0.67,-0.191,0.061
3776620,2886.0,7585.0,534.0,0.717,0.668,-0.191,0.062
3776637,2574.0,7613.0,558.0,0.717,0.667,-0.191,0.064
3776653,2744.0,8217.0,702.0,0.718,0.667,-0.19,0.066
3776679,2376.0,8251.0,828.0,0.719,0.666,-0.189,0.069
3776695,2774.0,7885.0,826.0,0.719,0.665,-0.188,0.072
3776711,2868.0,7517.0,918.0,0.72,0.664,-0.186,0.075
3776727,2368.0,6943.0,514.0,0.72,0.665,-0.185,0.079
3776743,2634.0,7201.0,364.0,0.718,0.666,-0.184,0.082
3776759,2652.0,6967.0,300.0,0.715,0.669,-0.183,0.085
3776785,2458.0,6819.0,194.0,0.711,0.673,-0.181,0.087
3776801,2288.0,7025.0,326.0,0.706,0.679,-0.18,0.09
3776817,2352.0,7157.0,478.0,0.699,0.686,-0.179,0.092
3776834,2392.0,7755.0,518.0,0.692,0.693,-0.178,0.094
3776850,2440.0,8683.0,140.0,0.686,0.7,-0.177,0.095
3776866,2458.0,8389.0,-270.0,0.681,0.704,-0.176,0.096
3776892,2376.0,8213.0,-546.0,0.679,0.707,-0.176,0.096
3776909,2466.0,8349.0,-668.0,0.677,0.708,-0.176,0.096
3776926,2580.0,8361.0,-694.0,0.677,0.708,-0.176,0.096
3776943,2666.0,8321.0,-594.0,0.678,0.707,-0.176,0.095
3776960,2776.0,8163.0,-468.0,0.68,0.706,-0.176,0.095
3776977,2782.0,7599.0,-394.0,0.682,0.704,-0.177,0.094
3776994,2898.0,7267.0,-522.0,0.683,0.703,-0.177,0.093
3777011,3018.0,7489.0,-632.0,0.684,0.702,-0.176,0.092
3777027,2590.0,7099.0,-448.0,0.685,0.701,-0.176,0.093
3777043,2418.0,7763.0,-240.0,0.685,0.701,-0.176,0.093
3777060,3024.0,8117.0,-38.0,0.685,0.701,-0.176,0.093
3777087,2518.0,8127.0,-222.0,0.686,0.7,-0.176,0.092
3777104,2860.0,8203.0,-132.0,0.686,0.7,-0.176,0.091
3777121,2764.0,7915.0,-158.0,0.687,0.699,-0.176,0.091
3777137,2518.0,7593.0,-66.0,0.688,0.698,-0.176,0.09
3777153,2408.0,7277.0,-36.0,0.689,0.698,-0.176,0.088
3777169,1960.0,7265.0,-214.0,0.688,0.699,-0.177,0.087
3777186,1844.0,7949.0,-226.0,0.686,0.7,-0.18,0.084
3777203,2624.0,8415.0,-186.0,0.685,0.701,-0.183,0.079
3777219,2228.0,8535.0,-244.0,0.685,0.7,-0.188,0.074
3777246,1920.0,7849.0,40.0,0.686,0.697,-0.195,0.067
3777263,1460.0,7475.0,456.0,0.687,0.695,-0.205,0.058
3777279,2124.0,7047.0,606.0,0.686,0.693,-0.217,0.048
3777296,2940.0,7207.0,314.0,0.683,0.693,-0.23,0.04
3777312,1526.0,9461.0,-1486.0,0.68,0.691,-0.241,0.031
3777329,2142.0,8897.0,-1286.0,0.68,0.688,-0.251,0.022
3777346,2742.0,6479.0,-612.0,0.681,0.685,-0.259,0.015
3777362,3812.0,4243.0,216.0,0.679,0.684,-0.267,0.01
3777388,2956.0,7061.0,-1926.0,0.673,0.688,-0.273,0.006
3777404,4164.0,7953.0,-1158.0,0.67,0.689,-0.277,0.004
3777421,4196.0,8305.0,-586.0,0.668,0.69,-0.279,0.001
3777438,4264.0,8837.0,-1114.0,0.667,0.69,-0.281,-0.002
3777454,4018.0,7265.0,-1192.0,0.668,0.689,-0.282,-0.004
3777470,3122.0,7865.0,-986.0,0.668,0.688,-0.283,-0.006
3777487,2812.0,8299.0,-248.0,0.669,0.687,-0.283,-0.007
3777504,2346.0,8313.0,-248.0,0.67,0.686,-0.283,-0.008
