timeMs,ax,ay,az,q0,q1,q2,q3
5873627,2060.0,2821.0,7416.0,0.861,0.213,-0.034,0.46
5873643,2086.0,2819.0,7418.0,0.861,0.213,-0.034,0.46
5873659,2022.0,2815.0,7392.0,0.861,0.213,-0.034,0.46
5873675,2084.0,2865.0,7484.0,0.861,0.213,-0.034,0.461
5873691,1998.0,2819.0,7458.0,0.861,0.213,-0.034,0.461
5873717,1968.0,2835.0,7494.0,0.861,0.213,-0.034,0.461
5873733,1974.0,2871.0,7486.0,0.861,0.213,-0.033,0.461
5873749,1982.0,2841.0,7422.0,0.86,0.213,-0.033,0.462
5873765,1952.0,2817.0,7424.0,0.86,0.213,-0.033,0.462
5873782,1972.0,2843.0,7402.0,0.86,0.213,-0.033,0.462
5873798,1950.0,2843.0,7398.0,0.86,0.213,-0.033,0.462
5873814,2012.0,2869.0,7404.0,0.86,0.213,-0.033,0.462
5873840,2024.0,2857.0,7378.0,0.86,0.213,-0.033,0.463
5873856,1998.0,2869.0,7470.0,0.86,0.213,-0.033,0.463
5873872,2008.0,2877.0,7422.0,0.86,0.213,-0.033,0.463
5873888,2016.0,2851.0,7440.0,0.86,0.213,-0.033,0.463
5873904,1974.0,2833.0,7432.0,0.859,0.213,-0.033,0.463
5873921,2018.0,2831.0,7442.0,0.859,0.213,-0.033,0.464
5873938,1976.0,2859.0,7472.0,0.859,0.213,-0.032,0.464
5873964,1992.0,2845.0,7412.0,0.859,0.213,-0.032,0.464
5873980,1972.0,2897.0,7402.0,0.859,0.213,-0.032,0.464
5873996,2004.0,2931.0,7406.0,0.859,0.213,-0.032,0.464
5874012,2010.0,2865.0,7456.0,0.859,0.213,-0.032,0.464
5874029,2022.0,2835.0,7386.0,0.859,0.213,-0.032,0.465
5874045,2020.0,2895.0,7426.0,0.859,0.213,-0.032,0.465
5874071,1984.0,2831.0,7476.0,0.859,0.213,-0.032,0.465
5874088,2048.0,2871.0,7400.0,0.859,0.213,-0.032,0.465
5874104,1968.0,2815.0,7446.0,0.859,0.213,-0.032,0.465
5874121,2060.0,2845.0,7466.0,0.859,0.213,-0.032,0.465
5874137,2002.0,2837.0,7468.0,0.859,0.213,-0.032,0.465
5874153,2034.0,2837.0,7432.0,0.859,0.213,-0.032,0.465
5874170,1988.0,2871.0,7398.0,0.858,0.213,-0.032,0.465
5874187,1946.0,2849.0,7428.0,0.858,0.213,-0.032,0.466
5874203,2036.0,2861.0,7428.0,0.858,0.213,-0.032,0.466
5874230,1978.0,2871.0,7434.0,0.858,0.213,-0.032,0.466
5874246,1962.0,2829.0,7422.0,0.858,0.213,-0.032,0.466
5874262,1998.0,2831.0,7428.0,0.858,0.213,-0.032,0.466
5874278,1984.0,2829.0,7448.0,0.858,0.213,-0.032,0.466
5874295,2010.0,2857.0,7416.0,0.858,0.213,-0.032,0.467
5874312,2056.0,2869.0,7418.0,0.858,0.213,-0.032,0.467
5874328,1986.0,2843.0,7438.0,0.858,0.213,-0.031,0.467
5874354,2008.0,2817.0,7406.0,0.858,0.213,-0.031,0.467
5874370,2044.0,2849.0,7392.0,0.857,0.213,-0.031,0.467
5874386,1978.0,2851.0,7438.0,0.857,0.213,-0.031,0.467
5874402,1988.0,2887.0,7442.0,0.857,0.213,-0.031,0.468
5874418,1956.0,2851.0,7498.0,0.857,0.213,-0.031,0.468
5874434,1992.0,2829.0,7470.0,0.857,0.213,-0.031,0.468
5874460,1972.0,2865.0,7402.0,0.857,0.213,-0.031,0.468
5874477,1982.0,2887.0,7396.0,0.857,0.213,-0.031,0.468
5874494,1970.0,2917.0,7430.0,0.857,0.213,-0.031,0.468
5874510,2034.0,2917.0,7400.0,0.857,0.213,-0.031,0.469
5874527,2036.0,2823.0,7418.0,0.857,0.213,-0.031,0.469
5874544,2022.0,2843.0,7432.0,0.857,0.213,-0.031,0.469
5874561,1982.0,2837.0,7430.0,0.856,0.213,-0.031,0.469
5874577,1976.0,2765.0,7396.0,0.856,0.213,-0.031,0.469
5874593,1992.0,2823.0,7448.0,0.856,0.213,-0.031,0.469
5874619,2012.0,2843.0,7408.0,0.856,0.213,-0.031,0.47
5874636,1976.0,2821.0,7442.0,0.856,0.213,-0.031,0.47
5874652,2020.0,2817.0,7484.0,0.856,0.213,-0.031,0.47
5874668,1970.0,2849.0,7466.0,0.856,0.213,-0.031,0.47
5874684,2010.0,2885.0,7434.0,0.856,0.213,-0.031,0.47
5874700,1998.0,2885.0,7442.0,0.856,0.213,-0.031,0.47
5874726,2042.0,2919.0,7434.0,0.856,0.213,-0.031,0.47
5874742,2042.0,2881.0,7406.0,0.856,0.213,-0.031,0.471
5874758,2070.0,2895.0,7448.0,0.856,0.213,-0.031,0.471
5874774,2042.0,2805.0,7404.0,0.855,0.213,-0.031,0.471
5874790,2012.0,2837.0,7396.0,0.855,0.213,-0.031,0.471
5874807,2048.0,2757.0,7438.0,0.855,0.213,-0.031,0.471
5874823,1972.0,2801.0,7414.0,0.855,0.213,-0.03,0.471
5874850,1960.0,2851.0,7470.0,0.855,0.213,-0.03,0.472
5874866,2048.0,2891.0,7430.0,0.855,0.213,-0.03,0.472
5874883,1986.0,2863.0,7404.0,0.855,0.213,-0.03,0.472
5874899,2010.0,2867.0,7424.0,0.855,0.214,-0.03,0.472
5874916,2002.0,2865.0,7420.0,0.855,0.213,-0.03,0.472
5874932,1976.0,2857.0,7414.0,0.855,0.214,-0.03,0.472
5874948,1940.0,2885.0,7406.0,0.854,0.214,-0.029,0.473
5874974,2006.0,2841.0,7448.0,0.854,0.214,-0.029,0.473
5874990,1994.0,2871.0,7462.0,0.854,0.214,-0.029,0.473
5875006,2002.0,2835.0,7420.0,0.854,0.214,-0.029,0.473
5875022,2054.0,2841.0,7418.0,0.854,0.214,-0.029,0.473
5875038,1992.0,2863.0,7438.0,0.854,0.214,-0.029,0.474
5875055,2046.0,2875.0,7426.0,0.854,0.214,-0.029,0.474
5875071,1980.0,2883.0,7454.0,0.854,0.214,-0.029,0.474
5875097,2014.0,2843.0,7452.0,0.854,0.214,-0.029,0.474
5875113,1954.0,2865.0,7444.0,0.854,0.214,-0.028,0.474
5875130,1962.0,2881.0,7476.0,0.853,0.214,-0.028,0.474
5875147,2004.0,2875.0,7492.0,0.853,0.214,-0.028,0.475
5875163,2010.0,2851.0,7436.0,0.853,0.214,-0.028,0.475
5875179,2008.0,2879.0,7402.0,0.853,0.214,-0.028,0.475
5875195,2008.0,2845.0,7398.0,0.853,0.214,-0.028,0.475
5875221,1996.0,2889.0,7408.0,0.853,0.214,-0.028,0.475
5875237,1972.0,2863.0,7422.0,0.853,0.214,-0.028,0.475
5875254,1990.0,2887.0,7430.0,0.853,0.214,-0.028,0.476
5875270,2036.0,2881.0,7424.0,0.853,0.214,-0.028,0.476
5875286,1952.0,2839.0,7414.0,0.853,0.214,-0.028,0.476
5875302,1976.0,2881.0,7436.0,0.852,0.214,-0.028,0.476
5875328,1998.0,2859.0,7464.0,0.852,0.214,-0.028,0.477
5875345,2004.0,2823.0,7472.0,0.852,0.214,-0.028,0.477
5875361,1950.0,2867.0,7470.0,0.852,0.214,-0.028,0.477
5875378,1952.0,2879.0,7416.0,0.852,0.214,-0.027,0.477
5875395,1962.0,2897.0,7444.0,0.852,0.214,-0.027,0.477
5875412,2008.0,2895.0,7426.0,0.852,0.214,-0.027,0.477
5875428,1964.0,2863.0,7440.0,0.852,0.214,-0.027,0.478
5875444,1980.0,2915.0,7404.0,0.852,0.214,-0.027,0.478
5875460,2006.0,2879.0,7434.0,0.852,0.214,-0.027,0.478
5875486,1992.0,2819.0,7470.0,0.852,0.214,-0.027,0.478
5875502,2024.0,2843.0,7396.0,0.851,0.214,-0.027,0.478
5875518,1968.0,2843.0,7370.0,0.851,0.214,-0.027,0.478
5875534,1954.0,2865.0,7398.0,0.851,0.214,-0.027,0.478
5875550,1996.0,2855.0,7440.0,0.851,0.214,-0.027,0.479
5875576,2044.0,2881.0,7442.0,0.851,0.214,-0.027,0.479
5875592,2006.0,2885.0,7420.0,0.851,0.214,-0.027,0.479
5875608,1988.0,2891.0,7444.0,0.851,0.214,-0.027,0.479
5875624,1976.0,2877.0,7444.0,0.851,0.214,-0.027,0.479
