timeMs,ax,ay,az,q0,q1,q2,q3
3326320,-2029.0,7535.0,-1093.0,0.612,0.613,0.428,0.257
3326336,-2037.0,7581.0,-1199.0,0.611,0.612,0.431,0.259
3326352,-2115.0,7601.0,-1303.0,0.609,0.611,0.433,0.261
3326368,-2245.0,7371.0,-1189.0,0.607,0.61,0.436,0.263
3326394,-2263.0,7145.0,-1211.0,0.606,0.61,0.438,0.264
3326411,-2375.0,7261.0,-1127.0,0.604,0.61,0.44,0.264
3326428,-2465.0,7511.0,-1053.0,0.603,0.61,0.441,0.264
3326444,-2481.0,7953.0,-1019.0,0.602,0.61,0.442,0.264
3326461,-2479.0,7457.0,-993.0,0.603,0.609,0.442,0.265
3326478,-2437.0,6911.0,-989.0,0.604,0.609,0.441,0.266
3326495,-2623.0,6929.0,-1111.0,0.605,0.608,0.44,0.266
3326512,-2731.0,6951.0,-1005.0,0.606,0.608,0.438,0.266
3326528,-2867.0,7173.0,-1307.0,0.608,0.608,0.436,0.266
3326554,-2941.0,7255.0,-1549.0,0.61,0.609,0.433,0.265
3326570,-3051.0,7827.0,-1347.0,0.611,0.61,0.43,0.263
3326586,-3127.0,8251.0,-1213.0,0.613,0.612,0.427,0.26
3326603,-2987.0,8397.0,-1229.0,0.615,0.614,0.423,0.257
3326620,-2899.0,8249.0,-1041.0,0.617,0.616,0.42,0.252
3326637,-2707.0,8295.0,-1109.0,0.619,0.618,0.416,0.248
3326653,-2635.0,7817.0,-1143.0,0.622,0.621,0.411,0.244
3326670,-2465.0,7483.0,-1111.0,0.624,0.623,0.406,0.239
3326687,-2289.0,7923.0,-1205.0,0.626,0.627,0.401,0.235
3326714,-2065.0,8271.0,-999.0,0.628,0.63,0.395,0.23
3326730,-1941.0,8271.0,-835.0,0.63,0.633,0.39,0.225
3326747,-1723.0,8159.0,-841.0,0.632,0.636,0.384,0.221
3326764,-1565.0,7817.0,-773.0,0.635,0.638,0.378,0.217
3326781,-1479.0,7961.0,-921.0,0.637,0.64,0.372,0.214
3326798,-1365.0,8191.0,-965.0,0.64,0.642,0.367,0.21
3326815,-1247.0,8421.0,-1115.0,0.643,0.643,0.361,0.206
3326831,-1177.0,8329.0,-1069.0,0.645,0.645,0.356,0.202
3326847,-1037.0,8191.0,-1037.0,0.648,0.646,0.351,0.198
3326873,-1041.0,7899.0,-915.0,0.651,0.647,0.346,0.195
3326890,-889.0,7873.0,-907.0,0.654,0.648,0.341,0.191
3326907,-967.0,8117.0,-895.0,0.657,0.648,0.337,0.187
3326924,-1017.0,7943.0,-807.0,0.661,0.648,0.332,0.184
3326940,-1017.0,7949.0,-905.0,0.665,0.647,0.327,0.181
3326957,-1021.0,8131.0,-823.0,0.668,0.647,0.322,0.177
3326973,-961.0,8213.0,-803.0,0.671,0.647,0.318,0.173
3326990,-989.0,8099.0,-693.0,0.674,0.646,0.314,0.17
3327007,-1047.0,7727.0,-483.0,0.677,0.646,0.311,0.167
3327024,-1013.0,7855.0,-433.0,0.679,0.646,0.308,0.163
3327050,-1161.0,7813.0,17.0,0.681,0.646,0.306,0.16
3327066,-1159.0,7849.0,49.0,0.683,0.646,0.303,0.157
3327082,-1101.0,7821.0,51.0,0.684,0.646,0.302,0.154
3327098,-1175.0,7871.0,187.0,0.685,0.645,0.301,0.152
3327114,-1279.0,8015.0,297.0,0.686,0.645,0.301,0.151
3327130,-1199.0,8153.0,279.0,0.687,0.644,0.301,0.15
3327156,-1375.0,8199.0,455.0,0.688,0.643,0.301,0.15
3327172,-1265.0,8169.0,313.0,0.689,0.641,0.302,0.151
3327189,-1425.0,7933.0,339.0,0.69,0.64,0.303,0.152
3327205,-1455.0,8135.0,373.0,0.69,0.638,0.304,0.153
3327221,-1481.0,8107.0,353.0,0.691,0.637,0.306,0.155
3327237,-1605.0,8061.0,465.0,0.691,0.636,0.307,0.156
3327253,-2023.0,8379.0,761.0,0.69,0.635,0.308,0.158
3327280,-2173.0,9103.0,953.0,0.69,0.635,0.31,0.159
3327296,-2043.0,9139.0,1021.0,0.689,0.634,0.311,0.16
3327312,-1929.0,8511.0,1341.0,0.689,0.633,0.313,0.161
3327328,-1633.0,8661.0,1227.0,0.688,0.632,0.316,0.162
3327345,-1565.0,8601.0,1323.0,0.687,0.632,0.319,0.163
3327361,-1307.0,7777.0,1083.0,0.685,0.632,0.323,0.165
3327378,-791.0,7417.0,1325.0,0.681,0.633,0.329,0.167
3327395,-681.0,8465.0,1353.0,0.677,0.633,0.336,0.17
3327421,-783.0,9027.0,1449.0,0.673,0.632,0.342,0.174
3327437,-867.0,8515.0,1219.0,0.672,0.629,0.348,0.18
3327454,-903.0,8205.0,869.0,0.671,0.625,0.352,0.188
3327470,-971.0,7841.0,439.0,0.672,0.619,0.355,0.198
3327486,-875.0,7221.0,299.0,0.672,0.613,0.359,0.208
3327503,-985.0,7681.0,255.0,0.674,0.606,0.361,0.219
3327519,-739.0,7105.0,21.0,0.676,0.599,0.361,0.231
3327545,-555.0,6929.0,-119.0,0.678,0.592,0.361,0.244
3327562,-503.0,6713.0,-111.0,0.68,0.585,0.36,0.257
3327579,-639.0,6567.0,-113.0,0.682,0.578,0.358,0.271
3327596,-695.0,6429.0,-255.0,0.683,0.571,0.355,0.285
3327612,-491.0,6135.0,-265.0,0.684,0.566,0.35,0.299
3327629,-565.0,5877.0,-143.0,0.685,0.561,0.345,0.313
3327645,-473.0,5669.0,-129.0,0.685,0.557,0.338,0.327
3327662,127.0,6359.0,-467.0,0.683,0.555,0.331,0.341
3327678,-63.0,5725.0,179.0,0.681,0.553,0.322,0.355
3327704,67.0,5735.0,375.0,0.678,0.554,0.313,0.368
3327720,437.0,5879.0,109.0,0.674,0.555,0.303,0.382
3327736,551.0,6281.0,341.0,0.67,0.557,0.292,0.395
3327752,469.0,6137.0,679.0,0.664,0.559,0.281,0.409
3327768,1083.0,6795.0,647.0,0.658,0.562,0.269,0.423
