timeMs,ax,ay,az,q0,q1,q2,q3
8204476,-986.0,8424.0,254.0,0.658,0.679,0.25,0.209
8204492,-908.0,8474.0,-38.0,0.655,0.68,0.255,0.21
8204508,-1064.0,8492.0,-20.0,0.652,0.681,0.259,0.21
8204524,-1080.0,8244.0,-30.0,0.649,0.681,0.264,0.211
8204550,-1222.0,8110.0,-84.0,0.647,0.682,0.268,0.211
8204567,-1076.0,8378.0,-332.0,0.645,0.682,0.271,0.212
8204583,-1038.0,8106.0,-332.0,0.643,0.682,0.275,0.213
8204600,-960.0,8078.0,-574.0,0.641,0.683,0.278,0.213
8204616,-966.0,8360.0,-572.0,0.639,0.683,0.282,0.214
8204632,-1046.0,8430.0,-664.0,0.637,0.683,0.285,0.215
8204649,-1072.0,8534.0,-656.0,0.636,0.682,0.288,0.216
8204665,-922.0,8626.0,-788.0,0.636,0.681,0.291,0.218
8204692,-1068.0,7812.0,-468.0,0.636,0.679,0.293,0.219
8204709,-1264.0,7886.0,-516.0,0.636,0.678,0.296,0.219
8204726,-1134.0,8100.0,-720.0,0.635,0.677,0.299,0.219
8204743,-1232.0,8256.0,-712.0,0.635,0.676,0.301,0.22
8204760,-1292.0,8174.0,-596.0,0.635,0.675,0.303,0.22
8204777,-1280.0,8076.0,-658.0,0.635,0.675,0.305,0.219
8204794,-1388.0,8102.0,-656.0,0.635,0.674,0.306,0.218
8204811,-1314.0,8098.0,-612.0,0.635,0.674,0.308,0.217
8204828,-1568.0,8134.0,-536.0,0.636,0.674,0.309,0.216
8204845,-1500.0,8088.0,-422.0,0.636,0.674,0.31,0.215
8204861,-1628.0,8128.0,-506.0,0.636,0.674,0.311,0.213
8204887,-1556.0,8106.0,-486.0,0.636,0.674,0.311,0.212
8204904,-1614.0,8088.0,-438.0,0.636,0.674,0.312,0.21
8204921,-1666.0,7996.0,-314.0,0.636,0.674,0.312,0.209
8204938,-1744.0,8038.0,-412.0,0.636,0.674,0.313,0.207
8204955,-1698.0,8066.0,-540.0,0.636,0.675,0.314,0.206
8204971,-1632.0,8234.0,-578.0,0.636,0.674,0.314,0.205
8204987,-1486.0,8118.0,-526.0,0.636,0.674,0.315,0.205
8205003,-1582.0,7894.0,-460.0,0.635,0.674,0.316,0.204
8205020,-1540.0,7934.0,-566.0,0.635,0.674,0.317,0.204
8205037,-1588.0,8212.0,-546.0,0.635,0.674,0.318,0.204
8205064,-1480.0,8286.0,-512.0,0.634,0.674,0.319,0.205
8205080,-1412.0,8146.0,-578.0,0.634,0.673,0.32,0.205
8205097,-1336.0,8218.0,-646.0,0.634,0.673,0.322,0.206
8205114,-1382.0,8078.0,-574.0,0.633,0.672,0.324,0.207
8205131,-1454.0,7994.0,-536.0,0.633,0.671,0.325,0.208
8205147,-1348.0,8062.0,-594.0,0.633,0.67,0.327,0.209
8205164,-1396.0,8040.0,-646.0,0.634,0.668,0.329,0.209
8205181,-1550.0,7896.0,-618.0,0.633,0.667,0.331,0.21
8205198,-1676.0,7958.0,-602.0,0.633,0.666,0.334,0.21
8205215,-1758.0,8074.0,-654.0,0.633,0.665,0.336,0.21
8205241,-1688.0,8102.0,-652.0,0.632,0.665,0.338,0.211
8205258,-1726.0,8120.0,-672.0,0.631,0.664,0.34,0.211
8205275,-1768.0,8192.0,-708.0,0.631,0.663,0.342,0.212
8205292,-1664.0,7922.0,-592.0,0.63,0.663,0.343,0.213
8205309,-1852.0,8004.0,-698.0,0.63,0.662,0.345,0.214
8205325,-1928.0,8306.0,-590.0,0.629,0.662,0.347,0.215
8205341,-2004.0,8220.0,-640.0,0.629,0.661,0.348,0.216
8205357,-2018.0,8144.0,-558.0,0.629,0.66,0.348,0.217
8205373,-1958.0,8556.0,-516.0,0.63,0.658,0.349,0.219
8205399,-1682.0,7790.0,-572.0,0.631,0.657,0.349,0.221
8205415,-1482.0,7900.0,-570.0,0.631,0.656,0.348,0.222
8205431,-1586.0,8072.0,-602.0,0.632,0.655,0.348,0.224
8205447,-1224.0,8188.0,-522.0,0.633,0.654,0.347,0.227
8205463,-1308.0,8798.0,-634.0,0.634,0.653,0.346,0.23
8205489,-1484.0,8682.0,-420.0,0.635,0.65,0.345,0.233
8205505,-1276.0,8376.0,-434.0,0.638,0.648,0.343,0.237
8205521,-1162.0,8522.0,-298.0,0.641,0.644,0.341,0.241
8205538,-1146.0,8654.0,-304.0,0.645,0.64,0.338,0.245
8205554,-872.0,8810.0,-548.0,0.649,0.636,0.334,0.25
8205570,-796.0,8638.0,-442.0,0.653,0.632,0.331,0.254
8205596,-426.0,7880.0,-650.0,0.657,0.628,0.328,0.259
8205612,-984.0,7044.0,-168.0,0.66,0.625,0.325,0.263
8205629,-594.0,6770.0,804.0,0.66,0.624,0.325,0.265
8205645,-60.0,5384.0,416.0,0.656,0.627,0.324,0.267
8205661,-450.0,6392.0,-88.0,0.651,0.632,0.325,0.266
8205677,-790.0,7514.0,-540.0,0.645,0.639,0.325,0.264
8205693,-1136.0,8394.0,-324.0,0.64,0.645,0.326,0.261
8205710,-1944.0,9098.0,-24.0,0.635,0.65,0.327,0.259
8205736,-2360.0,9552.0,-170.0,0.631,0.654,0.329,0.257
8205752,-2314.0,9480.0,-368.0,0.628,0.657,0.33,0.255
8205768,-1936.0,8998.0,-166.0,0.626,0.659,0.332,0.253
8205785,-1374.0,8158.0,-646.0,0.625,0.659,0.334,0.252
8205801,-1326.0,8236.0,-784.0,0.625,0.658,0.335,0.252
8205818,-1108.0,8098.0,-818.0,0.626,0.657,0.336,0.252
8205835,-1350.0,7866.0,280.0,0.628,0.655,0.337,0.251
8205851,-1512.0,7778.0,302.0,0.631,0.652,0.336,0.252
8205877,-1516.0,8160.0,210.0,0.633,0.649,0.336,0.253
8205894,-1532.0,8620.0,260.0,0.635,0.647,0.336,0.255
8205910,-1866.0,8844.0,134.0,0.638,0.644,0.335,0.258
8205926,-1744.0,8982.0,214.0,0.641,0.639,0.334,0.261
8205942,-2106.0,9664.0,198.0,0.647,0.633,0.331,0.267
8205958,-2716.0,12038.0,-100.0,0.661,0.618,0.324,0.277
8205985,-2894.0,10628.0,-52.0,0.685,0.592,0.31,0.29
8206001,-2520.0,6592.0,1352.0,0.711,0.562,0.293,0.305
8206017,-2212.0,4984.0,3456.0,0.731,0.536,0.279,0.317
8206033,-636.0,4674.0,4538.0,0.745,0.517,0.271,0.324
8206050,576.0,4106.0,3728.0,0.75,0.507,0.269,0.328
8206066,-640.0,5228.0,2584.0,0.751,0.505,0.27,0.328
8206082,-1034.0,6750.0,712.0,0.748,0.509,0.274,0.326
8206108,-424.0,7742.0,-114.0,0.745,0.514,0.278,0.323
8206125,-336.0,6944.0,1136.0,0.74,0.519,0.284,0.32
8206141,-962.0,6270.0,2646.0,0.734,0.526,0.29,0.318
8206157,-1364.0,7536.0,3204.0,0.727,0.534,0.295,0.315
8206173,-1316.0,9370.0,2562.0,0.721,0.541,0.3,0.312
8206189,-1096.0,9364.0,1616.0,0.716,0.546,0.304,0.311
8206205,-950.0,8240.0,1258.0,0.712,0.55,0.306,0.31
8206231,-696.0,7194.0,1284.0,0.708,0.555,0.309,0.309
8206247,-434.0,7020.0,1456.0,0.702,0.561,0.312,0.308
8206263,-712.0,7556.0,1494.0,0.696,0.568,0.315,0.305
8206279,-952.0,8444.0,1342.0,0.69,0.576,0.318,0.302
8206296,-1258.0,9298.0,820.0,0.684,0.584,0.319,0.3
8206313,-1310.0,9990.0,874.0,0.68,0.589,0.319,0.298
8206339,-1382.0,10112.0,1158.0,0.676,0.593,0.321,0.297
8206356,-1372.0,9868.0,858.0,0.674,0.596,0.322,0.296
8206372,-1750.0,8704.0,596.0,0.673,0.597,0.323,0.295
8206388,-1486.0,7724.0,910.0,0.671,0.599,0.324,0.293
8206404,-1538.0,7388.0,1140.0,0.667,0.602,0.326,0.293
8206420,-1520.0,7576.0,236.0,0.664,0.605,0.328,0.292
8206436,-1374.0,7556.0,294.0,0.661,0.608,0.331,0.291
8206462,-1070.0,7528.0,986.0,0.658,0.61,0.332,0.291
8206478,-1112.0,7122.0,1936.0,0.656,0.611,0.334,0.292
8206494,-718.0,7300.0,1972.0,0.654,0.612,0.335,0.292
8206511,-598.0,7526.0,1462.0,0.651,0.614,0.337,0.291
8206527,-706.0,7404.0,1026.0,0.647,0.617,0.341,0.289
8206543,-920.0,7138.0,340.0,0.641,0.623,0.346,0.286
8206559,-1144.0,8520.0,-492.0,0.633,0.63,0.351,0.282
8206585,-1488.0,9220.0,-550.0,0.627,0.635,0.355,0.279
8206601,-1848.0,9448.0,-554.0,0.624,0.638,0.356,0.278
8206617,-1548.0,9128.0,-844.0,0.624,0.638,0.355,0.278
8206633,-1340.0,8710.0,-972.0,0.626,0.637,0.354,0.279
8206649,-1300.0,8820.0,-956.0,0.628,0.636,0.352,0.28
8206675,-1532.0,8506.0,-634.0,0.631,0.634,0.349,0.281
8206691,-2832.0,9194.0,-1126.0,0.635,0.63,0.345,0.283
8206707,-2934.0,10288.0,-1102.0,0.642,0.625,0.339,0.287
8206723,-1952.0,8932.0,470.0,0.652,0.616,0.332,0.291
8206739,906.0,8466.0,4814.0,0.661,0.605,0.328,0.298
8206755,1286.0,6220.0,3212.0,0.668,0.594,0.328,0.305
8206781,-1140.0,4734.0,1536.0,0.67,0.59,0.329,0.309
8206797,-750.0,6882.0,656.0,0.668,0.59,0.33,0.309
8206813,-468.0,8616.0,-824.0,0.667,0.592,0.332,0.308
8206829,-630.0,8602.0,-1080.0,0.666,0.592,0.332,0.308
8206845,-486.0,7962.0,38.0,0.667,0.592,0.332,0.309
8206861,-512.0,7014.0,1422.0,0.667,0.591,0.331,0.309
8206887,-768.0,6698.0,2504.0,0.665,0.594,0.331,0.308
8206903,-852.0,6992.0,2638.0,0.662,0.599,0.332,0.305
8206919,-766.0,7724.0,1456.0,0.657,0.605,0.332,0.302
8206935,-654.0,8106.0,582.0,0.652,0.611,0.334,0.3
8206951,-352.0,8742.0,24.0,0.647,0.617,0.335,0.298
8206967,-462.0,8970.0,-300.0,0.642,0.621,0.338,0.297
8206993,-640.0,8842.0,-342.0,0.638,0.624,0.341,0.296
8207009,-772.0,8762.0,-390.0,0.635,0.626,0.343,0.296
8207025,-934.0,8702.0,-580.0,0.632,0.628,0.344,0.296
8207043,-1084.0,8736.0,-624.0,0.631,0.629,0.345,0.297
8207059,-1534.0,8620.0,-802.0,0.63,0.629,0.346,0.297
8207075,-1692.0,7932.0,-702.0,0.629,0.629,0.346,0.297
8207091,-1848.0,7860.0,-506.0,0.627,0.631,0.347,0.297
8207117,-1694.0,8296.0,-326.0,0.626,0.632,0.348,0.296
8207133,-1310.0,8698.0,-24.0,0.625,0.634,0.347,0.296
8207149,-1402.0,8734.0,-82.0,0.625,0.634,0.346,0.296
8207165,-990.0,8360.0,138.0,0.625,0.634,0.345,0.296
8207181,-1062.0,8038.0,198.0,0.625,0.635,0.345,0.297
8207197,-948.0,8416.0,200.0,0.624,0.635,0.345,0.296
8207223,-1642.0,8516.0,50.0,0.624,0.635,0.345,0.296
8207239,-2016.0,8690.0,-400.0,0.625,0.635,0.344,0.296
8207255,-1168.0,8338.0,-494.0,0.627,0.634,0.343,0.296
8207271,-914.0,7926.0,-416.0,0.628,0.633,0.342,0.296
8207287,-778.0,7606.0,-228.0,0.63,0.632,0.34,0.297
8207303,-694.0,7384.0,266.0,0.631,0.632,0.339,0.297
8207329,-400.0,7762.0,556.0,0.631,0.632,0.337,0.296
8207345,-210.0,8170.0,618.0,0.631,0.633,0.337,0.296
8207361,-562.0,8710.0,468.0,0.631,0.634,0.336,0.295
8207377,-750.0,9100.0,330.0,0.632,0.633,0.335,0.296
8207393,-876.0,8974.0,186.0,0.634,0.631,0.333,0.297
8207409,-868.0,8322.0,-6.0,0.637,0.629,0.332,0.298
8207435,-966.0,7558.0,-136.0,0.638,0.627,0.332,0.299
8207451,-974.0,7404.0,-240.0,0.638,0.626,0.333,0.299
8207467,-908.0,7874.0,-248.0,0.638,0.626,0.333,0.299
8207483,-584.0,8284.0,-84.0,0.638,0.626,0.333,0.3
8207499,-522.0,8564.0,60.0,0.639,0.625,0.332,0.301
8207515,-376.0,8730.0,420.0,0.641,0.624,0.33,0.302
8207541,-414.0,8758.0,500.0,0.643,0.622,0.328,0.303
8207557,-692.0,8688.0,352.0,0.645,0.62,0.326,0.304
8207573,-906.0,8626.0,192.0,0.648,0.618,0.324,0.306
8207589,-792.0,8714.0,212.0,0.652,0.615,0.321,0.307
8207605,-846.0,8750.0,146.0,0.656,0.611,0.318,0.309
8207621,-1042.0,8328.0,272.0,0.66,0.607,0.313,0.312
8207647,-758.0,8362.0,388.0,0.666,0.602,0.308,0.314
8207663,-498.0,8478.0,796.0,0.672,0.596,0.302,0.317
8207679,-682.0,7698.0,1082.0,0.679,0.59,0.297,0.32
8207695,-734.0,7490.0,1204.0,0.685,0.585,0.291,0.322
8207711,-644.0,7162.0,1412.0,0.689,0.582,0.287,0.324
8207727,-1136.0,7028.0,1786.0,0.692,0.58,0.283,0.324
8207754,-1084.0,7690.0,1880.0,0.693,0.58,0.28,0.324
8207770,-694.0,7638.0,2082.0,0.695,0.58,0.278,0.322
8207786,-578.0,7492.0,2134.0,0.696,0.579,0.277,0.321
8207802,-696.0,7534.0,1938.0,0.697,0.579,0.276,0.32
8207818,-566.0,7642.0,1784.0,0.698,0.579,0.276,0.318
8207834,-408.0,7660.0,1314.0,0.698,0.581,0.276,0.315
8207860,-344.0,7904.0,796.0,0.698,0.582,0.276,0.313
8207876,-384.0,7844.0,454.0,0.697,0.584,0.277,0.31
8207892,-460.0,8070.0,394.0,0.696,0.586,0.278,0.307
8207908,184.0,8138.0,1538.0,0.695,0.588,0.279,0.305
8207924,276.0,7384.0,1918.0,0.694,0.591,0.279,0.302
8207940,292.0,7820.0,1868.0,0.692,0.594,0.279,0.3
8207966,228.0,8722.0,1554.0,0.691,0.596,0.279,0.299
8207982,194.0,8758.0,1256.0,0.69,0.598,0.28,0.298
8207998,394.0,8238.0,1814.0,0.689,0.598,0.281,0.298
8208014,484.0,7504.0,2070.0,0.688,0.598,0.283,0.298
8208030,-254.0,7772.0,1736.0,0.686,0.599,0.286,0.298
8208046,42.0,8452.0,1262.0,0.685,0.599,0.288,0.298
8208072,-266.0,8430.0,1050.0,0.684,0.599,0.29,0.299
8208088,-774.0,8892.0,714.0,0.683,0.598,0.292,0.3
8208104,-1084.0,9290.0,724.0,0.683,0.598,0.292,0.301
8208120,-720.0,9172.0,1318.0,0.684,0.597,0.291,0.302
8208136,-552.0,8618.0,1924.0,0.685,0.596,0.291,0.302
8208152,-386.0,9156.0,2078.0,0.685,0.595,0.293,0.303
8208178,-608.0,9256.0,2094.0,0.686,0.592,0.295,0.303
8208194,-626.0,8586.0,2338.0,0.687,0.589,0.297,0.305
8208210,-500.0,7528.0,2716.0,0.689,0.585,0.297,0.309
8208226,-858.0,7772.0,2362.0,0.689,0.583,0.298,0.312
8208242,-258.0,8748.0,2518.0,0.69,0.58,0.297,0.315
8208268,-464.0,9036.0,2632.0,0.693,0.574,0.296,0.32
8208284,-748.0,8820.0,2342.0,0.698,0.567,0.292,0.327
8208300,-560.0,8510.0,2134.0,0.704,0.558,0.285,0.335
8208316,-562.0,9048.0,2202.0,0.71,0.549,0.277,0.343
8208332,-60.0,8698.0,1658.0,0.716,0.541,0.269,0.349
8208348,120.0,9132.0,1072.0,0.724,0.533,0.258,0.355
8208374,532.0,8706.0,1106.0,0.732,0.522,0.247,0.362
8208390,674.0,7704.0,1656.0,0.74,0.511,0.235,0.369
8208406,350.0,7460.0,1972.0,0.75,0.497,0.221,0.377
8208422,16.0,6708.0,2460.0,0.76,0.482,0.205,0.385
8208438,578.0,5804.0,3158.0,0.769,0.467,0.189,0.393
8208454,744.0,5626.0,3540.0,0.777,0.453,0.173,0.401
8208480,478.0,6226.0,3030.0,0.785,0.438,0.156,0.41
8208496,1254.0,5480.0,3882.0,0.792,0.42,0.137,0.42
8208512,1712.0,4272.0,4524.0,0.798,0.402,0.12,0.432
8208528,986.0,4330.0,4612.0,0.802,0.388,0.105,0.442
8208544,1260.0,4340.0,5738.0,0.803,0.381,0.092,0.449
8208560,1186.0,4650.0,5366.0,0.801,0.38,0.083,0.454
8208586,818.0,4840.0,5008.0,0.797,0.385,0.078,0.458
8208602,618.0,6156.0,4616.0,0.791,0.394,0.076,0.461
8208618,448.0,7142.0,4438.0,0.785,0.404,0.075,0.464
8208634,258.0,8388.0,4596.0,0.779,0.415,0.073,0.465
8208650,1970.0,10422.0,5456.0,0.777,0.422,0.074,0.461
8208666,1808.0,8698.0,6380.0,0.778,0.427,0.081,0.454
8208692,628.0,7570.0,6526.0,0.777,0.434,0.094,0.447
8208708,218.0,7114.0,6350.0,0.773,0.445,0.111,0.438
8208724,-144.0,8278.0,6434.0,0.769,0.455,0.13,0.43
8208740,-732.0,8412.0,6292.0,0.767,0.461,0.148,0.422
8208756,-716.0,8158.0,6434.0,0.767,0.462,0.162,0.415
8208782,-554.0,7180.0,6704.0,0.768,0.459,0.174,0.41
8208798,-202.0,6498.0,7262.0,0.77,0.454,0.186,0.408
8208815,-972.0,4772.0,5734.0,0.772,0.447,0.198,0.406
8208831,-378.0,4976.0,6298.0,0.771,0.444,0.213,0.402
8208847,-978.0,5882.0,5418.0,0.769,0.444,0.232,0.398
8208863,-1230.0,7606.0,5230.0,0.765,0.445,0.251,0.392
8208879,-1150.0,8782.0,5000.0,0.762,0.445,0.272,0.384
8208905,-1686.0,10168.0,4430.0,0.76,0.443,0.292,0.375
8208921,-1922.0,11166.0,4150.0,0.76,0.438,0.31,0.366
8208937,-1704.0,10812.0,4524.0,0.764,0.426,0.324,0.36
8208953,-2368.0,9694.0,4228.0,0.772,0.406,0.333,0.358
8208969,-1152.0,4706.0,4442.0,0.782,0.38,0.338,0.361
8208985,-936.0,3600.0,5862.0,0.787,0.36,0.342,0.366
8209011,-1086.0,3330.0,3164.0,0.792,0.341,0.348,0.368
