timeMs,ax,ay,az,q0,q1,q2,q3
5422945,4858.0,4270.0,5094.0,0.884,0.343,-0.285,0.14
5422961,4880.0,4270.0,5058.0,0.884,0.343,-0.285,0.141
5422977,4858.0,4196.0,5062.0,0.884,0.343,-0.285,0.141
5422993,4810.0,4298.0,5110.0,0.884,0.343,-0.285,0.141
5423009,4788.0,4240.0,5128.0,0.884,0.343,-0.284,0.141
5423025,4882.0,4314.0,5018.0,0.884,0.343,-0.284,0.141
5423051,4792.0,4208.0,5136.0,0.884,0.343,-0.284,0.141
5423067,4846.0,4210.0,5116.0,0.884,0.343,-0.284,0.141
5423083,4922.0,4262.0,5044.0,0.884,0.343,-0.284,0.141
5423099,4850.0,4282.0,5054.0,0.884,0.343,-0.284,0.141
5423115,4822.0,4268.0,5150.0,0.884,0.343,-0.284,0.141
5423132,4848.0,4272.0,5226.0,0.884,0.343,-0.284,0.141
5423149,4818.0,4230.0,5142.0,0.884,0.343,-0.284,0.141
5423175,4894.0,4116.0,5060.0,0.884,0.343,-0.284,0.141
5423192,4790.0,4354.0,5000.0,0.884,0.344,-0.284,0.142
5423209,4822.0,4304.0,5084.0,0.884,0.344,-0.284,0.142
5423225,4818.0,4258.0,5026.0,0.884,0.343,-0.284,0.142
5423241,4840.0,4216.0,4988.0,0.884,0.343,-0.284,0.142
5423257,4816.0,4252.0,5086.0,0.884,0.343,-0.284,0.142
5423273,4812.0,4278.0,5086.0,0.884,0.343,-0.284,0.142
5423299,4822.0,4258.0,5076.0,0.884,0.343,-0.284,0.142
5423315,4850.0,4290.0,5012.0,0.884,0.343,-0.284,0.142
5423331,4864.0,4262.0,5040.0,0.884,0.343,-0.284,0.142
5423347,4852.0,4270.0,5078.0,0.884,0.343,-0.284,0.142
5423363,4852.0,4268.0,5120.0,0.884,0.343,-0.284,0.142
5423379,4834.0,4264.0,5074.0,0.884,0.343,-0.284,0.142
5423396,4860.0,4250.0,5062.0,0.884,0.343,-0.284,0.142
5423422,4846.0,4276.0,5092.0,0.884,0.343,-0.284,0.142
5423438,4794.0,4268.0,5134.0,0.884,0.342,-0.284,0.142
5423457,4852.0,4278.0,5046.0,0.884,0.342,-0.284,0.142
5423473,4844.0,4278.0,5112.0,0.884,0.342,-0.284,0.142
5423489,4860.0,4172.0,5082.0,0.884,0.342,-0.284,0.142
5423505,4830.0,4298.0,5068.0,0.884,0.343,-0.284,0.142
5423521,4786.0,4262.0,5040.0,0.884,0.343,-0.284,0.142
5423547,4828.0,4340.0,5052.0,0.884,0.343,-0.284,0.142
5423563,4852.0,4242.0,5052.0,0.884,0.343,-0.284,0.142
5423579,4846.0,4254.0,5080.0,0.884,0.343,-0.284,0.142
5423595,4896.0,4270.0,5088.0,0.884,0.343,-0.284,0.143
5423611,4868.0,4234.0,5060.0,0.884,0.343,-0.283,0.143
5423627,4884.0,4234.0,5106.0,0.884,0.343,-0.283,0.143
5423653,4824.0,4252.0,5072.0,0.884,0.343,-0.283,0.143
5423669,4812.0,4226.0,5022.0,0.884,0.343,-0.283,0.143
5423685,4826.0,4298.0,5082.0,0.884,0.344,-0.283,0.143
5423701,4840.0,4212.0,5102.0,0.884,0.344,-0.283,0.143
5423717,4798.0,4290.0,5014.0,0.884,0.344,-0.282,0.144
5423733,4826.0,4288.0,5038.0,0.884,0.344,-0.282,0.144
5423759,4832.0,4470.0,5032.0,0.884,0.345,-0.282,0.144
5423775,4828.0,4280.0,5046.0,0.884,0.345,-0.282,0.144
5423791,4852.0,4308.0,5060.0,0.884,0.345,-0.282,0.144
5423807,4782.0,4262.0,5126.0,0.884,0.345,-0.282,0.144
5423823,4812.0,4370.0,5078.0,0.883,0.345,-0.282,0.144
5423839,4844.0,4348.0,5030.0,0.883,0.345,-0.282,0.144
5423865,4830.0,4294.0,5036.0,0.883,0.345,-0.282,0.144
5423881,4808.0,4284.0,5016.0,0.883,0.345,-0.282,0.145
5423897,4864.0,4334.0,4944.0,0.883,0.345,-0.282,0.145
5423913,4786.0,4302.0,5074.0,0.883,0.345,-0.282,0.145
