timeMs,ax,ay,az,q0,q1,q2,q3
8133429,-800.0,5226.0,848.0,0.713,0.631,0.223,0.21
8133445,-602.0,6008.0,838.0,0.714,0.63,0.223,0.21
8133461,-832.0,6956.0,1382.0,0.713,0.63,0.224,0.21
8133477,-1206.0,8424.0,1662.0,0.713,0.63,0.224,0.21
8133493,-950.0,9246.0,1450.0,0.713,0.63,0.225,0.211
8133519,-1334.0,9748.0,1410.0,0.713,0.629,0.226,0.212
8133535,-1416.0,8876.0,1494.0,0.714,0.628,0.227,0.212
8133551,-1390.0,8212.0,1256.0,0.714,0.627,0.228,0.213
8133567,-1310.0,7568.0,1172.0,0.714,0.626,0.229,0.213
8133583,-1162.0,7184.0,1258.0,0.714,0.626,0.23,0.214
8133599,-1142.0,7446.0,1344.0,0.713,0.626,0.23,0.214
8133625,-1188.0,7558.0,1476.0,0.713,0.627,0.231,0.214
8133642,-1112.0,8252.0,1496.0,0.712,0.627,0.232,0.214
8133658,-1378.0,8676.0,1544.0,0.712,0.626,0.232,0.215
8133674,-1380.0,8462.0,1540.0,0.713,0.626,0.232,0.216
8133690,-1328.0,7986.0,1426.0,0.713,0.625,0.231,0.217
8133706,-1246.0,7716.0,1256.0,0.714,0.625,0.23,0.217
8133723,-1104.0,7816.0,1234.0,0.713,0.625,0.23,0.218
8133749,-1012.0,7948.0,1198.0,0.713,0.626,0.229,0.218
8133765,-980.0,8260.0,1272.0,0.712,0.626,0.228,0.219
8133781,-1078.0,8146.0,1438.0,0.712,0.627,0.227,0.22
8133798,-596.0,7564.0,1266.0,0.711,0.628,0.226,0.221
8133814,-486.0,8356.0,1108.0,0.71,0.629,0.225,0.222
8133830,-844.0,8248.0,1364.0,0.709,0.63,0.225,0.224
8133846,-914.0,8022.0,1498.0,0.708,0.63,0.224,0.226
8133873,-710.0,7974.0,1474.0,0.707,0.631,0.223,0.227
8133889,-650.0,8126.0,1368.0,0.706,0.632,0.223,0.228
8133905,-388.0,7786.0,1322.0,0.705,0.633,0.223,0.229
8133921,-544.0,8330.0,1366.0,0.704,0.634,0.224,0.231
8133938,-880.0,8384.0,1564.0,0.703,0.634,0.224,0.232
8133954,-654.0,7950.0,1496.0,0.702,0.634,0.225,0.233
8133970,-552.0,7968.0,1332.0,0.701,0.635,0.226,0.234
8133996,-294.0,7946.0,984.0,0.699,0.636,0.228,0.235
8134013,-494.0,8158.0,996.0,0.697,0.637,0.23,0.236
8134029,-658.0,8124.0,1046.0,0.694,0.638,0.233,0.238
8134046,-778.0,7896.0,1162.0,0.691,0.64,0.236,0.239
8134062,-714.0,7922.0,964.0,0.688,0.642,0.239,0.239
8134078,-790.0,8078.0,762.0,0.684,0.644,0.243,0.24
8134095,-870.0,8076.0,808.0,0.681,0.646,0.246,0.241
8134112,-912.0,7978.0,804.0,0.678,0.648,0.25,0.241
8134139,-938.0,8036.0,644.0,0.674,0.651,0.253,0.242
8134155,-1020.0,8042.0,500.0,0.67,0.653,0.257,0.242
8134171,-938.0,8090.0,416.0,0.667,0.655,0.261,0.241
8134187,-974.0,8110.0,314.0,0.663,0.658,0.265,0.241
8134203,-910.0,8298.0,108.0,0.659,0.66,0.269,0.241
8134219,-938.0,8544.0,-36.0,0.655,0.662,0.272,0.242
8134245,-882.0,8208.0,-74.0,0.652,0.663,0.276,0.243
