timeMs,ax,ay,az,q0,q1,q2,q3
4493308,7945.0,1184.0,-175.0,0.539,0.526,-0.487,0.442
4493324,8029.0,1208.0,-251.0,0.539,0.526,-0.488,0.441
4493340,8015.0,1038.0,-139.0,0.54,0.525,-0.489,0.44
4493356,8067.0,1130.0,-107.0,0.54,0.525,-0.49,0.439
4493372,8011.0,1164.0,-51.0,0.54,0.525,-0.491,0.437
4493398,8101.0,1196.0,-159.0,0.54,0.524,-0.493,0.436
4493415,8135.0,1226.0,-187.0,0.54,0.524,-0.494,0.435
4493432,8145.0,1214.0,-161.0,0.54,0.524,-0.495,0.434
4493449,8207.0,1252.0,-203.0,0.54,0.524,-0.497,0.432
4493466,8175.0,1146.0,-169.0,0.54,0.523,-0.498,0.431
4493483,8125.0,1144.0,-233.0,0.541,0.523,-0.499,0.43
4493499,8241.0,1246.0,9.0,0.541,0.523,-0.5,0.428
4493515,8149.0,1084.0,25.0,0.541,0.523,-0.501,0.427
4493532,8205.0,1152.0,-145.0,0.541,0.523,-0.502,0.426
4493548,8071.0,1038.0,-187.0,0.541,0.524,-0.503,0.424
4493574,8133.0,1066.0,-7.0,0.542,0.524,-0.503,0.423
4493590,8099.0,980.0,-101.0,0.542,0.524,-0.504,0.421
4493606,8009.0,1036.0,-103.0,0.542,0.525,-0.505,0.419
4493623,8013.0,1114.0,-193.0,0.542,0.526,-0.505,0.418
4493639,8035.0,1210.0,-299.0,0.542,0.527,-0.506,0.417
4493655,8019.0,1170.0,-345.0,0.542,0.527,-0.506,0.415
4493681,8037.0,1194.0,-319.0,0.541,0.528,-0.507,0.415
4493698,8011.0,1342.0,-471.0,0.541,0.528,-0.507,0.414
4493714,8049.0,1264.0,-465.0,0.541,0.529,-0.506,0.414
4493730,8071.0,1366.0,-541.0,0.541,0.53,-0.506,0.414
4493746,8095.0,1278.0,-561.0,0.54,0.53,-0.505,0.414
4493763,8113.0,1378.0,-441.0,0.54,0.53,-0.505,0.415
4493780,8103.0,1564.0,-383.0,0.54,0.531,-0.504,0.415
4493796,8091.0,1624.0,-437.0,0.541,0.53,-0.504,0.415
4493823,8165.0,1568.0,-437.0,0.541,0.53,-0.504,0.415
4493839,8183.0,1396.0,-419.0,0.542,0.529,-0.504,0.414
4493856,8223.0,1412.0,-489.0,0.542,0.529,-0.505,0.414
4493872,8177.0,1304.0,-477.0,0.543,0.528,-0.505,0.414
4493888,8167.0,1232.0,-453.0,0.543,0.528,-0.505,0.415
4493905,8077.0,1240.0,-435.0,0.543,0.527,-0.505,0.415
4493922,8109.0,1204.0,-433.0,0.544,0.526,-0.505,0.416
4493939,8025.0,1172.0,-415.0,0.544,0.526,-0.504,0.416
4493956,8085.0,1106.0,-399.0,0.544,0.525,-0.504,0.417
4493982,8065.0,1170.0,-293.0,0.545,0.525,-0.503,0.418
4493998,8077.0,1230.0,-273.0,0.545,0.524,-0.503,0.418
4494014,8065.0,1180.0,-361.0,0.545,0.524,-0.502,0.419
4494030,8095.0,1134.0,-367.0,0.545,0.524,-0.502,0.42
4494047,8113.0,1166.0,-435.0,0.545,0.524,-0.501,0.42
4494064,8027.0,1288.0,-303.0,0.545,0.524,-0.501,0.421
4494081,8041.0,1236.0,-313.0,0.546,0.524,-0.5,0.421
4494098,8017.0,1226.0,-289.0,0.546,0.525,-0.499,0.422
4494114,8069.0,1186.0,-393.0,0.546,0.525,-0.499,0.422
4494141,8089.0,1336.0,-431.0,0.546,0.525,-0.498,0.422
4494157,8069.0,1366.0,-363.0,0.546,0.525,-0.498,0.423
4494174,8025.0,1296.0,-457.0,0.546,0.526,-0.497,0.423
4494190,8089.0,1326.0,-441.0,0.546,0.526,-0.497,0.424
4494207,8041.0,1314.0,-363.0,0.546,0.526,-0.496,0.424
4494223,8001.0,1314.0,-347.0,0.546,0.526,-0.496,0.424
4494239,8017.0,1306.0,-459.0,0.546,0.526,-0.496,0.424
4494265,8059.0,1260.0,-391.0,0.546,0.526,-0.496,0.425
4494281,8071.0,1252.0,-385.0,0.545,0.526,-0.495,0.425
4494298,8075.0,1330.0,-393.0,0.545,0.526,-0.495,0.425
4494315,8079.0,1214.0,-365.0,0.545,0.526,-0.495,0.425
4494331,8039.0,1282.0,-423.0,0.545,0.526,-0.495,0.426
4494347,8035.0,1220.0,-357.0,0.545,0.526,-0.495,0.426
4494363,8021.0,1286.0,-345.0,0.545,0.526,-0.495,0.426
4494389,8081.0,1248.0,-343.0,0.544,0.526,-0.495,0.426
4494405,8053.0,1226.0,-371.0,0.544,0.526,-0.495,0.426
4494422,8057.0,1180.0,-357.0,0.544,0.527,-0.495,0.426
4494439,8063.0,1294.0,-335.0,0.543,0.527,-0.495,0.426
4494456,8123.0,1268.0,-367.0,0.543,0.527,-0.495,0.426
4494472,8071.0,1258.0,-379.0,0.543,0.527,-0.495,0.426
4494489,8089.0,1298.0,-369.0,0.543,0.528,-0.495,0.426
4494506,8101.0,1276.0,-345.0,0.542,0.528,-0.495,0.426
4494522,8045.0,1236.0,-309.0,0.542,0.528,-0.496,0.426
4494539,8095.0,1302.0,-367.0,0.542,0.528,-0.496,0.426
4494565,8063.0,1320.0,-409.0,0.542,0.529,-0.496,0.426
4494581,8085.0,1366.0,-285.0,0.541,0.529,-0.496,0.426
4494597,8069.0,1306.0,-333.0,0.541,0.529,-0.496,0.426
4494613,8067.0,1252.0,-385.0,0.541,0.529,-0.496,0.426
4494629,8077.0,1354.0,-145.0,0.541,0.529,-0.496,0.426
4494645,8093.0,1242.0,-309.0,0.54,0.529,-0.497,0.425
4494672,8089.0,1246.0,-435.0,0.54,0.529,-0.497,0.425
4494689,8119.0,1168.0,-419.0,0.54,0.53,-0.497,0.425
4494705,8043.0,1354.0,-325.0,0.54,0.53,-0.497,0.425
4494721,8063.0,1256.0,-381.0,0.54,0.53,-0.497,0.425
4494737,8027.0,1224.0,-335.0,0.54,0.53,-0.497,0.425
4494754,7979.0,1298.0,-389.0,0.54,0.53,-0.497,0.425
4494771,8041.0,1304.0,-241.0,0.54,0.53,-0.497,0.425
4494788,8067.0,1260.0,-345.0,0.54,0.53,-0.498,0.424
4494805,8035.0,1238.0,-309.0,0.54,0.53,-0.498,0.424
4494822,8043.0,1248.0,-341.0,0.54,0.53,-0.498,0.424
4494849,8099.0,1266.0,-315.0,0.54,0.53,-0.498,0.424
4494865,8081.0,1242.0,-297.0,0.54,0.53,-0.498,0.424
4494882,8125.0,1346.0,-331.0,0.54,0.53,-0.498,0.424
4494899,8071.0,1268.0,-303.0,0.54,0.53,-0.498,0.424
4494916,8103.0,1244.0,-291.0,0.54,0.53,-0.498,0.424
4494932,8077.0,1212.0,-345.0,0.54,0.53,-0.498,0.424
4494951,8127.0,1194.0,-429.0,0.54,0.53,-0.497,0.424
4494967,8077.0,1226.0,-313.0,0.54,0.53,-0.497,0.424
4494984,8099.0,1302.0,-441.0,0.54,0.531,-0.497,0.424
4495001,8029.0,1242.0,-295.0,0.54,0.531,-0.496,0.425
4495018,8029.0,1228.0,-307.0,0.54,0.531,-0.496,0.425
4495035,8021.0,1228.0,-375.0,0.54,0.531,-0.496,0.425
4495061,8069.0,1244.0,-305.0,0.54,0.531,-0.495,0.425
4495078,8069.0,1290.0,-295.0,0.54,0.531,-0.495,0.426
4495095,8089.0,1246.0,-347.0,0.541,0.531,-0.495,0.426
4495112,8097.0,1300.0,-343.0,0.541,0.531,-0.494,0.426
4495129,8097.0,1290.0,-363.0,0.541,0.531,-0.494,0.426
4495146,8161.0,1280.0,-357.0,0.541,0.531,-0.493,0.426
4495163,8119.0,1232.0,-377.0,0.541,0.531,-0.493,0.427
4495180,8101.0,1292.0,-417.0,0.541,0.532,-0.493,0.427
4495197,8075.0,1344.0,-395.0,0.541,0.532,-0.492,0.427
4495214,8119.0,1318.0,-351.0,0.541,0.532,-0.492,0.427
4495231,8073.0,1298.0,-411.0,0.541,0.532,-0.491,0.428
4495248,8089.0,1308.0,-439.0,0.541,0.532,-0.491,0.428
4495265,8053.0,1238.0,-441.0,0.541,0.533,-0.491,0.428
4495292,8101.0,1292.0,-399.0,0.541,0.533,-0.49,0.428
4495309,8051.0,1340.0,-369.0,0.541,0.533,-0.49,0.428
4495326,8079.0,1302.0,-393.0,0.541,0.533,-0.49,0.428
4495343,8049.0,1344.0,-319.0,0.541,0.533,-0.489,0.428
4495359,8007.0,1322.0,-373.0,0.541,0.534,-0.489,0.428
4495375,8049.0,1266.0,-389.0,0.541,0.534,-0.489,0.428
4495392,8083.0,1294.0,-389.0,0.541,0.534,-0.489,0.428
4495409,8079.0,1326.0,-489.0,0.541,0.534,-0.488,0.429
4495426,8067.0,1370.0,-339.0,0.541,0.535,-0.488,0.429
4495442,8057.0,1366.0,-347.0,0.541,0.535,-0.488,0.429
4495468,8063.0,1352.0,-359.0,0.54,0.535,-0.488,0.429
4495485,8025.0,1322.0,-379.0,0.54,0.535,-0.488,0.429
4495502,8103.0,1232.0,-389.0,0.54,0.535,-0.488,0.429
4495520,8103.0,1372.0,-375.0,0.54,0.536,-0.488,0.429
4495536,8063.0,1232.0,-395.0,0.54,0.536,-0.487,0.429
4495552,8073.0,1316.0,-425.0,0.54,0.536,-0.487,0.429
4495569,8049.0,1304.0,-323.0,0.54,0.536,-0.487,0.429
