timeMs,ax,ay,az,q0,q1,q2,q3
3512381,-1054.0,8012.0,-577.0,0.627,0.645,0.35,0.263
3512407,-914.0,8968.0,-805.0,0.626,0.644,0.353,0.263
3512423,-1896.0,9156.0,-167.0,0.625,0.642,0.356,0.265
3512439,-1978.0,8152.0,191.0,0.626,0.64,0.357,0.266
3512455,-1872.0,7452.0,-255.0,0.626,0.639,0.359,0.267
3512471,-1916.0,7706.0,-353.0,0.626,0.638,0.361,0.267
3512487,-1988.0,8048.0,-141.0,0.626,0.638,0.361,0.267
3512513,-2360.0,8836.0,-101.0,0.626,0.638,0.361,0.267
3512529,-2138.0,8472.0,45.0,0.628,0.637,0.359,0.266
3512545,-2042.0,7956.0,61.0,0.63,0.636,0.356,0.266
3512561,-1936.0,7948.0,107.0,0.633,0.636,0.353,0.265
3512577,-1634.0,8326.0,89.0,0.635,0.636,0.35,0.264
3512593,-1850.0,8418.0,217.0,0.638,0.635,0.346,0.264
3512619,-1784.0,8674.0,-137.0,0.642,0.633,0.342,0.265
3512635,-1344.0,7658.0,-109.0,0.646,0.631,0.338,0.266
3512651,-1368.0,6832.0,-95.0,0.649,0.629,0.335,0.267
3512668,-1256.0,7002.0,15.0,0.651,0.627,0.334,0.267
3512684,-1404.0,7516.0,163.0,0.652,0.626,0.334,0.267
3512700,-1420.0,7826.0,279.0,0.653,0.625,0.334,0.268
3512726,-1212.0,7756.0,161.0,0.653,0.623,0.335,0.268
3512742,-1140.0,7344.0,205.0,0.653,0.622,0.337,0.269
3512758,-1272.0,7492.0,199.0,0.653,0.621,0.339,0.27
3512774,-1378.0,7876.0,321.0,0.651,0.621,0.343,0.27
3512790,-1628.0,8026.0,585.0,0.65,0.62,0.346,0.271
3512806,-1938.0,8234.0,741.0,0.649,0.62,0.348,0.271
3512832,-1536.0,8322.0,337.0,0.648,0.619,0.351,0.272
3512849,-1386.0,8158.0,23.0,0.647,0.619,0.353,0.272
3512865,-1370.0,8206.0,-21.0,0.646,0.618,0.356,0.273
3512881,-1630.0,8074.0,391.0,0.645,0.617,0.358,0.274
3512897,-1824.0,8030.0,579.0,0.644,0.616,0.36,0.275
3512913,-1796.0,8302.0,447.0,0.644,0.616,0.362,0.275
3512929,-1496.0,8214.0,295.0,0.644,0.615,0.363,0.276
3512955,-1554.0,8132.0,267.0,0.643,0.614,0.364,0.276
3512971,-1602.0,8070.0,381.0,0.644,0.613,0.365,0.277
3512987,-1690.0,8046.0,443.0,0.644,0.613,0.365,0.277
3513003,-1634.0,7994.0,429.0,0.644,0.612,0.365,0.277
3513019,-1460.0,7852.0,337.0,0.644,0.611,0.366,0.278
3513045,-1428.0,7792.0,297.0,0.644,0.611,0.367,0.278
3513062,-1474.0,7774.0,295.0,0.644,0.61,0.368,0.278
3513078,-1550.0,7770.0,367.0,0.644,0.61,0.369,0.278
3513094,-1738.0,8014.0,401.0,0.644,0.609,0.37,0.278
3513111,-1594.0,8130.0,227.0,0.644,0.609,0.371,0.278
3513127,-1634.0,8180.0,293.0,0.645,0.607,0.372,0.278
3513143,-1932.0,8200.0,511.0,0.645,0.606,0.373,0.279
3513159,-1776.0,7844.0,473.0,0.646,0.605,0.373,0.279
3513185,-1762.0,7674.0,361.0,0.646,0.604,0.374,0.28
3513201,-1782.0,7900.0,363.0,0.645,0.604,0.375,0.28
3513217,-1718.0,7888.0,203.0,0.645,0.603,0.376,0.28
3513233,-1892.0,7862.0,385.0,0.645,0.603,0.377,0.28
3513249,-1824.0,7898.0,357.0,0.645,0.603,0.378,0.281
3513275,-1748.0,7978.0,273.0,0.644,0.602,0.379,0.281
3513291,-1730.0,8042.0,253.0,0.644,0.602,0.38,0.281
3513307,-1882.0,7868.0,329.0,0.643,0.602,0.381,0.281
3513323,-1968.0,7892.0,253.0,0.643,0.601,0.382,0.281
3513339,-1910.0,7894.0,299.0,0.643,0.601,0.382,0.282
3513355,-1762.0,7782.0,219.0,0.642,0.601,0.383,0.282
3513372,-1766.0,8076.0,-85.0,0.642,0.601,0.384,0.282
3513399,-1978.0,8208.0,161.0,0.642,0.6,0.385,0.282
3513415,-2068.0,7896.0,407.0,0.642,0.6,0.385,0.282
3513431,-1940.0,7810.0,249.0,0.642,0.6,0.385,0.283
3513448,-1884.0,7924.0,169.0,0.642,0.6,0.385,0.283
3513464,-1824.0,7860.0,101.0,0.642,0.6,0.386,0.282
3513480,-1882.0,7962.0,59.0,0.642,0.6,0.386,0.282
3513496,-1870.0,8010.0,129.0,0.642,0.6,0.386,0.282
3513513,-1910.0,7962.0,215.0,0.642,0.6,0.386,0.282
3513539,-1794.0,7962.0,101.0,0.642,0.6,0.385,0.282
3513556,-1856.0,8010.0,63.0,0.642,0.599,0.385,0.282
3513574,-1920.0,8066.0,121.0,0.643,0.599,0.385,0.283
3513591,-1770.0,8000.0,141.0,0.643,0.599,0.384,0.283
3513607,-1886.0,7834.0,205.0,0.644,0.598,0.384,0.283
3513623,-1808.0,7864.0,121.0,0.645,0.598,0.383,0.283
3513639,-1876.0,7950.0,185.0,0.645,0.597,0.383,0.283
3513655,-1810.0,7890.0,259.0,0.646,0.597,0.383,0.284
3513681,-1810.0,7840.0,255.0,0.647,0.596,0.382,0.284
3513697,-1956.0,7930.0,399.0,0.647,0.596,0.382,0.284
3513713,-1742.0,7908.0,291.0,0.648,0.595,0.381,0.284
3513729,-1692.0,7868.0,277.0,0.648,0.594,0.381,0.284
