timeMs,ax,ay,az,q0,q1,q2,q3
7902829,-1026.0,8245.0,-309.0,0.621,0.66,0.325,0.269
7902845,-952.0,8123.0,-407.0,0.622,0.66,0.325,0.269
7902861,-870.0,8083.0,-467.0,0.622,0.66,0.325,0.269
7902879,-938.0,8039.0,-407.0,0.622,0.66,0.325,0.269
7902895,-1022.0,8109.0,-263.0,0.622,0.659,0.325,0.269
7902912,-1122.0,8087.0,-283.0,0.622,0.659,0.325,0.269
7902938,-1098.0,8157.0,-280.0,0.623,0.659,0.326,0.269
7902954,-978.0,8126.0,-383.0,0.623,0.658,0.326,0.269
7902970,-825.0,8199.0,-515.0,0.622,0.658,0.327,0.269
7902986,-1009.0,8219.0,-383.0,0.622,0.658,0.327,0.27
7903002,-1048.0,8077.0,-371.0,0.622,0.658,0.328,0.27
7903018,-1082.0,8172.0,-256.0,0.622,0.657,0.328,0.27
7903044,-1021.0,8059.0,-356.0,0.622,0.657,0.329,0.27
7903060,-958.0,8069.0,-472.0,0.622,0.657,0.33,0.27
7903076,-993.0,8044.0,-479.0,0.622,0.657,0.33,0.27
7903092,-985.0,8189.0,-449.0,0.622,0.656,0.331,0.27
7903108,-1084.0,8230.0,-342.0,0.622,0.656,0.332,0.27
7903124,-1116.0,8124.0,-318.0,0.622,0.656,0.332,0.27
7903140,-1222.0,8202.0,-302.0,0.622,0.655,0.333,0.27
7903166,-1084.0,8214.0,-302.0,0.622,0.655,0.333,0.27
7903182,-1102.0,8104.0,-432.0,0.622,0.655,0.333,0.27
7903198,-960.0,8252.0,-478.0,0.623,0.654,0.334,0.27
7903214,-1030.0,8010.0,-388.0,0.623,0.654,0.334,0.27
7903230,-1022.0,8130.0,-496.0,0.623,0.653,0.335,0.27
7903246,-1178.0,8312.0,-406.0,0.624,0.652,0.335,0.27
7903272,-1194.0,8168.0,-266.0,0.624,0.652,0.336,0.27
7903288,-1246.0,8078.0,-266.0,0.625,0.651,0.336,0.27
7903304,-1044.0,8060.0,-438.0,0.625,0.651,0.336,0.27
7903320,-1100.0,8030.0,-494.0,0.625,0.65,0.337,0.27
7903336,-1172.0,8040.0,-418.0,0.625,0.65,0.337,0.27
7903362,-1184.0,8264.0,-352.0,0.625,0.65,0.337,0.27
7903378,-1346.0,8332.0,-274.0,0.625,0.65,0.337,0.27
7903394,-1404.0,8310.0,-224.0,0.625,0.65,0.337,0.27
7903410,-1246.0,8150.0,-274.0,0.626,0.65,0.336,0.27
7903426,-1280.0,8010.0,-350.0,0.626,0.65,0.335,0.27
7903442,-1284.0,7942.0,-336.0,0.627,0.65,0.334,0.269
7903468,-1314.0,7956.0,-178.0,0.627,0.651,0.333,0.269
7903484,-1338.0,8204.0,-232.0,0.627,0.651,0.333,0.268
7903500,-1124.0,8244.0,-266.0,0.627,0.652,0.331,0.268
7903516,-1032.0,8170.0,-290.0,0.628,0.652,0.33,0.268
7903532,-958.0,8058.0,-406.0,0.628,0.652,0.329,0.268
7903549,-950.0,7986.0,-276.0,0.627,0.653,0.329,0.268
7903565,-1000.0,8170.0,-210.0,0.626,0.654,0.328,0.269
7903592,-948.0,8434.0,-204.0,0.626,0.655,0.327,0.269
7903609,-770.0,8390.0,-124.0,0.625,0.655,0.327,0.27
7903625,-892.0,8862.0,-110.0,0.625,0.655,0.326,0.272
7903641,-1314.0,8628.0,-152.0,0.627,0.653,0.326,0.273
7903657,-936.0,7968.0,-88.0,0.629,0.65,0.326,0.275
7903673,-204.0,7164.0,-252.0,0.629,0.649,0.326,0.276
7903690,-216.0,8104.0,-476.0,0.629,0.649,0.326,0.277
7903716,-224.0,8478.0,-476.0,0.629,0.648,0.326,0.279
7903732,-520.0,8182.0,-160.0,0.629,0.647,0.326,0.28
7903748,-932.0,8144.0,74.0,0.629,0.647,0.327,0.281
7903764,-842.0,8272.0,36.0,0.629,0.646,0.327,0.282
7903780,-906.0,8426.0,-42.0,0.629,0.646,0.327,0.283
7903796,-908.0,8214.0,-162.0,0.63,0.645,0.326,0.284
7903822,-856.0,8240.0,-118.0,0.63,0.645,0.326,0.285
7903839,-890.0,8242.0,-368.0,0.63,0.645,0.325,0.285
7903855,-820.0,8316.0,-368.0,0.63,0.645,0.324,0.286
7903871,-870.0,8372.0,-196.0,0.63,0.645,0.323,0.287
7903887,-736.0,8802.0,-312.0,0.631,0.645,0.321,0.288
7903903,-806.0,8644.0,-476.0,0.632,0.644,0.319,0.29
7903919,-784.0,8606.0,-276.0,0.634,0.643,0.316,0.291
7903945,-1134.0,8376.0,-110.0,0.636,0.642,0.312,0.293
7903961,-668.0,8076.0,-248.0,0.639,0.641,0.308,0.295
7903978,-694.0,7372.0,-452.0,0.641,0.64,0.305,0.295
7903998,-832.0,7520.0,-38.0,0.641,0.641,0.302,0.294
7904014,-662.0,7812.0,258.0,0.642,0.642,0.299,0.293
7904030,-498.0,8574.0,398.0,0.643,0.643,0.297,0.291
7904046,-124.0,8244.0,262.0,0.645,0.643,0.294,0.289
7904062,-250.0,7704.0,260.0,0.647,0.643,0.293,0.287
7904078,-292.0,7938.0,324.0,0.649,0.642,0.293,0.285
7904104,-268.0,7926.0,216.0,0.649,0.642,0.294,0.284
7904120,-226.0,8588.0,106.0,0.65,0.641,0.295,0.283
7904136,-294.0,8374.0,380.0,0.65,0.64,0.296,0.282
7904152,-416.0,8308.0,452.0,0.65,0.639,0.297,0.283
7904168,-662.0,8438.0,580.0,0.65,0.638,0.299,0.283
7904184,-870.0,8304.0,616.0,0.65,0.637,0.3,0.284
7904204,-1068.0,8064.0,682.0,0.651,0.636,0.301,0.285
7904220,-1128.0,8054.0,746.0,0.65,0.636,0.302,0.286
7904246,-974.0,8276.0,594.0,0.65,0.636,0.302,0.286
7904262,-818.0,8282.0,524.0,0.65,0.636,0.301,0.286
7904278,-804.0,8308.0,374.0,0.65,0.636,0.301,0.286
7904294,-708.0,8162.0,464.0,0.651,0.636,0.299,0.287
7904310,-736.0,8190.0,442.0,0.651,0.637,0.298,0.286
7904326,-632.0,8126.0,412.0,0.651,0.638,0.297,0.286
7904352,-330.0,8154.0,248.0,0.651,0.639,0.295,0.286
7904369,-212.0,8070.0,200.0,0.651,0.639,0.294,0.285
7904385,-292.0,8124.0,176.0,0.651,0.64,0.293,0.285
7904401,-276.0,8178.0,210.0,0.65,0.641,0.293,0.285
7904418,-420.0,8090.0,424.0,0.65,0.641,0.292,0.284
7904434,-332.0,8206.0,388.0,0.65,0.642,0.292,0.283
7904450,-368.0,8230.0,310.0,0.65,0.642,0.292,0.283
7904476,-346.0,8158.0,352.0,0.649,0.643,0.293,0.282
7904492,-434.0,8176.0,280.0,0.649,0.643,0.293,0.282
7904508,-400.0,8216.0,238.0,0.649,0.643,0.294,0.281
7904524,-424.0,8296.0,232.0,0.649,0.643,0.295,0.281
7904541,-400.0,8306.0,236.0,0.648,0.643,0.296,0.281
7904557,-682.0,8190.0,308.0,0.648,0.642,0.297,0.281
7904583,-518.0,8156.0,248.0,0.647,0.643,0.298,0.281
7904599,-590.0,8206.0,240.0,0.647,0.643,0.299,0.281
7904615,-702.0,8310.0,258.0,0.646,0.643,0.3,0.281
7904631,-606.0,8066.0,194.0,0.646,0.643,0.301,0.281
7904647,-646.0,8230.0,242.0,0.645,0.643,0.302,0.281
7904663,-724.0,8152.0,218.0,0.645,0.643,0.303,0.281
7904689,-710.0,8162.0,166.0,0.645,0.643,0.304,0.281
7904705,-714.0,8230.0,118.0,0.644,0.643,0.304,0.281
7904721,-772.0,8340.0,84.0,0.644,0.643,0.305,0.281
7904737,-672.0,8342.0,42.0,0.644,0.643,0.305,0.281
7904753,-552.0,8268.0,-36.0,0.644,0.643,0.306,0.281
7904769,-756.0,8214.0,116.0,0.644,0.642,0.306,0.281
7904795,-740.0,8224.0,94.0,0.643,0.642,0.307,0.282
7904811,-580.0,8102.0,28.0,0.643,0.642,0.307,0.282
7904828,-722.0,8062.0,34.0,0.643,0.642,0.308,0.282
7904844,-576.0,8224.0,28.0,0.643,0.642,0.308,0.282
7904860,-594.0,8236.0,24.0,0.643,0.642,0.309,0.282
7904876,-640.0,8234.0,24.0,0.643,0.642,0.31,0.282
7904892,-890.0,8228.0,120.0,0.643,0.641,0.31,0.281
7904919,-696.0,8142.0,162.0,0.643,0.641,0.311,0.281
7904935,-710.0,8162.0,76.0,0.643,0.641,0.311,0.281
7904951,-676.0,8208.0,44.0,0.643,0.641,0.312,0.28
7904967,-606.0,8212.0,32.0,0.643,0.641,0.313,0.28
7904984,-672.0,8210.0,42.0,0.643,0.641,0.313,0.28
7905001,-780.0,8208.0,174.0,0.642,0.641,0.314,0.279
7905018,-770.0,8228.0,150.0,0.642,0.641,0.314,0.279
7905034,-616.0,8158.0,42.0,0.642,0.641,0.315,0.279
7905060,-654.0,8118.0,-2.0,0.642,0.64,0.316,0.279
7905077,-742.0,8190.0,104.0,0.642,0.64,0.317,0.279
7905093,-720.0,8186.0,60.0,0.642,0.639,0.318,0.279
7905109,-676.0,8182.0,58.0,0.642,0.639,0.319,0.279
7905126,-734.0,8200.0,128.0,0.642,0.639,0.32,0.279
7905142,-672.0,8254.0,90.0,0.642,0.639,0.321,0.279
7905158,-784.0,8178.0,56.0,0.641,0.638,0.322,0.279
7905184,-748.0,8128.0,64.0,0.641,0.638,0.323,0.28
7905200,-666.0,8192.0,-46.0,0.641,0.637,0.324,0.28
7905216,-790.0,8194.0,64.0,0.64,0.637,0.325,0.281
7905232,-920.0,8088.0,134.0,0.64,0.636,0.327,0.281
7905248,-946.0,8082.0,108.0,0.639,0.636,0.328,0.281
7905264,-942.0,8132.0,66.0,0.638,0.636,0.329,0.282
7905290,-964.0,8138.0,-6.0,0.637,0.637,0.33,0.282
7905306,-874.0,8178.0,-86.0,0.636,0.637,0.332,0.282
7905322,-948.0,8218.0,-122.0,0.636,0.637,0.333,0.282
7905339,-904.0,8130.0,-160.0,0.635,0.637,0.334,0.283
7905355,-998.0,8156.0,-56.0,0.634,0.637,0.334,0.283
7905372,-990.0,8168.0,-104.0,0.633,0.638,0.335,0.283
7905388,-860.0,8184.0,-148.0,0.633,0.638,0.336,0.283
7905415,-1112.0,8158.0,-86.0,0.632,0.638,0.336,0.283
7905432,-896.0,8134.0,-136.0,0.631,0.639,0.337,0.283
7905449,-808.0,8190.0,-298.0,0.63,0.639,0.337,0.283
7905465,-852.0,8266.0,-294.0,0.63,0.64,0.337,0.284
