timeMs,ax,ay,az,q0,q1,q2,q3
1217384,3454.0,2576.0,7182.0,0.796,0.265,-0.072,0.539
1217401,3352.0,2612.0,7198.0,0.795,0.266,-0.071,0.54
1217417,3256.0,2748.0,7140.0,0.794,0.267,-0.071,0.541
1217433,3228.0,2854.0,7088.0,0.794,0.268,-0.07,0.542
1217459,3206.0,2938.0,7138.0,0.793,0.27,-0.069,0.542
1217475,3172.0,3108.0,7110.0,0.792,0.271,-0.068,0.543
1217492,3100.0,3138.0,7118.0,0.791,0.273,-0.067,0.543
1217508,3080.0,3268.0,7046.0,0.791,0.274,-0.066,0.543
1217524,3074.0,3320.0,7082.0,0.79,0.276,-0.065,0.543
1217540,3066.0,3376.0,7104.0,0.79,0.277,-0.065,0.543
1217566,3062.0,3420.0,6988.0,0.79,0.278,-0.064,0.543
1217583,3086.0,3506.0,6962.0,0.79,0.279,-0.064,0.543
1217600,3064.0,3476.0,6990.0,0.79,0.279,-0.064,0.543
1217616,3104.0,3466.0,6986.0,0.79,0.279,-0.064,0.543
1217633,3144.0,3434.0,6984.0,0.79,0.279,-0.064,0.542
1217649,3182.0,3396.0,6962.0,0.79,0.279,-0.065,0.542
1217665,3284.0,3328.0,6990.0,0.79,0.278,-0.065,0.542
1217682,3292.0,3308.0,7014.0,0.791,0.277,-0.066,0.542
1217698,3356.0,3200.0,6984.0,0.791,0.276,-0.066,0.541
1217725,3304.0,3154.0,7002.0,0.792,0.276,-0.067,0.541
1217742,3248.0,3040.0,7016.0,0.792,0.275,-0.067,0.541
1217758,3300.0,3004.0,7052.0,0.793,0.274,-0.067,0.54
1217774,3400.0,2990.0,7052.0,0.793,0.274,-0.067,0.54
1217790,3390.0,3032.0,7034.0,0.794,0.273,-0.067,0.539
1217807,3352.0,2944.0,7012.0,0.794,0.273,-0.067,0.539
1217824,3366.0,2972.0,7088.0,0.794,0.273,-0.067,0.539
1217840,3314.0,2972.0,7060.0,0.794,0.272,-0.067,0.539
1217867,3354.0,3030.0,7080.0,0.795,0.272,-0.067,0.539
1217884,3342.0,2998.0,7092.0,0.795,0.272,-0.067,0.539
1217901,3362.0,2924.0,7130.0,0.795,0.271,-0.067,0.539
1217917,3350.0,2862.0,7066.0,0.795,0.271,-0.067,0.539
1217933,3358.0,2892.0,7042.0,0.795,0.271,-0.067,0.539
1217950,3350.0,2870.0,7066.0,0.795,0.271,-0.066,0.539
1217967,3342.0,2860.0,7044.0,0.794,0.271,-0.066,0.54
1217983,3354.0,2836.0,7024.0,0.794,0.271,-0.065,0.54
1218000,3344.0,2922.0,7056.0,0.794,0.271,-0.064,0.541
1218017,3256.0,2928.0,7124.0,0.794,0.271,-0.063,0.541
1218044,3222.0,3080.0,7146.0,0.793,0.271,-0.062,0.542
1218061,3164.0,3108.0,7084.0,0.792,0.271,-0.06,0.543
1218077,3184.0,3060.0,7082.0,0.792,0.272,-0.059,0.544
1218093,3258.0,3022.0,7040.0,0.791,0.272,-0.058,0.545
1218109,3310.0,3156.0,7004.0,0.791,0.272,-0.057,0.545
1218125,3344.0,3244.0,6994.0,0.79,0.272,-0.055,0.546
1218141,3274.0,3322.0,6956.0,0.79,0.272,-0.054,0.546
