timeMs,ax,ay,az,q0,q1,q2,q3
4648570,8427.0,1140.0,-681.0,0.48,0.569,-0.486,0.458
4648586,8517.0,1152.0,-627.0,0.479,0.568,-0.487,0.459
4648612,8437.0,1382.0,-455.0,0.479,0.568,-0.488,0.459
4648628,8397.0,1308.0,-271.0,0.479,0.566,-0.489,0.459
4648644,8539.0,1688.0,11.0,0.479,0.564,-0.492,0.458
4648660,8871.0,1678.0,137.0,0.48,0.562,-0.495,0.457
4648676,9353.0,564.0,-523.0,0.479,0.561,-0.497,0.457
4648692,9081.0,1318.0,-1083.0,0.478,0.56,-0.498,0.457
4648718,9233.0,906.0,-967.0,0.478,0.559,-0.5,0.457
4648734,9069.0,648.0,-725.0,0.479,0.558,-0.501,0.457
4648751,8851.0,602.0,-851.0,0.48,0.557,-0.501,0.457
4648767,8887.0,594.0,-745.0,0.481,0.557,-0.499,0.458
4648784,8523.0,1176.0,-557.0,0.482,0.557,-0.497,0.459
4648800,8143.0,364.0,69.0,0.484,0.557,-0.495,0.459
4648816,7625.0,594.0,-451.0,0.485,0.557,-0.492,0.46
4648842,8023.0,1518.0,-409.0,0.487,0.558,-0.49,0.46
4648858,7929.0,1122.0,-487.0,0.488,0.559,-0.488,0.459
4648874,7607.0,1060.0,-823.0,0.489,0.56,-0.487,0.458
4648890,7241.0,2208.0,-1477.0,0.49,0.561,-0.487,0.456
4648906,7789.0,1878.0,-875.0,0.493,0.558,-0.489,0.453
4648922,7889.0,-308.0,-497.0,0.496,0.556,-0.491,0.452
4648948,7237.0,72.0,-393.0,0.498,0.555,-0.49,0.452
4648965,6933.0,726.0,-481.0,0.499,0.554,-0.488,0.454
4648981,7027.0,870.0,-443.0,0.499,0.553,-0.486,0.457
4648997,7119.0,800.0,-573.0,0.499,0.552,-0.484,0.461
4649013,7107.0,1050.0,-675.0,0.498,0.551,-0.481,0.466
4649029,7135.0,750.0,-537.0,0.497,0.55,-0.478,0.471
4649046,7387.0,566.0,-255.0,0.496,0.55,-0.474,0.477
4649072,7599.0,60.0,-449.0,0.494,0.549,-0.469,0.483
4649088,7899.0,446.0,-419.0,0.492,0.55,-0.464,0.49
4649105,8239.0,1032.0,-433.0,0.489,0.552,-0.458,0.496
4649121,8293.0,1712.0,-487.0,0.485,0.555,-0.452,0.502
4649137,8041.0,1998.0,-535.0,0.483,0.558,-0.447,0.507
4649153,8319.0,1562.0,-573.0,0.481,0.56,-0.442,0.509
4649170,8173.0,1252.0,-561.0,0.48,0.562,-0.439,0.511
