timeMs,ax,ay,az,q0,q1,q2,q3
3480151,-1052.0,6568.0,23.0,0.634,0.656,0.315,0.26
3480167,-1334.0,6442.0,151.0,0.637,0.655,0.31,0.263
3480193,-270.0,8542.0,-577.0,0.637,0.656,0.307,0.265
3480209,36.0,8424.0,-397.0,0.637,0.655,0.305,0.268
3480225,-572.0,7354.0,-455.0,0.636,0.654,0.305,0.271
3480241,-694.0,7494.0,-385.0,0.636,0.653,0.306,0.273
3480257,-544.0,7780.0,-333.0,0.636,0.652,0.308,0.275
3480273,-620.0,7788.0,-723.0,0.635,0.652,0.31,0.277
3480299,-660.0,8362.0,-629.0,0.633,0.651,0.313,0.278
3480315,-1080.0,8680.0,-405.0,0.632,0.65,0.316,0.279
3480331,-1312.0,8114.0,-131.0,0.632,0.649,0.319,0.28
3480347,-1210.0,8366.0,-365.0,0.631,0.648,0.322,0.28
3480363,-1048.0,8952.0,-743.0,0.632,0.646,0.324,0.28
3480379,-1352.0,9276.0,-383.0,0.633,0.644,0.325,0.281
3480396,-1550.0,8400.0,-269.0,0.635,0.641,0.325,0.282
3480422,-1640.0,8192.0,-83.0,0.638,0.639,0.324,0.282
3480439,-1438.0,8338.0,139.0,0.641,0.637,0.323,0.282
3480455,-1290.0,7812.0,111.0,0.644,0.635,0.321,0.282
3480472,-1274.0,7356.0,303.0,0.646,0.634,0.319,0.281
3480489,-1156.0,7272.0,213.0,0.648,0.633,0.318,0.28
3480505,-1050.0,7022.0,345.0,0.649,0.633,0.318,0.278
3480521,-1146.0,7704.0,337.0,0.649,0.633,0.319,0.276
3480538,-1610.0,7958.0,901.0,0.65,0.633,0.319,0.275
3480565,-1778.0,8284.0,871.0,0.651,0.632,0.319,0.274
3480582,-1426.0,8514.0,579.0,0.652,0.631,0.319,0.273
3480598,-1432.0,8334.0,517.0,0.653,0.63,0.319,0.274
3480614,-1456.0,8114.0,635.0,0.654,0.629,0.319,0.275
3480630,-1576.0,8052.0,703.0,0.655,0.628,0.318,0.276
3480646,-1594.0,8014.0,659.0,0.656,0.627,0.317,0.277
3480662,-1528.0,8156.0,797.0,0.657,0.626,0.316,0.279
3480688,-1458.0,8346.0,817.0,0.658,0.625,0.314,0.28
3480705,-1318.0,8082.0,775.0,0.659,0.623,0.312,0.282
3480721,-1260.0,7706.0,833.0,0.661,0.622,0.31,0.283
3480738,-1298.0,7812.0,765.0,0.662,0.621,0.308,0.284
3480754,-1466.0,7742.0,825.0,0.663,0.62,0.307,0.285
3480770,-1054.0,8028.0,721.0,0.665,0.619,0.305,0.286
3480786,-758.0,8040.0,511.0,0.666,0.618,0.304,0.287
3480812,-658.0,8256.0,437.0,0.667,0.616,0.303,0.289
3480829,-936.0,8178.0,651.0,0.668,0.615,0.302,0.29
3480845,-994.0,7982.0,877.0,0.67,0.613,0.301,0.292
3480861,-926.0,7778.0,941.0,0.672,0.611,0.3,0.294
3480878,-782.0,7676.0,873.0,0.672,0.609,0.3,0.295
3480894,-776.0,6834.0,1129.0,0.673,0.608,0.301,0.295
3480910,-1008.0,7836.0,1285.0,0.673,0.608,0.302,0.294
3480929,-814.0,8660.0,1115.0,0.673,0.607,0.304,0.292
3480945,-1106.0,8082.0,1293.0,0.674,0.606,0.304,0.292
3480971,-868.0,8258.0,1171.0,0.676,0.605,0.305,0.291
3480987,-602.0,8200.0,1105.0,0.677,0.603,0.306,0.291
3481003,-894.0,7898.0,1269.0,0.678,0.602,0.307,0.291
3481019,-854.0,8152.0,1197.0,0.679,0.6,0.308,0.29
3481035,-914.0,7974.0,1183.0,0.68,0.598,0.31,0.29
3481051,-1132.0,8064.0,1257.0,0.68,0.597,0.311,0.29
3481077,-1188.0,8072.0,1385.0,0.681,0.596,0.312,0.29
3481093,-1312.0,7936.0,1443.0,0.682,0.594,0.312,0.29
