timeMs,ax,ay,az,q0,q1,q2,q3
4799764,4040.0,6868.0,1628.0,0.713,0.63,-0.091,0.293
4799780,4146.0,6868.0,1552.0,0.713,0.63,-0.091,0.293
4799796,4124.0,6940.0,1598.0,0.713,0.63,-0.092,0.294
4799812,4142.0,6970.0,1522.0,0.712,0.63,-0.092,0.295
4799828,4092.0,6994.0,1490.0,0.712,0.63,-0.093,0.296
4799854,4108.0,7010.0,1494.0,0.712,0.63,-0.093,0.296
4799870,4102.0,6960.0,1470.0,0.712,0.63,-0.094,0.297
4799886,4098.0,6884.0,1568.0,0.712,0.629,-0.095,0.298
4799902,4092.0,6668.0,1676.0,0.712,0.629,-0.095,0.298
4799918,4042.0,7038.0,1512.0,0.712,0.629,-0.096,0.297
4799934,4154.0,7004.0,1516.0,0.712,0.628,-0.096,0.297
4799960,4154.0,6840.0,1652.0,0.712,0.628,-0.097,0.297
4799976,4132.0,6834.0,1604.0,0.712,0.628,-0.098,0.298
4799993,4284.0,6940.0,1676.0,0.712,0.628,-0.098,0.299
4800009,4288.0,6990.0,1570.0,0.712,0.628,-0.099,0.3
4800025,4330.0,6960.0,1556.0,0.712,0.627,-0.1,0.3
4800041,4282.0,6934.0,1522.0,0.712,0.627,-0.1,0.301
4800067,4314.0,6826.0,1518.0,0.711,0.627,-0.101,0.302
4800083,4326.0,6838.0,1572.0,0.711,0.626,-0.102,0.302
4800099,4316.0,6848.0,1596.0,0.711,0.626,-0.102,0.303
4800115,4342.0,6842.0,1588.0,0.711,0.625,-0.103,0.304
4800131,4308.0,6826.0,1624.0,0.711,0.625,-0.103,0.305
4800147,4252.0,6816.0,1632.0,0.711,0.624,-0.104,0.306
4800164,4310.0,6732.0,1626.0,0.711,0.624,-0.104,0.307
4800190,4358.0,6664.0,1670.0,0.711,0.623,-0.105,0.308
4800206,4294.0,6586.0,1706.0,0.711,0.623,-0.105,0.308
4800222,4236.0,6432.0,1768.0,0.711,0.623,-0.105,0.309
4800239,4272.0,6800.0,1704.0,0.711,0.623,-0.105,0.309
4800256,4442.0,6634.0,1712.0,0.711,0.623,-0.106,0.309
4800272,4422.0,6732.0,1678.0,0.71,0.623,-0.106,0.309
4800288,4494.0,6846.0,1650.0,0.71,0.624,-0.106,0.309
4800315,4500.0,6820.0,1536.0,0.71,0.624,-0.106,0.31
4800331,4488.0,6882.0,1536.0,0.71,0.624,-0.107,0.31
4800348,4494.0,6828.0,1600.0,0.71,0.623,-0.107,0.31
4800364,4436.0,6742.0,1624.0,0.71,0.623,-0.107,0.31
4800380,4406.0,6670.0,1678.0,0.711,0.623,-0.107,0.31
4800397,4374.0,6606.0,1724.0,0.711,0.622,-0.107,0.31
4800413,4328.0,6680.0,1724.0,0.711,0.622,-0.107,0.31
4800429,4358.0,6682.0,1718.0,0.711,0.622,-0.107,0.31
4800456,4326.0,6686.0,1680.0,0.711,0.622,-0.107,0.31
4800472,4360.0,6686.0,1718.0,0.711,0.622,-0.107,0.311
4800489,4396.0,6688.0,1706.0,0.711,0.622,-0.106,0.311
4800505,4406.0,6786.0,1686.0,0.711,0.622,-0.106,0.311
4800521,4398.0,6776.0,1648.0,0.711,0.622,-0.106,0.311
4800538,4396.0,6720.0,1640.0,0.711,0.622,-0.106,0.311
