timeMs,ax,ay,az,q0,q1,q2,q3
4866294,2204.0,8026.0,-1464.0,0.605,0.775,-0.156,0.094
4866310,2378.0,8546.0,-1912.0,0.604,0.776,-0.156,0.094
4866326,2320.0,8146.0,-2002.0,0.604,0.776,-0.157,0.094
4866352,2762.0,7948.0,-1682.0,0.604,0.776,-0.157,0.094
4866368,2698.0,7730.0,-1750.0,0.604,0.776,-0.157,0.094
4866384,2698.0,7652.0,-1712.0,0.604,0.776,-0.157,0.094
4866400,2484.0,7586.0,-1656.0,0.604,0.775,-0.157,0.094
4866416,2686.0,7732.0,-1278.0,0.605,0.775,-0.157,0.095
4866432,2328.0,7374.0,-1268.0,0.605,0.775,-0.157,0.095
4866458,2468.0,7758.0,-1308.0,0.604,0.776,-0.157,0.095
4866474,2324.0,7994.0,-1458.0,0.604,0.776,-0.157,0.095
4866490,2256.0,8054.0,-1470.0,0.605,0.775,-0.156,0.096
4866506,1970.0,7280.0,-1572.0,0.607,0.773,-0.156,0.097
4866522,1670.0,6980.0,-1854.0,0.606,0.773,-0.156,0.098
4866538,2178.0,8636.0,-1690.0,0.606,0.774,-0.156,0.099
4866564,2066.0,8240.0,-1544.0,0.608,0.772,-0.156,0.1
4866580,1728.0,7118.0,-1558.0,0.609,0.771,-0.156,0.101
4866596,2490.0,7862.0,-1310.0,0.61,0.77,-0.157,0.103
4866612,2196.0,8044.0,-1228.0,0.613,0.767,-0.158,0.106
4866628,2304.0,7388.0,-1218.0,0.616,0.764,-0.159,0.108
4866644,2490.0,7610.0,-1034.0,0.616,0.763,-0.16,0.109
4866670,2950.0,8714.0,-958.0,0.615,0.764,-0.16,0.109
4866686,2560.0,7792.0,-1100.0,0.616,0.763,-0.16,0.109
4866702,2604.0,7036.0,-1056.0,0.617,0.763,-0.161,0.109
4866718,2740.0,7392.0,-1108.0,0.616,0.763,-0.161,0.109
4866734,2878.0,7806.0,-1092.0,0.616,0.763,-0.162,0.109
4866750,2938.0,7748.0,-1032.0,0.616,0.763,-0.162,0.109
4866776,3004.0,7894.0,-934.0,0.616,0.763,-0.162,0.11
4866792,2894.0,7706.0,-908.0,0.616,0.763,-0.163,0.11
4866808,2850.0,7520.0,-910.0,0.616,0.763,-0.162,0.11
4866824,2840.0,7564.0,-980.0,0.615,0.763,-0.162,0.111
4866840,2744.0,7578.0,-1008.0,0.615,0.764,-0.162,0.111
4866856,2634.0,7654.0,-1076.0,0.614,0.764,-0.161,0.112
4866883,2632.0,7834.0,-1134.0,0.614,0.765,-0.161,0.112
4866899,2682.0,7714.0,-1244.0,0.613,0.765,-0.161,0.113
4866915,2612.0,7736.0,-1320.0,0.613,0.765,-0.16,0.113
4866931,2578.0,7756.0,-1358.0,0.613,0.766,-0.16,0.113
4866948,2514.0,7732.0,-1486.0,0.612,0.766,-0.159,0.114
4866965,2504.0,7756.0,-1500.0,0.612,0.766,-0.159,0.114
4866981,2470.0,7778.0,-1468.0,0.612,0.767,-0.158,0.114
4866997,2414.0,7780.0,-1456.0,0.612,0.767,-0.158,0.114
4867023,2466.0,7778.0,-1378.0,0.612,0.767,-0.158,0.114
