timeMs,ax,ay,az,q0,q1,q2,q3
5507754,2711.0,9158.0,713.0,0.617,0.768,-0.076,0.155
5507780,5727.0,22676.0,-2481.0,0.614,0.772,-0.08,0.146
5507796,5291.0,19896.0,-3115.0,0.634,0.756,-0.088,0.14
5507812,-1813.0,-10268.0,3407.0,0.647,0.744,-0.094,0.138
5507829,2789.0,8046.0,1189.0,0.648,0.742,-0.099,0.136
5507845,675.0,6374.0,441.0,0.657,0.734,-0.107,0.136
5507861,2495.0,20242.0,571.0,0.653,0.739,-0.107,0.128
5507887,7945.0,4462.0,-247.0,0.674,0.719,-0.118,0.127
5507903,-801.0,5518.0,585.0,0.674,0.718,-0.122,0.123
5507920,6549.0,4092.0,41.0,0.681,0.71,-0.131,0.124
5507936,-193.0,10678.0,-1821.0,0.684,0.706,-0.134,0.122
5507957,2135.0,10216.0,569.0,0.688,0.701,-0.138,0.123
5507973,1461.0,8098.0,-95.0,0.693,0.696,-0.143,0.122
5507990,2011.0,8048.0,-263.0,0.697,0.69,-0.148,0.124
5508007,2737.0,9778.0,1653.0,0.706,0.679,-0.154,0.126
5508024,3221.0,8962.0,2435.0,0.719,0.664,-0.159,0.13
5508040,3997.0,5320.0,2923.0,0.731,0.647,-0.165,0.137
5508057,4185.0,7350.0,3215.0,0.743,0.632,-0.168,0.142
5508073,4893.0,6844.0,3143.0,0.753,0.618,-0.169,0.146
5508099,5457.0,8182.0,3145.0,0.762,0.608,-0.166,0.15
5508115,5815.0,9272.0,3031.0,0.77,0.597,-0.162,0.154
5508131,5151.0,7618.0,2829.0,0.782,0.581,-0.16,0.158
5508147,5501.0,5892.0,3297.0,0.793,0.565,-0.158,0.164
5508163,5553.0,6136.0,3739.0,0.802,0.551,-0.156,0.172
5508179,5827.0,6058.0,3551.0,0.808,0.539,-0.154,0.181
5508205,6615.0,5758.0,3303.0,0.811,0.532,-0.153,0.19
5508222,6443.0,5360.0,3099.0,0.812,0.529,-0.15,0.199
5508238,6115.0,5860.0,2957.0,0.81,0.529,-0.145,0.208
5508254,6423.0,6648.0,2813.0,0.807,0.531,-0.139,0.217
