timeMs,ax,ay,az,q0,q1,q2,q3
5441602,2790.0,1809.0,-3265.0,0.664,0.729,-0.146,0.075
5441618,1992.0,31231.0,-4135.0,0.661,0.733,-0.143,0.07
5441634,2688.0,-2799.0,1123.0,0.675,0.719,-0.151,0.073
5441650,158.0,8455.0,2095.0,0.658,0.734,-0.149,0.076
5441667,4266.0,7851.0,-839.0,0.665,0.726,-0.155,0.078
5441683,-2010.0,14417.0,-1919.0,0.66,0.732,-0.15,0.077
5441709,2358.0,6385.0,1611.0,0.659,0.732,-0.152,0.079
5441725,1788.0,6997.0,-389.0,0.661,0.729,-0.155,0.081
5441742,1564.0,7095.0,-777.0,0.663,0.728,-0.156,0.082
5441759,1870.0,7095.0,-793.0,0.663,0.727,-0.156,0.082
5441775,2150.0,7883.0,-199.0,0.663,0.727,-0.155,0.084
5441792,1742.0,7913.0,113.0,0.662,0.728,-0.154,0.086
5441808,1980.0,8073.0,301.0,0.662,0.729,-0.152,0.088
5441824,1412.0,7217.0,117.0,0.662,0.728,-0.152,0.091
5441851,1886.0,7877.0,341.0,0.662,0.728,-0.152,0.093
5441868,1580.0,6947.0,1.0,0.66,0.729,-0.154,0.096
5441884,2286.0,7069.0,611.0,0.66,0.728,-0.155,0.1
5441900,272.0,6581.0,95.0,0.659,0.728,-0.159,0.105
5441916,1610.0,5451.0,663.0,0.656,0.729,-0.162,0.108
5441932,1392.0,6157.0,427.0,0.652,0.731,-0.166,0.113
5441948,1634.0,6767.0,247.0,0.648,0.732,-0.173,0.12
5441974,2720.0,8189.0,287.0,0.642,0.735,-0.178,0.127
5441991,4212.0,10805.0,401.0,0.632,0.742,-0.178,0.134
5442007,3880.0,12341.0,-307.0,0.626,0.746,-0.176,0.141
5442023,2920.0,8939.0,-1265.0,0.625,0.746,-0.176,0.146
5442039,2888.0,6937.0,-2009.0,0.626,0.745,-0.177,0.149
5442055,3304.0,7045.0,-2429.0,0.627,0.744,-0.178,0.15
5442081,4240.0,8255.0,-2005.0,0.63,0.741,-0.177,0.15
5442097,3670.0,7827.0,-1371.0,0.634,0.738,-0.177,0.151
5442113,3460.0,6357.0,-535.0,0.638,0.733,-0.178,0.154
5442129,4370.0,7169.0,-551.0,0.64,0.731,-0.179,0.155
5442145,4516.0,7547.0,-233.0,0.642,0.729,-0.18,0.156
5442171,4224.0,7117.0,-333.0,0.643,0.728,-0.179,0.157
5442187,3664.0,6585.0,-187.0,0.643,0.728,-0.178,0.159
5442203,3622.0,5929.0,-57.0,0.641,0.729,-0.178,0.161
5442220,3476.0,7273.0,-273.0,0.638,0.731,-0.177,0.163
5442236,3510.0,8379.0,-373.0,0.635,0.734,-0.176,0.165
5442253,3212.0,8231.0,-583.0,0.633,0.735,-0.174,0.166
5442270,2772.0,7987.0,-675.0,0.632,0.737,-0.172,0.167
5442286,2736.0,7933.0,-601.0,0.632,0.737,-0.171,0.168
