timeMs,ax,ay,az,q0,q1,q2,q3
665258,3656.0,2120.0,7170.0,0.962,0.119,-0.243,-0.044
665275,3692.0,2016.0,7194.0,0.962,0.119,-0.243,-0.045
665291,3672.0,2150.0,7226.0,0.962,0.118,-0.243,-0.045
665308,3710.0,2038.0,7302.0,0.962,0.118,-0.243,-0.045
665325,3772.0,2060.0,7302.0,0.962,0.118,-0.243,-0.045
665352,3798.0,2108.0,7242.0,0.962,0.118,-0.243,-0.046
665369,3868.0,2174.0,7146.0,0.962,0.119,-0.242,-0.046
665385,3876.0,2126.0,7074.0,0.962,0.119,-0.242,-0.046
665401,3844.0,2080.0,7040.0,0.962,0.119,-0.242,-0.046
665418,3850.0,2044.0,7090.0,0.962,0.119,-0.241,-0.047
665434,3790.0,2038.0,7186.0,0.962,0.119,-0.241,-0.047
665450,3790.0,2026.0,7278.0,0.962,0.119,-0.24,-0.047
665476,3682.0,1982.0,7258.0,0.962,0.119,-0.24,-0.047
665493,3644.0,2022.0,7256.0,0.962,0.119,-0.24,-0.048
665509,3566.0,2016.0,7280.0,0.962,0.119,-0.239,-0.048
665525,3492.0,2052.0,7280.0,0.963,0.119,-0.239,-0.047
665542,3378.0,2016.0,7258.0,0.963,0.119,-0.239,-0.047
665559,3380.0,2042.0,7246.0,0.963,0.119,-0.239,-0.047
665576,3394.0,2138.0,7208.0,0.962,0.12,-0.239,-0.047
665593,3544.0,2226.0,7176.0,0.962,0.12,-0.24,-0.046
665610,3648.0,2254.0,7206.0,0.962,0.12,-0.24,-0.045
665626,3702.0,2270.0,7200.0,0.962,0.12,-0.241,-0.045
665653,3800.0,2278.0,7188.0,0.962,0.12,-0.241,-0.044
665670,3798.0,2376.0,7108.0,0.962,0.12,-0.242,-0.044
665687,3824.0,2314.0,7072.0,0.962,0.12,-0.242,-0.044
665704,3794.0,2282.0,7068.0,0.962,0.12,-0.243,-0.044
665721,3796.0,2244.0,7054.0,0.962,0.12,-0.243,-0.044
665737,3810.0,2162.0,7028.0,0.962,0.119,-0.243,-0.044
665754,3764.0,2146.0,7072.0,0.962,0.119,-0.243,-0.044
665771,3728.0,2112.0,7110.0,0.962,0.118,-0.243,-0.044
665788,3748.0,2046.0,7202.0,0.962,0.118,-0.243,-0.044
665805,3760.0,2052.0,7276.0,0.962,0.117,-0.243,-0.044
665822,3720.0,2066.0,7272.0,0.962,0.117,-0.242,-0.044
665838,3596.0,2016.0,7260.0,0.962,0.116,-0.242,-0.044
665864,3666.0,2034.0,7210.0,0.962,0.116,-0.242,-0.044
665881,3632.0,2026.0,7256.0,0.962,0.115,-0.242,-0.044
665897,3638.0,1994.0,7232.0,0.962,0.115,-0.242,-0.043
665913,3676.0,1966.0,7212.0,0.962,0.114,-0.242,-0.043
665930,3658.0,1954.0,7194.0,0.962,0.114,-0.243,-0.043
665947,3736.0,1916.0,7204.0,0.962,0.113,-0.243,-0.043
665963,3822.0,1942.0,7218.0,0.962,0.113,-0.244,-0.043
665989,3870.0,2018.0,7188.0,0.962,0.113,-0.244,-0.043
666006,3978.0,1984.0,7114.0,0.962,0.112,-0.245,-0.043
666023,3950.0,1964.0,7122.0,0.962,0.112,-0.245,-0.043
666040,3892.0,1948.0,7128.0,0.962,0.112,-0.245,-0.043
666058,3822.0,1978.0,7164.0,0.962,0.112,-0.245,-0.043
666074,3754.0,1900.0,7224.0,0.962,0.111,-0.245,-0.043
666090,3700.0,1888.0,7254.0,0.962,0.111,-0.244,-0.043
666106,3680.0,1928.0,7242.0,0.962,0.111,-0.244,-0.042
666122,3648.0,1948.0,7206.0,0.962,0.112,-0.244,-0.042
666148,3766.0,2054.0,7226.0,0.962,0.112,-0.244,-0.041
666165,3770.0,2022.0,7224.0,0.962,0.113,-0.243,-0.041
666182,3800.0,2008.0,7182.0,0.963,0.114,-0.243,-0.041
666198,3746.0,2076.0,7142.0,0.963,0.114,-0.243,-0.04
666215,3770.0,2032.0,7156.0,0.963,0.115,-0.242,-0.04
666231,3662.0,2118.0,7220.0,0.963,0.115,-0.242,-0.04
666247,3688.0,2148.0,7226.0,0.963,0.116,-0.242,-0.04
666263,3718.0,2096.0,7170.0,0.963,0.117,-0.241,-0.04
666289,3788.0,2144.0,7162.0,0.963,0.117,-0.241,-0.04
666305,3798.0,2156.0,7222.0,0.963,0.117,-0.24,-0.04
666321,3794.0,2106.0,7198.0,0.963,0.117,-0.24,-0.04
666337,3778.0,2088.0,7222.0,0.963,0.118,-0.239,-0.041
666353,3656.0,2046.0,7228.0,0.963,0.118,-0.239,-0.041
666369,3636.0,2014.0,7192.0,0.963,0.118,-0.238,-0.041
666395,3614.0,1994.0,7208.0,0.963,0.118,-0.238,-0.041
666411,3516.0,2006.0,7220.0,0.963,0.119,-0.237,-0.042
666427,3530.0,2008.0,7248.0,0.963,0.119,-0.237,-0.042
666443,3522.0,2056.0,7260.0,0.963,0.119,-0.237,-0.042
666459,3618.0,2048.0,7202.0,0.963,0.12,-0.237,-0.042
666475,3678.0,2098.0,7206.0,0.963,0.12,-0.237,-0.042
666502,3668.0,2124.0,7222.0,0.963,0.121,-0.236,-0.043
666518,3552.0,2226.0,7182.0,0.963,0.121,-0.236,-0.043
666534,3458.0,2306.0,7220.0,0.963,0.121,-0.236,-0.043
666550,3442.0,2284.0,7258.0,0.963,0.121,-0.236,-0.043
666566,3434.0,2304.0,7272.0,0.963,0.121,-0.236,-0.043
666582,3438.0,2272.0,7224.0,0.963,0.121,-0.237,-0.043
666599,3560.0,2164.0,7214.0,0.963,0.121,-0.237,-0.043
666625,3662.0,2288.0,7120.0,0.963,0.121,-0.238,-0.043
666642,3768.0,2184.0,7132.0,0.963,0.12,-0.238,-0.043
666658,3900.0,2190.0,7170.0,0.963,0.12,-0.238,-0.044
666674,3890.0,2098.0,7124.0,0.963,0.119,-0.238,-0.044
666690,3886.0,2072.0,7166.0,0.963,0.119,-0.238,-0.044
666706,3894.0,2012.0,7244.0,0.963,0.118,-0.237,-0.045
666732,3788.0,1966.0,7252.0,0.963,0.118,-0.237,-0.045
666748,3762.0,1988.0,7198.0,0.964,0.118,-0.236,-0.045
666764,3710.0,1992.0,7240.0,0.964,0.118,-0.235,-0.045
666780,3702.0,1918.0,7314.0,0.964,0.118,-0.235,-0.045
666796,3666.0,1988.0,7324.0,0.964,0.118,-0.234,-0.045
666812,3602.0,1964.0,7280.0,0.964,0.118,-0.233,-0.045
666829,3550.0,1936.0,7304.0,0.964,0.119,-0.233,-0.045
666856,3478.0,1944.0,7246.0,0.964,0.119,-0.232,-0.044
666872,3416.0,1998.0,7294.0,0.964,0.119,-0.232,-0.044
666888,3448.0,2012.0,7334.0,0.964,0.12,-0.232,-0.044
666905,3422.0,2036.0,7258.0,0.964,0.12,-0.232,-0.044
666921,3502.0,2064.0,7226.0,0.964,0.121,-0.232,-0.043
666937,3560.0,2156.0,7256.0,0.964,0.121,-0.232,-0.043
666953,3578.0,2128.0,7288.0,0.964,0.122,-0.232,-0.043
666979,3596.0,2140.0,7198.0,0.964,0.123,-0.232,-0.042
666996,3480.0,2182.0,7192.0,0.964,0.123,-0.231,-0.042
667013,3504.0,2238.0,7178.0,0.964,0.124,-0.231,-0.041
667030,3482.0,2274.0,7280.0,0.964,0.125,-0.23,-0.041
667047,3472.0,2370.0,7268.0,0.964,0.125,-0.229,-0.04
667063,3524.0,2366.0,7298.0,0.965,0.126,-0.228,-0.04
667080,3474.0,2340.0,7262.0,0.965,0.127,-0.228,-0.039
667096,3512.0,2394.0,7226.0,0.965,0.127,-0.228,-0.038
667122,3558.0,2396.0,7200.0,0.965,0.127,-0.227,-0.037
667138,3568.0,2364.0,7186.0,0.965,0.127,-0.227,-0.037
667154,3548.0,2326.0,7206.0,0.965,0.127,-0.228,-0.036
667171,3668.0,2304.0,7196.0,0.965,0.127,-0.228,-0.036
667188,3616.0,2280.0,7242.0,0.965,0.126,-0.228,-0.036
667205,3636.0,2166.0,7290.0,0.965,0.125,-0.229,-0.035
667221,3698.0,2262.0,7368.0,0.965,0.124,-0.229,-0.036
667238,3732.0,2258.0,7384.0,0.965,0.123,-0.229,-0.036
667254,3602.0,2180.0,7304.0,0.965,0.123,-0.229,-0.036
667281,3626.0,2056.0,7220.0,0.965,0.122,-0.23,-0.037
667298,3564.0,1836.0,7230.0,0.965,0.122,-0.23,-0.037
667315,3550.0,1840.0,7224.0,0.965,0.122,-0.23,-0.037
667332,3544.0,2048.0,7246.0,0.965,0.123,-0.23,-0.037
667349,3510.0,2174.0,7250.0,0.965,0.124,-0.229,-0.035
667365,3540.0,1902.0,7334.0,0.965,0.124,-0.229,-0.034
667382,3584.0,1966.0,7280.0,0.965,0.125,-0.228,-0.032
667399,3640.0,2010.0,7210.0,0.965,0.126,-0.228,-0.03
667416,3626.0,2036.0,7198.0,0.965,0.127,-0.227,-0.029
667433,3646.0,2102.0,7246.0,0.965,0.128,-0.227,-0.028
667450,3738.0,2034.0,7214.0,0.965,0.129,-0.226,-0.027
667467,3660.0,1898.0,7254.0,0.965,0.13,-0.226,-0.027
667493,3622.0,2102.0,7238.0,0.965,0.131,-0.226,-0.026
667510,3542.0,2142.0,7200.0,0.965,0.132,-0.226,-0.027
667527,3570.0,2214.0,7238.0,0.965,0.133,-0.225,-0.027
667544,3534.0,2216.0,7214.0,0.965,0.133,-0.225,-0.028
667560,3492.0,2292.0,7298.0,0.965,0.134,-0.225,-0.028
667576,3464.0,2290.0,7310.0,0.965,0.134,-0.225,-0.028
667593,3434.0,2282.0,7320.0,0.965,0.135,-0.225,-0.029
667610,3432.0,2304.0,7282.0,0.965,0.136,-0.225,-0.029
667626,3460.0,2354.0,7232.0,0.964,0.137,-0.224,-0.028
667653,3480.0,2364.0,7286.0,0.964,0.138,-0.224,-0.028
667670,3492.0,2448.0,7240.0,0.964,0.139,-0.224,-0.028
667686,3444.0,2484.0,7210.0,0.964,0.14,-0.223,-0.028
667702,3522.0,2518.0,7238.0,0.964,0.141,-0.223,-0.027
667718,3558.0,2586.0,7226.0,0.964,0.142,-0.223,-0.027
667734,3510.0,2606.0,7102.0,0.964,0.144,-0.222,-0.027
667750,3482.0,2652.0,7072.0,0.964,0.145,-0.222,-0.027
667776,3438.0,2654.0,7080.0,0.964,0.146,-0.221,-0.028
667792,3416.0,2678.0,7136.0,0.964,0.146,-0.221,-0.028
667808,3372.0,2564.0,7240.0,0.964,0.146,-0.22,-0.029
667824,3318.0,2490.0,7234.0,0.964,0.147,-0.22,-0.03
667840,3300.0,2572.0,7260.0,0.964,0.147,-0.219,-0.031
667856,3324.0,2538.0,7304.0,0.964,0.147,-0.219,-0.032
667882,3312.0,2510.0,7208.0,0.964,0.147,-0.218,-0.033
667898,3304.0,2478.0,7198.0,0.964,0.146,-0.218,-0.033
667914,3296.0,2382.0,7236.0,0.964,0.146,-0.218,-0.034
667931,3288.0,2388.0,7280.0,0.964,0.146,-0.218,-0.035
667947,3302.0,2396.0,7278.0,0.964,0.146,-0.218,-0.036
667964,3346.0,2440.0,7234.0,0.964,0.146,-0.218,-0.037
667981,3336.0,2432.0,7228.0,0.964,0.146,-0.217,-0.037
667998,3340.0,2450.0,7256.0,0.964,0.146,-0.217,-0.038
668015,3390.0,2424.0,7230.0,0.964,0.146,-0.218,-0.038
668042,3372.0,2546.0,7214.0,0.964,0.146,-0.218,-0.038
668059,3426.0,2412.0,7260.0,0.964,0.147,-0.218,-0.039
668076,3404.0,2572.0,7230.0,0.964,0.147,-0.218,-0.039
668092,3404.0,2594.0,7206.0,0.964,0.147,-0.218,-0.039
668109,3386.0,2524.0,7192.0,0.964,0.147,-0.218,-0.039
668126,3372.0,2526.0,7192.0,0.964,0.146,-0.218,-0.039
668143,3424.0,2556.0,7234.0,0.964,0.146,-0.218,-0.039
668159,3386.0,2534.0,7208.0,0.964,0.146,-0.219,-0.039
668176,3390.0,2554.0,7238.0,0.964,0.145,-0.219,-0.039
668193,3472.0,2432.0,7266.0,0.964,0.144,-0.219,-0.039
668210,3460.0,2350.0,7150.0,0.964,0.144,-0.22,-0.039
668237,3446.0,2354.0,7114.0,0.964,0.143,-0.22,-0.039
668254,3530.0,2378.0,7166.0,0.964,0.142,-0.221,-0.039
670696,3556.0,2238.0,7290.0,0.965,0.131,-0.226,-0.034
670712,3556.0,2228.0,7274.0,0.965,0.131,-0.226,-0.034
670728,3510.0,2248.0,7248.0,0.965,0.131,-0.226,-0.034
670745,3530.0,2248.0,7242.0,0.965,0.131,-0.226,-0.034
670762,3556.0,2238.0,7224.0,0.965,0.131,-0.226,-0.034
