timeMs,ax,ay,az,q0,q1,q2,q3
5555567,5191.0,-2046.0,6203.0,0.882,0.13,-0.38,0.248
5555583,5539.0,-1678.0,6313.0,0.884,0.13,-0.376,0.246
5555599,5541.0,-1196.0,6425.0,0.886,0.132,-0.372,0.244
5555625,5541.0,-436.0,6407.0,0.887,0.137,-0.368,0.242
5555642,5387.0,578.0,5871.0,0.889,0.142,-0.364,0.24
5555659,5257.0,784.0,6253.0,0.89,0.145,-0.36,0.238
5555675,5291.0,612.0,6433.0,0.891,0.147,-0.358,0.236
5555691,5353.0,-1088.0,6335.0,0.892,0.149,-0.356,0.234
5555707,5491.0,-258.0,6287.0,0.893,0.153,-0.355,0.232
5555723,5313.0,400.0,6205.0,0.892,0.159,-0.353,0.231
5555749,5679.0,572.0,5969.0,0.892,0.164,-0.352,0.231
5555765,5923.0,1322.0,5311.0,0.892,0.169,-0.35,0.232
5555781,5899.0,808.0,5767.0,0.891,0.173,-0.349,0.233
5555797,6087.0,592.0,5731.0,0.89,0.178,-0.348,0.234
5555814,6297.0,634.0,5449.0,0.889,0.183,-0.346,0.236
5555830,6229.0,752.0,5375.0,0.889,0.189,-0.343,0.238
5555847,6181.0,1012.0,5727.0,0.888,0.195,-0.34,0.241
5555873,6023.0,1712.0,5419.0,0.887,0.202,-0.337,0.244
5555889,6039.0,2004.0,5465.0,0.885,0.208,-0.333,0.249
5555905,5853.0,2148.0,5627.0,0.884,0.212,-0.33,0.253
5555921,5847.0,1176.0,5915.0,0.883,0.217,-0.328,0.257
5555937,5963.0,1626.0,5687.0,0.881,0.222,-0.326,0.261
5555957,5843.0,2076.0,5713.0,0.88,0.227,-0.323,0.264
5555973,5789.0,2234.0,5459.0,0.879,0.231,-0.321,0.268
5555989,5561.0,2504.0,5629.0,0.878,0.234,-0.319,0.271
5556015,5485.0,2112.0,5817.0,0.877,0.237,-0.317,0.274
5556031,5377.0,2272.0,5661.0,0.876,0.24,-0.315,0.277
5556047,5275.0,2406.0,5437.0,0.875,0.242,-0.314,0.279
5556064,5159.0,2830.0,5321.0,0.874,0.244,-0.312,0.28
5556081,4969.0,2984.0,5579.0,0.874,0.244,-0.311,0.281
5556097,4557.0,2310.0,5991.0,0.874,0.243,-0.312,0.282
5556113,5213.0,2782.0,5729.0,0.874,0.243,-0.313,0.282
5556139,5435.0,2622.0,5839.0,0.873,0.242,-0.315,0.282
5556156,5349.0,2184.0,5967.0,0.873,0.241,-0.317,0.281
5556173,5513.0,2446.0,5705.0,0.873,0.24,-0.319,0.28
5556190,5703.0,2042.0,5793.0,0.873,0.238,-0.321,0.278
5556206,5607.0,2288.0,5707.0,0.874,0.236,-0.324,0.275
5556223,5557.0,2420.0,5767.0,0.875,0.234,-0.327,0.271
5556239,5815.0,2002.0,5655.0,0.875,0.231,-0.33,0.268
5556255,5877.0,2212.0,5281.0,0.876,0.227,-0.332,0.264
5556271,5747.0,1846.0,5469.0,0.878,0.223,-0.335,0.26
5556297,5841.0,1878.0,5073.0,0.879,0.219,-0.337,0.256
