timeMs,ax,ay,az,q0,q1,q2,q3
4535859,8085.0,1024.0,-377.0,0.482,0.551,-0.447,0.513
4535875,8079.0,1124.0,-539.0,0.481,0.554,-0.444,0.515
4535891,8009.0,1038.0,-343.0,0.479,0.556,-0.441,0.517
4535907,7749.0,1030.0,-185.0,0.478,0.557,-0.438,0.519
4535924,7809.0,1078.0,-9.0,0.477,0.559,-0.435,0.52
4535940,8035.0,1228.0,-93.0,0.476,0.562,-0.433,0.521
4535967,8037.0,1400.0,-185.0,0.475,0.564,-0.431,0.52
4535984,7917.0,1508.0,-261.0,0.474,0.566,-0.43,0.52
4536000,7845.0,908.0,-43.0,0.474,0.568,-0.429,0.519
4536017,7859.0,124.0,-161.0,0.475,0.57,-0.427,0.517
4536034,7665.0,-54.0,-345.0,0.475,0.572,-0.425,0.516
4536051,7799.0,344.0,-33.0,0.475,0.576,-0.421,0.514
4536067,8003.0,1312.0,-107.0,0.476,0.58,-0.418,0.512
4536083,8257.0,1810.0,-145.0,0.478,0.584,-0.414,0.509
4536109,8367.0,1868.0,-303.0,0.479,0.588,-0.411,0.506
4536126,8247.0,2168.0,-179.0,0.481,0.592,-0.408,0.503
4536145,8255.0,1948.0,-221.0,0.482,0.595,-0.406,0.499
4536162,8099.0,2342.0,-503.0,0.483,0.598,-0.404,0.495
4536178,8245.0,2776.0,-609.0,0.485,0.601,-0.403,0.491
4536194,8035.0,2684.0,-707.0,0.486,0.602,-0.404,0.487
4536211,7917.0,2594.0,-731.0,0.488,0.603,-0.405,0.483
4536228,7813.0,2154.0,-719.0,0.49,0.603,-0.407,0.479
4536245,7737.0,1916.0,-605.0,0.492,0.602,-0.41,0.476
4536262,7669.0,1824.0,-493.0,0.494,0.601,-0.412,0.474
4536279,7719.0,1714.0,-425.0,0.496,0.6,-0.415,0.472
4536296,7767.0,1832.0,-437.0,0.498,0.598,-0.418,0.47
4536313,7791.0,1846.0,-391.0,0.499,0.595,-0.421,0.468
4536330,7921.0,1564.0,-227.0,0.501,0.593,-0.424,0.466
4536357,8081.0,1374.0,-191.0,0.503,0.591,-0.427,0.465
4536374,8277.0,1406.0,-215.0,0.504,0.589,-0.43,0.463
4536391,8387.0,1384.0,-309.0,0.505,0.587,-0.434,0.46
4536407,8429.0,1310.0,-319.0,0.507,0.585,-0.437,0.458
4536424,8459.0,1142.0,-321.0,0.509,0.584,-0.439,0.456
4536441,8421.0,1296.0,-295.0,0.51,0.582,-0.441,0.454
4536458,8429.0,1226.0,-249.0,0.512,0.581,-0.443,0.451
4536475,8383.0,1340.0,-301.0,0.514,0.58,-0.445,0.449
4536492,8247.0,1470.0,-251.0,0.516,0.578,-0.446,0.447
4536509,8325.0,1242.0,-169.0,0.518,0.577,-0.448,0.444
4536526,8305.0,1426.0,-301.0,0.52,0.577,-0.449,0.442
4536543,8139.0,1598.0,-323.0,0.522,0.576,-0.45,0.44
4536560,8031.0,1408.0,-185.0,0.523,0.575,-0.451,0.438
4536587,7977.0,1460.0,-333.0,0.524,0.574,-0.452,0.437
4536604,7891.0,1676.0,-363.0,0.525,0.574,-0.453,0.436
4536620,7869.0,1614.0,-487.0,0.527,0.573,-0.454,0.435
4536636,7819.0,1594.0,-483.0,0.528,0.572,-0.454,0.434
4536653,7867.0,1510.0,-301.0,0.528,0.571,-0.455,0.433
4536670,7869.0,1784.0,-447.0,0.529,0.57,-0.456,0.433
4536686,7945.0,1704.0,-403.0,0.53,0.568,-0.457,0.433
4536702,7975.0,1560.0,-369.0,0.53,0.567,-0.458,0.433
4536719,8095.0,1614.0,-431.0,0.531,0.565,-0.459,0.434
4536746,8113.0,1596.0,-375.0,0.531,0.564,-0.46,0.434
4536762,8161.0,1546.0,-403.0,0.531,0.562,-0.461,0.435
4536778,8177.0,1514.0,-405.0,0.531,0.561,-0.462,0.436
4536795,8157.0,1440.0,-407.0,0.531,0.559,-0.463,0.436
4536812,8117.0,1418.0,-437.0,0.531,0.558,-0.464,0.437
4536828,8121.0,1384.0,-431.0,0.531,0.557,-0.464,0.438
4536844,8021.0,1340.0,-421.0,0.531,0.557,-0.464,0.439
4536861,8089.0,1388.0,-413.0,0.531,0.556,-0.464,0.44
4536887,8113.0,1342.0,-461.0,0.531,0.555,-0.464,0.441
4536903,8083.0,1420.0,-397.0,0.531,0.555,-0.464,0.442
4536919,8023.0,1354.0,-383.0,0.53,0.555,-0.464,0.443
4536935,7985.0,1482.0,-381.0,0.53,0.555,-0.463,0.444
4536951,7979.0,1446.0,-475.0,0.529,0.556,-0.462,0.445
4536968,7915.0,1368.0,-561.0,0.528,0.556,-0.461,0.446
4536985,7957.0,1534.0,-535.0,0.528,0.557,-0.46,0.447
4537012,7973.0,1586.0,-601.0,0.527,0.558,-0.458,0.449
4537029,7901.0,1638.0,-453.0,0.526,0.559,-0.457,0.45
4537045,7981.0,1580.0,-449.0,0.525,0.559,-0.457,0.451
4537062,8039.0,1660.0,-525.0,0.524,0.56,-0.456,0.452
4537079,8037.0,1562.0,-509.0,0.523,0.56,-0.455,0.453
4537096,8089.0,1706.0,-455.0,0.523,0.561,-0.454,0.454
4537113,8071.0,1724.0,-451.0,0.522,0.561,-0.454,0.455
4537130,8057.0,1644.0,-445.0,0.521,0.562,-0.454,0.455
4537147,8103.0,1586.0,-521.0,0.521,0.562,-0.453,0.456
4537163,8121.0,1492.0,-603.0,0.52,0.562,-0.453,0.456
4537180,8091.0,1550.0,-589.0,0.519,0.563,-0.453,0.456
4537206,8027.0,1650.0,-463.0,0.518,0.563,-0.453,0.457
4537223,7981.0,1646.0,-555.0,0.517,0.564,-0.454,0.457
4537240,8021.0,1668.0,-499.0,0.516,0.564,-0.454,0.457
4537257,8023.0,1706.0,-445.0,0.516,0.564,-0.455,0.457
4537274,7993.0,1676.0,-505.0,0.515,0.564,-0.455,0.457
4537291,8033.0,1646.0,-537.0,0.515,0.565,-0.456,0.457
4537308,8013.0,1588.0,-485.0,0.514,0.565,-0.457,0.456
4537325,7977.0,1512.0,-509.0,0.514,0.565,-0.457,0.456
4537342,8017.0,1476.0,-539.0,0.514,0.565,-0.457,0.455
4537359,8065.0,1414.0,-553.0,0.515,0.565,-0.457,0.454
4537376,8015.0,1410.0,-593.0,0.515,0.565,-0.457,0.454
4537393,7975.0,1414.0,-513.0,0.516,0.566,-0.457,0.453
4537410,7987.0,1336.0,-503.0,0.517,0.566,-0.457,0.452
4537436,7949.0,1516.0,-403.0,0.517,0.566,-0.457,0.451
4537453,7953.0,1556.0,-379.0,0.518,0.566,-0.457,0.45
4537470,8033.0,1588.0,-355.0,0.519,0.567,-0.457,0.449
4537487,8013.0,1592.0,-419.0,0.519,0.567,-0.457,0.447
4537503,8133.0,1622.0,-371.0,0.52,0.567,-0.458,0.446
4537520,8135.0,1650.0,-473.0,0.52,0.567,-0.458,0.444
4537536,8169.0,1634.0,-497.0,0.521,0.567,-0.459,0.443
