timeMs,ax,ay,az,q0,q1,q2,q3
5302430,1120.0,7425.0,-1485.0,0.634,0.755,-0.153,0.068
5302446,1602.0,8041.0,-851.0,0.639,0.751,-0.154,0.066
5302463,2486.0,7901.0,437.0,0.644,0.746,-0.155,0.065
5302479,2546.0,6627.0,541.0,0.649,0.742,-0.157,0.064
5302495,2534.0,6589.0,379.0,0.651,0.74,-0.157,0.064
5302521,1938.0,7731.0,519.0,0.65,0.74,-0.157,0.067
5302537,2492.0,8061.0,457.0,0.652,0.738,-0.158,0.068
5302553,3022.0,6147.0,67.0,0.653,0.737,-0.159,0.068
5302569,2392.0,6617.0,-453.0,0.649,0.74,-0.159,0.071
5302585,2150.0,7983.0,-1117.0,0.645,0.744,-0.159,0.073
5302601,2276.0,7893.0,-1793.0,0.642,0.746,-0.16,0.074
5302627,2078.0,7529.0,-1889.0,0.639,0.749,-0.161,0.074
5302643,2752.0,8269.0,-1345.0,0.635,0.752,-0.161,0.076
5302660,2388.0,8487.0,-1153.0,0.635,0.751,-0.162,0.079
5302677,2318.0,8351.0,-1149.0,0.637,0.749,-0.163,0.082
5302694,2392.0,7183.0,-1065.0,0.64,0.745,-0.166,0.086
5302710,2882.0,6947.0,-875.0,0.642,0.742,-0.171,0.09
5302726,3194.0,7435.0,-765.0,0.645,0.737,-0.175,0.096
5302743,2792.0,6285.0,-569.0,0.647,0.734,-0.179,0.101
5302769,3498.0,7481.0,-431.0,0.647,0.733,-0.183,0.104
5302786,3900.0,8719.0,-255.0,0.647,0.732,-0.185,0.106
5302803,3732.0,8325.0,-383.0,0.648,0.73,-0.187,0.107
5302820,3642.0,8099.0,-525.0,0.649,0.729,-0.189,0.108
5302837,3638.0,7891.0,-749.0,0.649,0.729,-0.189,0.106
5302853,3806.0,7613.0,-699.0,0.65,0.728,-0.19,0.106
5302869,3694.0,7011.0,-631.0,0.651,0.727,-0.191,0.105
5302885,3724.0,6781.0,-483.0,0.652,0.726,-0.191,0.105
5302901,4038.0,7003.0,-439.0,0.651,0.726,-0.192,0.106
5302927,4210.0,7291.0,-535.0,0.651,0.727,-0.192,0.106
5302943,4000.0,7573.0,-529.0,0.65,0.728,-0.192,0.106
5302959,3830.0,7469.0,-509.0,0.649,0.728,-0.191,0.107
5302975,3518.0,7357.0,-541.0,0.649,0.729,-0.191,0.107
5302991,3368.0,7319.0,-527.0,0.648,0.73,-0.19,0.107
5303007,3260.0,7405.0,-519.0,0.647,0.731,-0.189,0.107
5303033,3206.0,7669.0,-445.0,0.646,0.732,-0.188,0.108
5303049,3124.0,7741.0,-419.0,0.646,0.732,-0.187,0.108
