timeMs,ax,ay,az,q0,q1,q2,q3
4026609,7853.0,1808.0,1574.0,0.581,0.509,-0.385,0.505
4026625,7871.0,1780.0,1568.0,0.581,0.509,-0.385,0.505
4026641,7879.0,1784.0,1582.0,0.581,0.51,-0.384,0.505
4026667,7889.0,1762.0,1572.0,0.581,0.51,-0.384,0.505
4026683,7843.0,1734.0,1588.0,0.58,0.511,-0.384,0.505
4026699,7883.0,1752.0,1562.0,0.58,0.511,-0.384,0.505
4026715,7873.0,1766.0,1588.0,0.58,0.511,-0.384,0.505
4026731,7885.0,1770.0,1612.0,0.58,0.512,-0.384,0.505
4026747,7933.0,1732.0,1632.0,0.58,0.512,-0.384,0.504
4026773,7907.0,1772.0,1612.0,0.58,0.512,-0.384,0.504
4026789,7921.0,1732.0,1628.0,0.58,0.512,-0.384,0.504
4026805,7977.0,1674.0,1618.0,0.579,0.513,-0.384,0.504
4026821,7947.0,1656.0,1634.0,0.579,0.513,-0.384,0.504
4026838,7905.0,1676.0,1632.0,0.579,0.513,-0.384,0.504
4026854,7901.0,1694.0,1608.0,0.579,0.513,-0.384,0.504
4026880,7843.0,1664.0,1596.0,0.58,0.513,-0.384,0.504
4026896,7881.0,1610.0,1614.0,0.58,0.513,-0.383,0.504
4026912,7839.0,1636.0,1584.0,0.58,0.513,-0.383,0.504
4026928,7879.0,1646.0,1586.0,0.58,0.513,-0.383,0.504
4026944,7871.0,1644.0,1548.0,0.579,0.513,-0.383,0.504
4026960,7885.0,1692.0,1594.0,0.579,0.513,-0.383,0.504
4026986,7925.0,1704.0,1576.0,0.579,0.513,-0.383,0.504
4027002,7857.0,1716.0,1514.0,0.579,0.513,-0.383,0.504
4027018,7909.0,1738.0,1486.0,0.579,0.514,-0.383,0.505
4027034,7849.0,1768.0,1500.0,0.579,0.514,-0.383,0.505
4027050,7857.0,1770.0,1496.0,0.579,0.514,-0.382,0.505
4027066,7903.0,1746.0,1504.0,0.578,0.514,-0.382,0.505
4027092,7869.0,1730.0,1506.0,0.578,0.514,-0.382,0.505
4027108,7875.0,1726.0,1532.0,0.578,0.514,-0.382,0.505
4027124,7861.0,1752.0,1530.0,0.578,0.515,-0.382,0.505
4027140,7857.0,1802.0,1530.0,0.578,0.515,-0.382,0.505
4027157,7857.0,1784.0,1558.0,0.578,0.515,-0.381,0.505
4027174,7875.0,1764.0,1556.0,0.578,0.515,-0.381,0.506
4027190,7893.0,1772.0,1546.0,0.578,0.515,-0.381,0.506
4027216,7903.0,1726.0,1532.0,0.578,0.515,-0.381,0.506
4027232,7861.0,1774.0,1570.0,0.578,0.516,-0.381,0.506
4027248,7899.0,1736.0,1610.0,0.577,0.516,-0.381,0.506
4027264,7897.0,1706.0,1564.0,0.577,0.516,-0.381,0.506
4027280,7867.0,1722.0,1534.0,0.577,0.516,-0.38,0.506
4027296,7801.0,1712.0,1576.0,0.577,0.516,-0.38,0.506
4027322,7887.0,1756.0,1556.0,0.577,0.516,-0.38,0.506
4027338,7819.0,1762.0,1578.0,0.577,0.516,-0.38,0.506
4027354,7873.0,1744.0,1580.0,0.577,0.516,-0.38,0.506
4027370,7859.0,1758.0,1568.0,0.577,0.516,-0.38,0.506
4027386,7851.0,1742.0,1552.0,0.577,0.516,-0.38,0.506
4027402,7825.0,1750.0,1562.0,0.577,0.515,-0.38,0.506
4027428,7901.0,1734.0,1532.0,0.577,0.515,-0.38,0.506
4027444,7931.0,1712.0,1512.0,0.577,0.515,-0.38,0.506
4027460,7899.0,1736.0,1532.0,0.577,0.515,-0.38,0.506
4027476,7897.0,1762.0,1548.0,0.577,0.515,-0.38,0.506
4027492,7849.0,1736.0,1478.0,0.577,0.515,-0.38,0.506
4027508,7877.0,1730.0,1550.0,0.578,0.515,-0.38,0.506
4027535,7889.0,1680.0,1510.0,0.577,0.515,-0.38,0.506
4027551,7863.0,1704.0,1506.0,0.577,0.516,-0.38,0.506
4027567,7833.0,1670.0,1472.0,0.577,0.516,-0.38,0.507
4027583,7841.0,1688.0,1532.0,0.577,0.516,-0.38,0.507
4027599,7865.0,1726.0,1548.0,0.577,0.516,-0.38,0.507
4027615,7859.0,1748.0,1546.0,0.577,0.516,-0.38,0.507
4027641,7873.0,1722.0,1484.0,0.577,0.516,-0.379,0.507
4027660,7889.0,1824.0,1552.0,0.577,0.516,-0.379,0.507
4027676,7921.0,1758.0,1546.0,0.576,0.516,-0.379,0.507
4027692,7913.0,1792.0,1538.0,0.576,0.516,-0.379,0.507
4027708,7927.0,1726.0,1546.0,0.576,0.516,-0.379,0.507
4027724,7869.0,1756.0,1536.0,0.576,0.516,-0.379,0.507
4027740,7829.0,1772.0,1592.0,0.576,0.516,-0.379,0.507
4027756,7857.0,1730.0,1586.0,0.577,0.516,-0.379,0.507
4027782,7853.0,1690.0,1540.0,0.577,0.516,-0.379,0.507
4027798,7915.0,1688.0,1568.0,0.577,0.517,-0.379,0.507
4027814,7883.0,1752.0,1562.0,0.577,0.517,-0.379,0.507
4027830,7827.0,1752.0,1528.0,0.577,0.517,-0.378,0.507
4027846,7819.0,1766.0,1534.0,0.576,0.517,-0.378,0.507
4027862,7903.0,1740.0,1568.0,0.576,0.517,-0.379,0.508
4027889,7845.0,1792.0,1536.0,0.576,0.517,-0.378,0.508
4027905,7863.0,1776.0,1604.0,0.576,0.517,-0.378,0.508
4027921,7867.0,1728.0,1500.0,0.576,0.517,-0.378,0.508
4027938,7865.0,1740.0,1544.0,0.576,0.517,-0.378,0.508
4027954,7847.0,1692.0,1528.0,0.576,0.517,-0.378,0.508
4027970,7841.0,1710.0,1506.0,0.576,0.517,-0.378,0.508
4027986,7837.0,1708.0,1536.0,0.576,0.517,-0.378,0.508
