timeMs,ax,ay,az,q0,q1,q2,q3
3703189,1722.0,2355.0,7726.0,0.862,0.179,-0.026,0.473
3703205,1716.0,2369.0,7718.0,0.862,0.179,-0.026,0.473
3703221,1706.0,2355.0,7686.0,0.862,0.179,-0.026,0.474
3703237,1696.0,2347.0,7636.0,0.862,0.179,-0.026,0.474
3703263,1690.0,2341.0,7660.0,0.862,0.179,-0.026,0.473
3703280,1700.0,2309.0,7638.0,0.862,0.179,-0.026,0.473
3703296,1714.0,2311.0,7668.0,0.862,0.179,-0.026,0.473
3703313,1746.0,2325.0,7650.0,0.862,0.179,-0.026,0.473
3703330,1672.0,2379.0,7668.0,0.862,0.179,-0.026,0.473
3703346,1704.0,2365.0,7682.0,0.862,0.179,-0.026,0.473
3703362,1686.0,2355.0,7636.0,0.862,0.179,-0.026,0.473
3703379,1696.0,2273.0,7724.0,0.862,0.179,-0.026,0.473
3703396,1712.0,2315.0,7696.0,0.862,0.179,-0.026,0.473
3703413,1690.0,2315.0,7692.0,0.862,0.178,-0.026,0.473
3703440,1694.0,2311.0,7642.0,0.862,0.178,-0.026,0.473
3703456,1714.0,2361.0,7634.0,0.862,0.178,-0.027,0.473
3703472,1718.0,2289.0,7672.0,0.862,0.178,-0.027,0.473
3703488,1686.0,2331.0,7680.0,0.862,0.178,-0.027,0.473
3703505,1710.0,2329.0,7664.0,0.862,0.178,-0.027,0.473
3703522,1734.0,2293.0,7620.0,0.862,0.178,-0.027,0.473
3703542,1690.0,2329.0,7636.0,0.862,0.178,-0.027,0.473
3703558,1678.0,2301.0,7654.0,0.862,0.178,-0.027,0.473
3703574,1734.0,2289.0,7702.0,0.862,0.178,-0.027,0.473
3703590,1730.0,2339.0,7624.0,0.862,0.178,-0.026,0.473
3703616,1696.0,2317.0,7632.0,0.862,0.178,-0.026,0.473
3703632,1628.0,2363.0,7672.0,0.862,0.178,-0.026,0.473
3703648,1664.0,2309.0,7608.0,0.862,0.178,-0.026,0.473
3703664,1690.0,2267.0,7674.0,0.862,0.179,-0.027,0.473
3703681,1762.0,2359.0,7720.0,0.862,0.179,-0.027,0.473
3703697,1720.0,2361.0,7764.0,0.862,0.179,-0.027,0.473
3703723,1724.0,2381.0,7640.0,0.862,0.179,-0.027,0.473
3703739,1742.0,2347.0,7634.0,0.862,0.179,-0.027,0.473
3703755,1736.0,2385.0,7638.0,0.862,0.179,-0.027,0.473
3703771,1704.0,2343.0,7604.0,0.862,0.179,-0.027,0.473
3703787,1704.0,2325.0,7638.0,0.862,0.179,-0.027,0.473
3703803,1692.0,2353.0,7622.0,0.862,0.179,-0.027,0.474
3703829,1660.0,2369.0,7654.0,0.862,0.179,-0.027,0.474
3703845,1752.0,2459.0,7652.0,0.862,0.179,-0.027,0.474
3703861,1702.0,2329.0,7724.0,0.862,0.179,-0.027,0.474
3703877,1686.0,2387.0,7652.0,0.862,0.179,-0.027,0.474
3703893,1722.0,2287.0,7626.0,0.862,0.179,-0.027,0.474
3703909,1680.0,2339.0,7650.0,0.862,0.179,-0.027,0.474
3703935,1676.0,2283.0,7672.0,0.862,0.179,-0.027,0.474
3703951,1692.0,2349.0,7638.0,0.862,0.179,-0.027,0.474
3703967,1718.0,2331.0,7650.0,0.862,0.179,-0.027,0.474
3703983,1698.0,2353.0,7668.0,0.862,0.179,-0.027,0.474
3703999,1732.0,2333.0,7650.0,0.862,0.179,-0.027,0.474
3704015,1718.0,2353.0,7706.0,0.862,0.179,-0.027,0.474
3704041,1734.0,2315.0,7690.0,0.862,0.179,-0.027,0.474
3704058,1728.0,2367.0,7698.0,0.862,0.179,-0.027,0.474
3704074,1732.0,2369.0,7692.0,0.862,0.179,-0.027,0.474
3704090,1760.0,2337.0,7646.0,0.862,0.179,-0.027,0.474
3704106,1740.0,2343.0,7626.0,0.862,0.179,-0.027,0.474
3704122,1716.0,2337.0,7628.0,0.862,0.179,-0.027,0.474
3704148,1716.0,2337.0,7668.0,0.862,0.179,-0.027,0.474
3704164,1718.0,2357.0,7664.0,0.862,0.179,-0.027,0.474
3704180,1704.0,2353.0,7668.0,0.862,0.179,-0.026,0.474
3704196,1718.0,2349.0,7692.0,0.862,0.179,-0.026,0.474
3704212,1724.0,2283.0,7686.0,0.862,0.179,-0.026,0.474
3704228,1696.0,2327.0,7624.0,0.862,0.179,-0.026,0.474
3704254,1732.0,2349.0,7660.0,0.862,0.179,-0.026,0.474
3704270,1718.0,2313.0,7680.0,0.862,0.179,-0.026,0.474
3704286,1670.0,2375.0,7646.0,0.862,0.179,-0.026,0.474
3704302,1720.0,2365.0,7652.0,0.862,0.179,-0.026,0.474
3704318,1690.0,2357.0,7620.0,0.862,0.179,-0.026,0.474
3704335,1692.0,2353.0,7682.0,0.862,0.179,-0.026,0.474
3704351,1692.0,2349.0,7668.0,0.862,0.179,-0.026,0.474
3704377,1702.0,2343.0,7664.0,0.862,0.179,-0.026,0.474
3704393,1686.0,2371.0,7646.0,0.862,0.179,-0.026,0.474
3704409,1708.0,2365.0,7674.0,0.862,0.179,-0.026,0.474
3704425,1714.0,2355.0,7660.0,0.862,0.179,-0.026,0.474
3704442,1706.0,2335.0,7642.0,0.862,0.179,-0.026,0.474
3704459,1664.0,2355.0,7650.0,0.862,0.179,-0.026,0.474
3704475,1686.0,2383.0,7628.0,0.862,0.179,-0.026,0.474
3704501,1712.0,2393.0,7646.0,0.862,0.179,-0.026,0.474
3704517,1672.0,2359.0,7646.0,0.862,0.179,-0.026,0.474
3704534,1736.0,2349.0,7658.0,0.862,0.18,-0.026,0.474
3704551,1686.0,2379.0,7712.0,0.862,0.18,-0.026,0.474
3704567,1702.0,2367.0,7646.0,0.862,0.18,-0.026,0.474
3704583,1708.0,2383.0,7672.0,0.862,0.18,-0.026,0.474
3704599,1688.0,2345.0,7676.0,0.862,0.18,-0.026,0.474
3704626,1694.0,2337.0,7710.0,0.862,0.18,-0.026,0.474
3704642,1730.0,2373.0,7694.0,0.862,0.18,-0.026,0.474
3704658,1670.0,2345.0,7640.0,0.862,0.18,-0.026,0.474
3704674,1692.0,2347.0,7690.0,0.862,0.179,-0.026,0.474
3704690,1688.0,2375.0,7694.0,0.862,0.179,-0.026,0.473
3704706,1706.0,2337.0,7674.0,0.862,0.179,-0.026,0.473
3704732,1698.0,2355.0,7656.0,0.862,0.179,-0.026,0.473
3704749,1702.0,2361.0,7610.0,0.862,0.179,-0.026,0.473
3704765,1688.0,2383.0,7652.0,0.862,0.18,-0.027,0.473
3704781,1696.0,2353.0,7624.0,0.862,0.18,-0.027,0.473
