timeMs,ax,ay,az,q0,q1,q2,q3
5270247,2488.0,7703.0,-1279.0,0.621,0.759,-0.176,0.089
5270264,2492.0,7663.0,-1273.0,0.621,0.759,-0.176,0.089
5270290,2548.0,7661.0,-1299.0,0.621,0.759,-0.176,0.089
5270306,2550.0,7691.0,-1287.0,0.621,0.759,-0.176,0.09
5270323,2546.0,7691.0,-1255.0,0.621,0.758,-0.175,0.09
5270339,2516.0,7677.0,-1235.0,0.621,0.758,-0.175,0.09
5270356,2514.0,7651.0,-1297.0,0.622,0.758,-0.175,0.09
5270373,2486.0,7701.0,-1265.0,0.622,0.758,-0.174,0.09
5270390,2442.0,7741.0,-1215.0,0.622,0.758,-0.174,0.09
5270407,2446.0,7657.0,-1275.0,0.622,0.758,-0.174,0.09
5270424,2518.0,7661.0,-1259.0,0.622,0.758,-0.174,0.09
5270441,2476.0,7701.0,-1253.0,0.622,0.758,-0.173,0.09
5270458,2500.0,7709.0,-1221.0,0.622,0.758,-0.173,0.09
5270485,2516.0,7635.0,-1245.0,0.622,0.758,-0.173,0.09
5270502,2540.0,7655.0,-1303.0,0.623,0.758,-0.173,0.09
5270519,2462.0,7669.0,-1251.0,0.623,0.758,-0.173,0.09
5270536,2432.0,7643.0,-1231.0,0.623,0.758,-0.172,0.09
5270553,2490.0,7703.0,-1309.0,0.623,0.758,-0.172,0.09
5270569,2472.0,7717.0,-1289.0,0.623,0.758,-0.172,0.09
5270585,2514.0,7755.0,-1243.0,0.623,0.758,-0.172,0.09
5270602,2492.0,7723.0,-1259.0,0.623,0.758,-0.171,0.09
5270619,2500.0,7649.0,-1259.0,0.623,0.758,-0.171,0.09
5270636,2498.0,7689.0,-1277.0,0.623,0.758,-0.171,0.09
5270653,2450.0,7679.0,-1227.0,0.623,0.758,-0.171,0.09
5270680,2444.0,7711.0,-1251.0,0.623,0.758,-0.171,0.09
5270697,2496.0,7671.0,-1253.0,0.623,0.758,-0.171,0.09
5270714,2518.0,7651.0,-1269.0,0.623,0.758,-0.17,0.09
5270730,2482.0,7681.0,-1311.0,0.623,0.758,-0.17,0.09
5270747,2494.0,7685.0,-1293.0,0.623,0.758,-0.17,0.09
5270763,2530.0,7657.0,-1247.0,0.623,0.758,-0.17,0.09
5270780,2494.0,7659.0,-1283.0,0.624,0.758,-0.169,0.09
5270797,2472.0,7671.0,-1239.0,0.624,0.758,-0.169,0.09
5270814,2440.0,7703.0,-1233.0,0.624,0.758,-0.169,0.09
5270830,2464.0,7673.0,-1219.0,0.624,0.758,-0.169,0.09
5270857,2436.0,7653.0,-1293.0,0.624,0.758,-0.168,0.091
5270874,2480.0,7657.0,-1277.0,0.624,0.758,-0.168,0.091
5270890,2460.0,7765.0,-1259.0,0.624,0.758,-0.168,0.091
5270906,2460.0,7681.0,-1255.0,0.624,0.758,-0.168,0.091
5270923,2496.0,7687.0,-1287.0,0.624,0.758,-0.168,0.091
5270939,2482.0,7709.0,-1243.0,0.624,0.758,-0.168,0.09
5270955,2486.0,7693.0,-1233.0,0.624,0.758,-0.168,0.09
5270971,2518.0,7707.0,-1265.0,0.624,0.758,-0.168,0.091
5270998,2516.0,7711.0,-1255.0,0.624,0.758,-0.167,0.091
5271014,2468.0,7639.0,-1275.0,0.624,0.758,-0.167,0.091
5271031,2472.0,7699.0,-1275.0,0.624,0.758,-0.167,0.091
5271047,2492.0,7685.0,-1235.0,0.624,0.758,-0.167,0.091
5271063,2450.0,7701.0,-1259.0,0.624,0.758,-0.167,0.091
5271080,2518.0,7695.0,-1275.0,0.624,0.758,-0.167,0.091
5271097,2506.0,7703.0,-1303.0,0.624,0.758,-0.166,0.091
5271113,2514.0,7639.0,-1271.0,0.625,0.758,-0.166,0.091
