timeMs,ax,ay,az,q0,q1,q2,q3
381194,-210.0,7901.0,1736.0,0.685,0.577,0.251,0.367
381210,16.0,8053.0,1680.0,0.682,0.579,0.25,0.37
381226,370.0,8053.0,1514.0,0.679,0.582,0.248,0.373
381242,590.0,7993.0,1572.0,0.676,0.584,0.247,0.375
381258,986.0,8193.0,1530.0,0.673,0.586,0.245,0.378
381285,1208.0,8091.0,1440.0,0.67,0.588,0.243,0.381
381302,1352.0,8077.0,1470.0,0.667,0.591,0.242,0.383
381318,1548.0,7939.0,1480.0,0.665,0.593,0.24,0.385
381335,1992.0,8301.0,1266.0,0.662,0.596,0.239,0.387
381351,2056.0,8163.0,1248.0,0.659,0.599,0.237,0.388
381367,2298.0,8207.0,1180.0,0.657,0.601,0.237,0.389
381384,2390.0,8447.0,1104.0,0.654,0.604,0.236,0.389
381401,2328.0,8361.0,1168.0,0.652,0.607,0.236,0.389
381417,2312.0,8495.0,1134.0,0.649,0.61,0.237,0.388
381443,2352.0,8489.0,1056.0,0.647,0.612,0.238,0.387
381459,2242.0,8549.0,936.0,0.646,0.614,0.239,0.386
381475,2016.0,8615.0,856.0,0.645,0.616,0.242,0.384
381491,1778.0,8555.0,832.0,0.644,0.617,0.244,0.381
381508,1680.0,8529.0,658.0,0.643,0.619,0.247,0.378
381524,1410.0,8423.0,694.0,0.643,0.62,0.25,0.375
381550,1332.0,8297.0,646.0,0.642,0.621,0.253,0.371
381566,1200.0,8157.0,676.0,0.642,0.622,0.255,0.368
381582,1182.0,8171.0,570.0,0.643,0.623,0.258,0.364
381598,912.0,8123.0,604.0,0.643,0.624,0.26,0.361
381614,666.0,8479.0,556.0,0.643,0.624,0.262,0.357
381630,802.0,8153.0,454.0,0.644,0.625,0.263,0.354
381656,850.0,7399.0,478.0,0.646,0.624,0.264,0.352
381672,684.0,7155.0,596.0,0.647,0.625,0.264,0.349
381688,542.0,7391.0,620.0,0.648,0.625,0.264,0.347
381704,414.0,7619.0,614.0,0.649,0.625,0.264,0.344
381720,262.0,7777.0,552.0,0.65,0.626,0.263,0.341
381736,210.0,7823.0,524.0,0.652,0.626,0.262,0.339
