timeMs,ax,ay,az,q0,q1,q2,q3
1324757,-257.0,6174.0,3219.0,0.792,0.604,0.077,0.048
1324773,-357.0,6818.0,3417.0,0.789,0.609,0.079,0.038
1324789,-615.0,8638.0,2785.0,0.784,0.615,0.082,0.028
1324805,-221.0,9548.0,3583.0,0.78,0.62,0.084,0.02
1324821,-41.0,9946.0,3117.0,0.779,0.621,0.087,0.013
1324837,-305.0,10176.0,2967.0,0.779,0.62,0.09,0.008
1324863,-369.0,9120.0,2865.0,0.781,0.617,0.093,0.004
1324879,-761.0,7790.0,2843.0,0.784,0.613,0.096,0.002
1324895,-907.0,7502.0,2691.0,0.787,0.609,0.099,-0.001
1324911,-857.0,8030.0,2629.0,0.789,0.605,0.102,-0.002
1324927,-967.0,7944.0,2659.0,0.792,0.601,0.106,-0.003
1324943,-1171.0,7774.0,2887.0,0.795,0.596,0.11,-0.003
1324969,-1607.0,7022.0,3173.0,0.797,0.593,0.113,-0.003
1324985,-1765.0,6684.0,3301.0,0.799,0.59,0.116,-0.005
1325001,-1701.0,6840.0,3083.0,0.8,0.588,0.12,-0.007
1325017,-1527.0,7252.0,2905.0,0.801,0.585,0.124,-0.01
1325033,-1777.0,7114.0,3347.0,0.802,0.583,0.129,-0.012
1325049,-1975.0,8080.0,3625.0,0.803,0.581,0.133,-0.015
1325075,-1859.0,7662.0,3629.0,0.804,0.578,0.137,-0.018
1325091,-1939.0,6980.0,3571.0,0.805,0.576,0.141,-0.021
1325107,-2237.0,7452.0,4125.0,0.806,0.574,0.144,-0.024
1325123,-2121.0,7836.0,4109.0,0.806,0.572,0.146,-0.028
1325139,-2069.0,7292.0,4001.0,0.808,0.57,0.147,-0.032
1325155,-2071.0,7158.0,4079.0,0.809,0.567,0.148,-0.036
1325181,-1969.0,7490.0,3925.0,0.811,0.565,0.149,-0.039
1325197,-1847.0,7510.0,3805.0,0.813,0.562,0.15,-0.042
1325213,-2089.0,6756.0,3945.0,0.814,0.559,0.151,-0.045
1325229,-2323.0,6822.0,4197.0,0.815,0.558,0.153,-0.047
1325245,-2341.0,6866.0,4115.0,0.815,0.557,0.154,-0.048
1325261,-2539.0,6066.0,4029.0,0.814,0.558,0.156,-0.048
1325287,-2591.0,6134.0,3959.0,0.813,0.559,0.157,-0.048
1325303,-2733.0,5784.0,3795.0,0.811,0.561,0.159,-0.046
1325319,-3003.0,6382.0,3901.0,0.809,0.564,0.161,-0.043
1325335,-3147.0,6272.0,3867.0,0.806,0.568,0.162,-0.04
1325351,-3191.0,6662.0,3873.0,0.803,0.572,0.164,-0.037
1325367,-3065.0,7426.0,3805.0,0.8,0.575,0.166,-0.033
1325393,-3019.0,7638.0,3119.0,0.797,0.579,0.168,-0.029
1325409,-2779.0,7990.0,3373.0,0.795,0.581,0.17,-0.025
1325425,-2619.0,7692.0,3073.0,0.794,0.583,0.173,-0.019
1325442,-2553.0,6896.0,3067.0,0.793,0.584,0.175,-0.014
1325458,-2461.0,6676.0,2827.0,0.792,0.585,0.176,-0.008
1325474,-2431.0,6748.0,2769.0,0.79,0.587,0.176,-0.003
1325500,-2259.0,6748.0,2835.0,0.789,0.589,0.175,0.003
1325516,-2023.0,6782.0,2699.0,0.787,0.592,0.173,0.007
1325532,-1863.0,7682.0,2621.0,0.786,0.594,0.171,0.012
1325548,-1813.0,8254.0,2781.0,0.785,0.595,0.168,0.018
1325564,-1863.0,8510.0,3017.0,0.785,0.596,0.166,0.022
1325580,-2059.0,8894.0,3335.0,0.785,0.597,0.165,0.026
1325606,-2001.0,8708.0,3353.0,0.785,0.598,0.163,0.029
1325622,-1549.0,8102.0,2849.0,0.784,0.598,0.161,0.03
1325638,-1389.0,7782.0,2525.0,0.784,0.599,0.16,0.032
1325654,-1099.0,6796.0,2401.0,0.784,0.599,0.159,0.033
1325670,-1057.0,6074.0,2477.0,0.783,0.601,0.16,0.033
1325686,-825.0,6140.0,2553.0,0.781,0.603,0.161,0.032
1325712,-491.0,6288.0,3015.0,0.778,0.605,0.164,0.032
1325728,-979.0,6332.0,2713.0,0.776,0.607,0.169,0.031
1325744,-1315.0,8186.0,3589.0,0.772,0.611,0.172,0.031
1325760,-1549.0,9106.0,2857.0,0.771,0.611,0.175,0.032
1325776,-1025.0,7536.0,2535.0,0.771,0.611,0.178,0.034
1325802,-965.0,6078.0,2081.0,0.77,0.61,0.18,0.038
1325818,-917.0,6952.0,2099.0,0.77,0.611,0.182,0.042
1325834,-2151.0,11268.0,3223.0,0.767,0.613,0.186,0.045
1325850,-3277.0,14874.0,3583.0,0.765,0.613,0.192,0.048
1325866,-1649.0,7140.0,1993.0,0.767,0.61,0.195,0.054
1325882,-1361.0,3480.0,1671.0,0.767,0.609,0.196,0.06
1325898,-2341.0,4234.0,2469.0,0.764,0.612,0.196,0.065
1325924,-2755.0,7902.0,2791.0,0.759,0.617,0.197,0.066
1325940,-2239.0,9978.0,2371.0,0.754,0.623,0.197,0.067
1325957,-1771.0,8746.0,1955.0,0.751,0.626,0.197,0.069
1325973,-1239.0,7964.0,1593.0,0.749,0.629,0.197,0.072
1325989,-1247.0,8580.0,1373.0,0.747,0.63,0.197,0.077
1326005,-1403.0,8386.0,1661.0,0.746,0.631,0.198,0.083
1326031,-1735.0,8088.0,1893.0,0.745,0.631,0.2,0.089
1326047,-1867.0,7806.0,2073.0,0.744,0.63,0.201,0.094
1326063,-1769.0,7440.0,2153.0,0.743,0.63,0.201,0.099
1326079,-1715.0,7362.0,1953.0,0.741,0.632,0.202,0.103
1326095,-1491.0,7780.0,1567.0,0.739,0.633,0.203,0.107
1326111,-1389.0,8532.0,1523.0,0.738,0.634,0.204,0.11
