timestamp,ax,ay,az,q0,q1,q2,q3
5200149,3316.0,4073.0,6240.0,0.928,0.292,-0.204,0.106
5200165,3364.0,4003.0,6314.0,0.928,0.292,-0.205,0.107
5200181,3484.0,3997.0,6284.0,0.928,0.292,-0.205,0.107
5200197,3480.0,3937.0,6190.0,0.928,0.292,-0.206,0.107
5200214,3540.0,4009.0,6148.0,0.928,0.292,-0.206,0.107
5200240,3564.0,3945.0,6182.0,0.928,0.292,-0.206,0.107
5200256,3614.0,3933.0,6234.0,0.928,0.292,-0.206,0.108
5200272,3576.0,3853.0,6264.0,0.928,0.292,-0.206,0.108
5200289,3646.0,3895.0,6238.0,0.928,0.292,-0.206,0.108
5200306,3530.0,3963.0,6276.0,0.928,0.292,-0.206,0.108
5200322,3484.0,3923.0,6270.0,0.928,0.292,-0.206,0.108
5200339,3486.0,4075.0,6280.0,0.928,0.292,-0.206,0.108
5200356,3520.0,3955.0,6264.0,0.928,0.292,-0.206,0.108
5200382,3542.0,4061.0,6244.0,0.928,0.292,-0.206,0.109
5200398,3544.0,4081.0,6234.0,0.928,0.292,-0.206,0.109
5200414,3514.0,4055.0,6198.0,0.928,0.292,-0.206,0.109
5200430,3532.0,4009.0,6216.0,0.928,0.292,-0.205,0.109
5200447,3558.0,4035.0,6270.0,0.928,0.292,-0.205,0.109
5200463,3512.0,4021.0,6232.0,0.928,0.292,-0.205,0.109
5200489,3538.0,3907.0,6266.0,0.928,0.292,-0.205,0.109
5200505,3498.0,3989.0,6246.0,0.928,0.292,-0.205,0.109
5200521,3520.0,3909.0,6282.0,0.928,0.292,-0.205,0.109
5200538,3508.0,3981.0,6206.0,0.928,0.292,-0.205,0.11
5200554,3516.0,3925.0,6222.0,0.928,0.292,-0.204,0.11
5200570,3478.0,4011.0,6236.0,0.928,0.292,-0.204,0.11
5200586,3556.0,4001.0,6252.0,0.928,0.292,-0.204,0.11
5200612,3536.0,3987.0,6252.0,0.928,0.292,-0.204,0.11
5200630,3512.0,3959.0,6226.0,0.928,0.292,-0.204,0.11
5200647,3584.0,3937.0,6208.0,0.928,0.292,-0.204,0.11
5200663,3512.0,4013.0,6242.0,0.928,0.292,-0.203,0.111
5200680,3474.0,3967.0,6288.0,0.928,0.292,-0.203,0.111
5200696,3500.0,4015.0,6322.0,0.928,0.292,-0.203,0.111
5200712,3448.0,3981.0,6304.0,0.928,0.293,-0.203,0.111
5200728,3468.0,4081.0,6242.0,0.928,0.292,-0.203,0.111
5200754,3508.0,4035.0,6236.0,0.928,0.292,-0.203,0.111
5200770,3456.0,4055.0,6202.0,0.928,0.292,-0.203,0.111
5200786,3490.0,4037.0,6212.0,0.928,0.292,-0.203,0.111
5200802,3536.0,3999.0,6254.0,0.928,0.292,-0.203,0.111
5200819,3568.0,3949.0,6256.0,0.928,0.292,-0.203,0.111
5200836,3538.0,3961.0,6194.0,0.928,0.292,-0.204,0.111
5200853,3602.0,3957.0,6200.0,0.928,0.292,-0.204,0.111
5200870,3568.0,3927.0,6236.0,0.928,0.292,-0.204,0.112
5200896,3520.0,3863.0,6246.0,0.928,0.292,-0.203,0.112
5200912,3474.0,3943.0,6314.0,0.928,0.292,-0.203,0.112
5200929,3392.0,3993.0,6280.0,0.928,0.292,-0.203,0.112
