timeMs,ax,ay,az,q0,q1,q2,q3
4511314,1010.0,7910.0,-1328.0,0.616,0.762,0.071,0.184
4511330,1166.0,8134.0,-1344.0,0.616,0.763,0.071,0.184
4511346,1208.0,7946.0,-1376.0,0.616,0.763,0.071,0.184
4511362,1214.0,8028.0,-1352.0,0.615,0.763,0.071,0.184
4511378,1154.0,7900.0,-1292.0,0.615,0.764,0.071,0.184
4511404,1030.0,7846.0,-1282.0,0.615,0.764,0.071,0.183
4511420,872.0,7668.0,-1166.0,0.614,0.764,0.072,0.182
4511436,1000.0,8084.0,-1232.0,0.614,0.765,0.072,0.181
4511452,952.0,8306.0,-1400.0,0.614,0.765,0.072,0.179
4511468,796.0,7496.0,-1398.0,0.615,0.765,0.072,0.178
4511484,1180.0,8396.0,-1434.0,0.615,0.765,0.073,0.176
4511510,1090.0,8468.0,-1526.0,0.615,0.765,0.073,0.175
4511526,1164.0,8378.0,-1514.0,0.616,0.765,0.072,0.174
4511542,1058.0,8100.0,-1430.0,0.616,0.765,0.072,0.174
4511558,940.0,7754.0,-1306.0,0.616,0.765,0.072,0.174
4511574,1064.0,8016.0,-1240.0,0.617,0.764,0.072,0.175
4511590,1044.0,7932.0,-1248.0,0.617,0.764,0.071,0.175
4511616,1004.0,7890.0,-1272.0,0.617,0.764,0.071,0.176
4511632,1122.0,7914.0,-1308.0,0.617,0.763,0.071,0.176
4511648,1042.0,7900.0,-1310.0,0.618,0.763,0.071,0.176
4511664,1096.0,7946.0,-1328.0,0.617,0.763,0.071,0.177
4511680,1218.0,8126.0,-1398.0,0.617,0.763,0.071,0.177
4511697,1160.0,8064.0,-1440.0,0.617,0.763,0.071,0.177
4511723,1224.0,7980.0,-1510.0,0.617,0.763,0.072,0.177
4511739,1154.0,7956.0,-1398.0,0.617,0.763,0.073,0.178
4511755,1162.0,8194.0,-1396.0,0.617,0.763,0.074,0.178
4511771,1022.0,7992.0,-1328.0,0.617,0.763,0.076,0.178
4511787,970.0,8086.0,-1174.0,0.617,0.763,0.077,0.178
4511804,1030.0,8182.0,-1224.0,0.616,0.763,0.078,0.179
4511820,1080.0,8028.0,-1168.0,0.616,0.763,0.079,0.179
4511847,1178.0,8078.0,-1266.0,0.616,0.763,0.079,0.179
4511863,1218.0,8084.0,-1306.0,0.615,0.764,0.079,0.18
4511880,1208.0,7870.0,-1298.0,0.614,0.764,0.08,0.18
4511897,1186.0,7952.0,-1400.0,0.613,0.765,0.08,0.18
4511913,1212.0,8060.0,-1412.0,0.613,0.765,0.081,0.181
4511929,1200.0,8066.0,-1398.0,0.612,0.766,0.081,0.181
4511945,1146.0,8018.0,-1396.0,0.611,0.766,0.082,0.181
4511971,1266.0,8226.0,-1536.0,0.611,0.766,0.083,0.182
4511987,1162.0,8006.0,-1520.0,0.61,0.767,0.083,0.182
4512003,1174.0,8068.0,-1504.0,0.61,0.767,0.084,0.182
4512019,1120.0,7998.0,-1484.0,0.609,0.767,0.085,0.183
4512035,1140.0,8096.0,-1574.0,0.609,0.767,0.086,0.183
4512051,1118.0,8050.0,-1504.0,0.608,0.767,0.087,0.184
4512077,1048.0,8054.0,-1490.0,0.608,0.768,0.088,0.184
4512093,1182.0,8038.0,-1578.0,0.607,0.768,0.088,0.185
4512110,1210.0,8126.0,-1674.0,0.607,0.768,0.089,0.185
4512126,1182.0,7996.0,-1616.0,0.606,0.768,0.09,0.186
4512142,1254.0,8048.0,-1598.0,0.606,0.768,0.091,0.187
4512158,1212.0,7986.0,-1626.0,0.606,0.768,0.092,0.188
4512174,1118.0,7950.0,-1554.0,0.606,0.767,0.093,0.188
4512200,1044.0,7944.0,-1530.0,0.606,0.767,0.094,0.189
4512216,1008.0,7920.0,-1504.0,0.606,0.767,0.094,0.19
4512232,1096.0,8074.0,-1612.0,0.606,0.767,0.095,0.19
4512248,1040.0,8046.0,-1638.0,0.606,0.767,0.096,0.191
4512264,1010.0,7970.0,-1548.0,0.606,0.766,0.096,0.191
4512280,944.0,7958.0,-1514.0,0.606,0.766,0.097,0.191
4512307,944.0,7924.0,-1528.0,0.606,0.766,0.097,0.191
4512323,956.0,8018.0,-1542.0,0.606,0.766,0.098,0.191
4512340,1038.0,8030.0,-1608.0,0.606,0.766,0.098,0.192
